"V1","bird","sex","tissue","treatment","group","study","sextissue","samples","hiloPRL","external"
"L.Blu13_male_gonad_control.NYNO","L.Blu13","male","gonads","control","male.gonads.control","charcterization","male_gonads","L.Blu13_male_gonad_control.NYNO","lo","control"
"L.Blu13_male_hypothalamus_control.NYNO","L.Blu13","male","hypothalamus","control","male.hypothalamus.control","charcterization","male_hypothalamus","L.Blu13_male_hypothalamus_control.NYNO","lo","control"
"L.Blu13_male_pituitary_control.NYNO","L.Blu13","male","pituitary","control","male.pituitary.control","charcterization","male_pituitary","L.Blu13_male_pituitary_control.NYNO","lo","control"
"L.G107_male_gonad_control","L.G107","male","gonads","control","male.gonads.control","charcterization","male_gonads","L.G107_male_gonad_control","lo","control"
"L.G107_male_hypothalamus_control","L.G107","male","hypothalamus","control","male.hypothalamus.control","charcterization","male_hypothalamus","L.G107_male_hypothalamus_control","lo","control"
"L.G107_male_pituitary_control","L.G107","male","pituitary","control","male.pituitary.control","charcterization","male_pituitary","L.G107_male_pituitary_control","lo","control"
"L.G118_female_gonad_control","L.G118","female","gonads","control","female.gonads.control","charcterization","female_gonads","L.G118_female_gonad_control","lo","control"
"L.G118_female_hypothalamus_control.NYNO","L.G118","female","hypothalamus","control","female.hypothalamus.control","charcterization","female_hypothalamus","L.G118_female_hypothalamus_control.NYNO","lo","control"
"L.G118_female_pituitary_control.NYNO","L.G118","female","pituitary","control","female.pituitary.control","charcterization","female_pituitary","L.G118_female_pituitary_control.NYNO","lo","control"
"L.R3_male_gonad_control.NYNO","L.R3","male","gonads","control","male.gonads.control","charcterization","male_gonads","L.R3_male_gonad_control.NYNO","lo","control"
"L.R3_male_hypothalamus_control","L.R3","male","hypothalamus","control","male.hypothalamus.control","charcterization","male_hypothalamus","L.R3_male_hypothalamus_control","lo","control"
"L.R3_male_pituitary_control.NYNO","L.R3","male","pituitary","control","male.pituitary.control","charcterization","male_pituitary","L.R3_male_pituitary_control.NYNO","lo","control"
"L.R8_male_gonad_control","L.R8","male","gonads","control","male.gonads.control","charcterization","male_gonads","L.R8_male_gonad_control","lo","control"
"L.R8_male_hypothalamus_control","L.R8","male","hypothalamus","control","male.hypothalamus.control","charcterization","male_hypothalamus","L.R8_male_hypothalamus_control","lo","control"
"L.R8_male_pituitary_control","L.R8","male","pituitary","control","male.pituitary.control","charcterization","male_pituitary","L.R8_male_pituitary_control","lo","control"
"L.W33_male_gonad_control","L.W33","male","gonads","control","male.gonads.control","charcterization","male_gonads","L.W33_male_gonad_control","hi","control"
"L.W33_male_hypothalamus_control.NYNO","L.W33","male","hypothalamus","control","male.hypothalamus.control","charcterization","male_hypothalamus","L.W33_male_hypothalamus_control.NYNO","hi","control"
"L.W33_male_pituitary_control","L.W33","male","pituitary","control","male.pituitary.control","charcterization","male_pituitary","L.W33_male_pituitary_control","hi","control"
"L.W3_male_gonad_control.NYNO","L.W3","male","gonads","control","male.gonads.control","charcterization","male_gonads","L.W3_male_gonad_control.NYNO","lo","control"
"L.W3_male_hypothalamus_control","L.W3","male","hypothalamus","control","male.hypothalamus.control","charcterization","male_hypothalamus","L.W3_male_hypothalamus_control","lo","control"
"L.W3_male_pituitary_control","L.W3","male","pituitary","control","male.pituitary.control","charcterization","male_pituitary","L.W3_male_pituitary_control","lo","control"
"L.W4_male_gonad_control.NYNO","L.W4","male","gonads","control","male.gonads.control","charcterization","male_gonads","L.W4_male_gonad_control.NYNO","lo","control"
"L.W4_male_hypothalamus_control","L.W4","male","hypothalamus","control","male.hypothalamus.control","charcterization","male_hypothalamus","L.W4_male_hypothalamus_control","lo","control"
"L.W4_male_pituitary_control","L.W4","male","pituitary","control","male.pituitary.control","charcterization","male_pituitary","L.W4_male_pituitary_control","lo","control"
"R.G106_female_gonad_control","R.G106","female","gonads","control","female.gonads.control","charcterization","female_gonads","R.G106_female_gonad_control","lo","control"
"R.G106_female_hypothalamus_control","R.G106","female","hypothalamus","control","female.hypothalamus.control","charcterization","female_hypothalamus","R.G106_female_hypothalamus_control","lo","control"
"R.G106_female_pituitary_control","R.G106","female","pituitary","control","female.pituitary.control","charcterization","female_pituitary","R.G106_female_pituitary_control","lo","control"
"R.R20_female_gonad_control","R.R20","female","gonads","control","female.gonads.control","charcterization","female_gonads","R.R20_female_gonad_control","hi","control"
"R.R20_female_hypothalamus_control.NYNO","R.R20","female","hypothalamus","control","female.hypothalamus.control","charcterization","female_hypothalamus","R.R20_female_hypothalamus_control.NYNO","hi","control"
"R.R20_female_pituitary_control","R.R20","female","pituitary","control","female.pituitary.control","charcterization","female_pituitary","R.R20_female_pituitary_control","hi","control"
"R.R9_female_gonad_control","R.R9","female","gonads","control","female.gonads.control","charcterization","female_gonads","R.R9_female_gonad_control","lo","control"
"R.R9_female_hypothalamus_control","R.R9","female","hypothalamus","control","female.hypothalamus.control","charcterization","female_hypothalamus","R.R9_female_hypothalamus_control","lo","control"
"R.R9_female_pituitary_control.NYNO","R.R9","female","pituitary","control","female.pituitary.control","charcterization","female_pituitary","R.R9_female_pituitary_control.NYNO","lo","control"
"R.W44_female_gonad_control","R.W44","female","gonads","control","female.gonads.control","charcterization","female_gonads","R.W44_female_gonad_control","hi","control"
"R.W44_female_hypothalamus_control","R.W44","female","hypothalamus","control","female.hypothalamus.control","charcterization","female_hypothalamus","R.W44_female_hypothalamus_control","hi","control"
"R.W44_female_pituitary_control.NYNO","R.W44","female","pituitary","control","female.pituitary.control","charcterization","female_pituitary","R.W44_female_pituitary_control.NYNO","hi","control"
"R.Y108.W29_male_gonad_control","R.Y108.W29","male","gonads","control","male.gonads.control","charcterization","male_gonads","R.Y108.W29_male_gonad_control","lo","control"
"R.Y108.W29_male_hypothalamus_control.NYNO","R.Y108.W29","male","hypothalamus","control","male.hypothalamus.control","charcterization","male_hypothalamus","R.Y108.W29_male_hypothalamus_control.NYNO","lo","control"
"R.Y108.W29_male_pituitary_control","R.Y108.W29","male","pituitary","control","male.pituitary.control","charcterization","male_pituitary","R.Y108.W29_male_pituitary_control","lo","control"
"blk.s030.o.g_male_gonad_prolong","blk.s030.o.g","male","gonads","prolong","male.gonads.prolong","manipulation","male_gonads","blk.s030.o.g_male_gonad_prolong","lo","eggs"
"blk.s030.o.g_male_hypothalamus_prolong","blk.s030.o.g","male","hypothalamus","prolong","male.hypothalamus.prolong","manipulation","male_hypothalamus","blk.s030.o.g_male_hypothalamus_prolong","lo","eggs"
"blk.s030.o.g_male_pituitary_prolong","blk.s030.o.g","male","pituitary","prolong","male.pituitary.prolong","manipulation","male_pituitary","blk.s030.o.g_male_pituitary_prolong","lo","eggs"
"blk.s031.pu.d_female_gonad_prolong","blk.s031.pu.d","female","gonads","prolong","female.gonads.prolong","manipulation","female_gonads","blk.s031.pu.d_female_gonad_prolong","hi","eggs"
"blk.s031.pu.d_female_hypothalamus_prolong","blk.s031.pu.d","female","hypothalamus","prolong","female.hypothalamus.prolong","manipulation","female_hypothalamus","blk.s031.pu.d_female_hypothalamus_prolong","hi","eggs"
"blk.s031.pu.d_female_pituitary_prolong","blk.s031.pu.d","female","pituitary","prolong","female.pituitary.prolong","manipulation","female_pituitary","blk.s031.pu.d_female_pituitary_prolong","hi","eggs"
"blk.s032.g.w_female_gonad_m.hatch","blk.s032.g.w","female","gonads","m.n2","female.gonads.m.n2","manipulation","female_gonads","blk.s032.g.w_female_gonad_m.hatch","hi","nest"
"blk.s032.g.w_female_hypothalamus_m.hatch","blk.s032.g.w","female","hypothalamus","m.n2","female.hypothalamus.m.n2","manipulation","female_hypothalamus","blk.s032.g.w_female_hypothalamus_m.hatch","hi","nest"
"blk.s032.g.w_female_pituitary_m.hatch","blk.s032.g.w","female","pituitary","m.n2","female.pituitary.m.n2","manipulation","female_pituitary","blk.s032.g.w_female_pituitary_m.hatch","hi","nest"
"blk.s049.y.g_female_gonad_m.inc.d3","blk.s049.y.g","female","gonads","m.inc.d3","female.gonads.m.inc.d3","manipulation","female_gonads","blk.s049.y.g_female_gonad_m.inc.d3","lo","nest"
"blk.s049.y.g_female_hypothalamus_m.inc.d3","blk.s049.y.g","female","hypothalamus","m.inc.d3","female.hypothalamus.m.inc.d3","manipulation","female_hypothalamus","blk.s049.y.g_female_hypothalamus_m.inc.d3","lo","nest"
"blk.s049.y.g_female_pituitary_m.inc.d3","blk.s049.y.g","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation","female_pituitary","blk.s049.y.g_female_pituitary_m.inc.d3","lo","nest"
"blk.s060.pu.w_female_gonad_m.inc.d3","blk.s060.pu.w","female","gonads","m.inc.d3","female.gonads.m.inc.d3","manipulation","female_gonads","blk.s060.pu.w_female_gonad_m.inc.d3","lo","nest"
"blk.s060.pu.w_female_hypothalamus_m.inc.d3","blk.s060.pu.w","female","hypothalamus","m.inc.d3","female.hypothalamus.m.inc.d3","manipulation","female_hypothalamus","blk.s060.pu.w_female_hypothalamus_m.inc.d3","lo","nest"
"blk.s060.pu.w_female_pituitary_m.inc.d3.NYNO","blk.s060.pu.w","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation","female_pituitary","blk.s060.pu.w_female_pituitary_m.inc.d3.NYNO","lo","nest"
"blk.s061.pu.y_female_gonad_inc.d9","blk.s061.pu.y","female","gonads","inc.d9","female.gonads.inc.d9","charcterization","female_gonads","blk.s061.pu.y_female_gonad_inc.d9","lo","eggs"
"blk.s061.pu.y_female_hypothalamus_inc.d9","blk.s061.pu.y","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9","charcterization","female_hypothalamus","blk.s061.pu.y_female_hypothalamus_inc.d9","lo","eggs"
"blk.s061.pu.y_female_pituitary_inc.d9","blk.s061.pu.y","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization","female_pituitary","blk.s061.pu.y_female_pituitary_inc.d9","lo","eggs"
"blk.y.l.s109_female_gonad_m.inc.d8","blk.y.l.s109","female","gonads","early","female.gonads.early","charcterization","female_gonads","blk.y.l.s109_female_gonad_m.inc.d8","lo","chicks"
"blk.y.l.s109_female_hypothalamus_m.inc.d8","blk.y.l.s109","female","hypothalamus","early","female.hypothalamus.early","charcterization","female_hypothalamus","blk.y.l.s109_female_hypothalamus_m.inc.d8","lo","chicks"
"blk.y.l.s109_female_pituitary_m.inc.d8","blk.y.l.s109","female","pituitary","early","female.pituitary.early","charcterization","female_pituitary","blk.y.l.s109_female_pituitary_m.inc.d8","lo","chicks"
"blk0.x_female_gonad_m.n2","blk0.x","female","gonads","m.n2","female.gonads.m.n2","manipulation","female_gonads","blk0.x_female_gonad_m.n2","hi","nest"
"blk0.x_female_hypothalamus_m.n2","blk0.x","female","hypothalamus","m.n2","female.hypothalamus.m.n2","manipulation","female_hypothalamus","blk0.x_female_hypothalamus_m.n2","hi","nest"
"blk0.x_female_pituitary_m.n2","blk0.x","female","pituitary","m.n2","female.pituitary.m.n2","manipulation","female_pituitary","blk0.x_female_pituitary_m.n2","hi","nest"
"blk11.x_female_gonad_bldg","blk11.x","female","gonads","bldg","female.gonads.bldg","charcterization","female_gonads","blk11.x_female_gonad_bldg","lo","nest"
"blk11.x_female_hypothalamus_bldg","blk11.x","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization","female_hypothalamus","blk11.x_female_hypothalamus_bldg","lo","nest"
"blk11.x_female_pituitary_bldg","blk11.x","female","pituitary","bldg","female.pituitary.bldg","charcterization","female_pituitary","blk11.x_female_pituitary_bldg","lo","nest"
"blk12.x_male_gonad_n5","blk12.x","male","gonads","n5","male.gonads.n5","charcterization","male_gonads","blk12.x_male_gonad_n5","hi","chicks"
"blk12.x_male_hypothalamus_n5.NYNO","blk12.x","male","hypothalamus","n5","male.hypothalamus.n5","charcterization","male_hypothalamus","blk12.x_male_hypothalamus_n5.NYNO","hi","chicks"
"blk12.x_male_pituitary_n5","blk12.x","male","pituitary","n5","male.pituitary.n5","charcterization","male_pituitary","blk12.x_male_pituitary_n5","hi","chicks"
"blk17.x_male_gonad_inc.d17","blk17.x","male","gonads","inc.d17","male.gonads.inc.d17","charcterization","male_gonads","blk17.x_male_gonad_inc.d17","hi","eggs"
"blk17.x_male_hypothalamus_inc.d17","blk17.x","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17","charcterization","male_hypothalamus","blk17.x_male_hypothalamus_inc.d17","hi","eggs"
"blk17.x_male_pituitary_inc.d17","blk17.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization","male_pituitary","blk17.x_male_pituitary_inc.d17","hi","eggs"
"blk19.x_female_gonad_extend","blk19.x","female","gonads","extend","female.gonads.extend","manipulation","female_gonads","blk19.x_female_gonad_extend","hi","chicks"
"blk19.x_female_hypothalamus_extend","blk19.x","female","hypothalamus","extend","female.hypothalamus.extend","manipulation","female_hypothalamus","blk19.x_female_hypothalamus_extend","hi","chicks"
"blk19.x_female_pituitary_extend","blk19.x","female","pituitary","extend","female.pituitary.extend","manipulation","female_pituitary","blk19.x_female_pituitary_extend","hi","chicks"
"blk21.x_female_gonad_hatch","blk21.x","female","gonads","hatch","female.gonads.hatch","charcterization","female_gonads","blk21.x_female_gonad_hatch","hi","chicks"
"blk21.x_female_hypothalamus_hatch","blk21.x","female","hypothalamus","hatch","female.hypothalamus.hatch","charcterization","female_hypothalamus","blk21.x_female_hypothalamus_hatch","hi","chicks"
"blk21.x_female_pituitary_hatch","blk21.x","female","pituitary","hatch","female.pituitary.hatch","charcterization","female_pituitary","blk21.x_female_pituitary_hatch","hi","chicks"
"blk4.x_female_gonad_n9","blk4.x","female","gonads","n9","female.gonads.n9","charcterization","female_gonads","blk4.x_female_gonad_n9","hi","chicks"
"blk4.x_female_hypothalamus_n9","blk4.x","female","hypothalamus","n9","female.hypothalamus.n9","charcterization","female_hypothalamus","blk4.x_female_hypothalamus_n9","hi","chicks"
"blk4.x_female_pituitary_n9","blk4.x","female","pituitary","n9","female.pituitary.n9","charcterization","female_pituitary","blk4.x_female_pituitary_n9","hi","chicks"
"blk5.x_male_gonad_m.inc.d3","blk5.x","male","gonads","m.inc.d3","male.gonads.m.inc.d3","manipulation","male_gonads","blk5.x_male_gonad_m.inc.d3","lo","nest"
"blk5.x_male_hypothalamus_m.inc.d3","blk5.x","male","hypothalamus","m.inc.d3","male.hypothalamus.m.inc.d3","manipulation","male_hypothalamus","blk5.x_male_hypothalamus_m.inc.d3","lo","nest"
"blk5.x_male_pituitary_m.inc.d3","blk5.x","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation","male_pituitary","blk5.x_male_pituitary_m.inc.d3","lo","nest"
"blu.o.x.ATLAS_female_gonad_control","blu.o.x.ATLAS","female","gonads","control","female.gonads.control","charcterization","female_gonads","blu.o.x.ATLAS_female_gonad_control","hi","control"
"blu.o.x.ATLAS_female_hypothalamus_control","blu.o.x.ATLAS","female","hypothalamus","control","female.hypothalamus.control","charcterization","female_hypothalamus","blu.o.x.ATLAS_female_hypothalamus_control","hi","control"
"blu.o.x.ATLAS_female_pituitary_control","blu.o.x.ATLAS","female","pituitary","control","female.pituitary.control","charcterization","female_pituitary","blu.o.x.ATLAS_female_pituitary_control","hi","control"
"blu10.w26.x_male_gonad_m.hatch","blu10.w26.x","male","gonads","m.n2","male.gonads.m.n2","manipulation","male_gonads","blu10.w26.x_male_gonad_m.hatch","hi","nest"
"blu10.w26.x_male_hypothalamus_m.hatch","blu10.w26.x","male","hypothalamus","m.n2","male.hypothalamus.m.n2","manipulation","male_hypothalamus","blu10.w26.x_male_hypothalamus_m.hatch","hi","nest"
"blu10.w26.x_male_pituitary_m.hatch","blu10.w26.x","male","pituitary","m.n2","male.pituitary.m.n2","manipulation","male_pituitary","blu10.w26.x_male_pituitary_m.hatch","hi","nest"
"blu103.x_female_gonad_hatch.NYNO","blu103.x","female","gonads","hatch","female.gonads.hatch","charcterization","female_gonads","blu103.x_female_gonad_hatch.NYNO","hi","chicks"
"blu103.x_female_hypothalamus_hatch","blu103.x","female","hypothalamus","hatch","female.hypothalamus.hatch","charcterization","female_hypothalamus","blu103.x_female_hypothalamus_hatch","hi","chicks"
"blu103.x_female_pituitary_hatch.NYNO","blu103.x","female","pituitary","hatch","female.pituitary.hatch","charcterization","female_pituitary","blu103.x_female_pituitary_hatch.NYNO","hi","chicks"
"blu104.w120.x_male_gonad_hatch","blu104.w120.x","male","gonads","hatch","male.gonads.hatch","charcterization","male_gonads","blu104.w120.x_male_gonad_hatch","hi","chicks"
"blu104.w120.x_male_hypothalamus_hatch","blu104.w120.x","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization","male_hypothalamus","blu104.w120.x_male_hypothalamus_hatch","hi","chicks"
"blu104.w120.x_male_pituitary_hatch.NYNO","blu104.w120.x","male","pituitary","hatch","male.pituitary.hatch","charcterization","male_pituitary","blu104.w120.x_male_pituitary_hatch.NYNO","hi","chicks"
"blu108.w40.o158_male_gonad_inc.d9","blu108.w40.o158","male","gonads","inc.d9","male.gonads.inc.d9","charcterization","male_gonads","blu108.w40.o158_male_gonad_inc.d9","lo","eggs"
"blu108.w40.o158_male_hypothalamus_inc.d9","blu108.w40.o158","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9","charcterization","male_hypothalamus","blu108.w40.o158_male_hypothalamus_inc.d9","lo","eggs"
"blu108.w40.o158_male_pituitary_inc.d9","blu108.w40.o158","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization","male_pituitary","blu108.w40.o158_male_pituitary_inc.d9","lo","eggs"
"blu111.w113.x_male_gonad_inc.d3","blu111.w113.x","male","gonads","inc.d3","male.gonads.inc.d3","charcterization","male_gonads","blu111.w113.x_male_gonad_inc.d3","lo","eggs"
"blu111.w113.x_male_hypothalamus_inc.d3","blu111.w113.x","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3","charcterization","male_hypothalamus","blu111.w113.x_male_hypothalamus_inc.d3","lo","eggs"
"blu111.w113.x_male_pituitary_inc.d3","blu111.w113.x","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization","male_pituitary","blu111.w113.x_male_pituitary_inc.d3","lo","eggs"
"blu113.w124.x_male_gonad_inc.d17","blu113.w124.x","male","gonads","inc.d17","male.gonads.inc.d17","charcterization","male_gonads","blu113.w124.x_male_gonad_inc.d17","hi","eggs"
"blu113.w124.x_male_hypothalamus_inc.d17","blu113.w124.x","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17","charcterization","male_hypothalamus","blu113.w124.x_male_hypothalamus_inc.d17","hi","eggs"
"blu113.w124.x_male_pituitary_inc.d17.NYNO","blu113.w124.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization","male_pituitary","blu113.w124.x_male_pituitary_inc.d17.NYNO","hi","eggs"
"blu114.r38.w198_male_gonad_bldg","blu114.r38.w198","male","gonads","bldg","male.gonads.bldg","charcterization","male_gonads","blu114.r38.w198_male_gonad_bldg","lo","nest"
"blu114.r38.w198_male_hypothalamus_bldg","blu114.r38.w198","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization","male_hypothalamus","blu114.r38.w198_male_hypothalamus_bldg","lo","nest"
"blu114.r38.w198_male_pituitary_bldg","blu114.r38.w198","male","pituitary","bldg","male.pituitary.bldg","charcterization","male_pituitary","blu114.r38.w198_male_pituitary_bldg","lo","nest"
"blu115.y150.x_female_gonad_inc.prolong","blu115.y150.x","female","gonads","prolong","female.gonads.prolong","manipulation","female_gonads","blu115.y150.x_female_gonad_inc.prolong","hi","eggs"
"blu115.y150.x_female_hypothalamus_inc.prolong","blu115.y150.x","female","hypothalamus","prolong","female.hypothalamus.prolong","manipulation","female_hypothalamus","blu115.y150.x_female_hypothalamus_inc.prolong","hi","eggs"
"blu115.y150.x_female_pituitary_inc.prolong","blu115.y150.x","female","pituitary","prolong","female.pituitary.prolong","manipulation","female_pituitary","blu115.y150.x_female_pituitary_inc.prolong","hi","eggs"
"blu119.w84.x_female_gonad_m.inc.d8","blu119.w84.x","female","gonads","early","female.gonads.early","charcterization","female_gonads","blu119.w84.x_female_gonad_m.inc.d8","lo","chicks"
