"","gene","name"
"1","A1BG","alpha-1-B glycoprotein"
"2","A1BG-AS1","A1BG antisense RNA 1"
"3","A1CF","APOBEC1 complementation factor"
"4","A2M","alpha-2-macroglobulin"
"5","A2M-AS1","A2M antisense RNA 1"
"6","A2ML1-AS1","A2ML1 antisense RNA 1"
"7","A2ML1-AS2","A2ML1 antisense RNA 2"
"8","A2MP1","alpha-2-macroglobulin pseudogene 1"
"9","A3GALT2","alpha 1,3-galactosyltransferase 2"
"10","A12M1","adenovirus-12 chromosome modification site 1C"
"11","A12M2","adenovirus-12 chromosome modification site 1A"
"12","A12M3","adenovirus-12 chromosome modification site 1B"
"13","A12M4","adenovirus-12 chromosome modification site 17"
"14","AABT","amino acid transport, beta"
"15","AACSP1","acetoacetyl-CoA synthetase pseudogene 1"
"16","AADAC","arylacetamide deacetylase"
"17","AADACL2","arylacetamide deacetylase like 2"
"18","AADACL2-AS1","AADACL2 antisense RNA 1"
"19","AADACL3","arylacetamide deacetylase like 3"
"20","AADACP1","arylacetamide deacetylase pseudogene 1"
"21","AARD","alanine and arginine rich domain containing protein"
"22","AARS1","alanyl-tRNA synthetase 1"
"23","AARS1P1","alanyl-tRNA synthetase 1 pseudogene 1"
"24","AASDH","aminoadipate-semialdehyde dehydrogenase"
"25","AATBC","apoptosis associated transcript in bladder cancer"
"26","AAVS1","adeno-associated virus integration site 1"
"27","ABALON","apoptotic BCL2L1-antisense long non-coding RNA"
"28","ABCA6","ATP binding cassette subfamily A member 6"
"29","ABCA7","ATP binding cassette subfamily A member 7"
"30","ABCA8","ATP binding cassette subfamily A member 8"
"31","ABCA9","ATP binding cassette subfamily A member 9"
"32","ABCA9-AS1","ABCA9 antisense RNA 1"
"33","ABCA10","ATP binding cassette subfamily A member 10"
"34","ABCA11P","ATP binding cassette subfamily A member 11, pseudogene"
"35","ABCA17P","ATP binding cassette subfamily A member 17, pseudogene"
"36","ABCB1","ATP binding cassette subfamily B member 1"
"37","ABCB4","ATP binding cassette subfamily B member 4"
"38","ABCB10P1","ABCB10 pseudogene 1"
"39","ABCB10P3","ABCB10 pseudogene 3"
"40","ABCB10P4","ABCB10 pseudogene 4"
"41","ABCC5-AS1","ABCC5 antisense RNA 1"
"42","ABCC6P1","ATP binding cassette subfamily C member 6 pseudogene 1"
"43","ABCC6P2","ATP binding cassette subfamily C member 6 pseudogene 2"
"44","ABCC11","ATP binding cassette subfamily C member 11"
"45","ABCC12","ATP binding cassette subfamily C member 12"
"46","ABCD1","ATP binding cassette subfamily D member 1"
"47","ABCD1P1","ATP binding cassette subfamily D member 1 pseudogene 1"
"48","ABCD1P2","ATP binding cassette subfamily D member 1 pseudogene 2"
"49","ABCD1P3","ATP binding cassette subfamily D member 1 pseudogene 3"
"50","ABCD1P4","ATP binding cassette subfamily D member 1 pseudogene 4"
"51","ABCD1P5","ATP binding cassette subfamily D member 1 pseudogene 5"
"52","ABCF1","ATP binding cassette subfamily F member 1"
"53","ABCF1-DT","ABCF1 divergent transcript"
"54","ABCF2-H2BE1","ABCF2-H2BE1 readthrough"
"55","ABCF2P1","ATP binding cassette subfamily F member 2 pseudogene 1"
"56","ABCF2P2","ATP binding cassette subfamily F member 2 pseudogene 2"
"57","ABHD1","abhydrolase domain containing 1"
"58","ABHD4","abhydrolase domain containing 4, N-acyl phospholipase B"
"59","ABHD11-AS1","ABHD11 antisense RNA 1 (tail to tail)"
"60","ABHD11-AS2","ABHD11 antisense RNA 2"
"61","ABHD14A-ACY1","ABHD14A-ACY1 readthrough"
"62","ABHD14B","abhydrolase domain containing 14B"
"63","ABHD15","abhydrolase domain containing 15"
"64","ABHD15-AS1","ABHD15 antisense RNA 1"
"65","ABHD16B","abhydrolase domain containing 16B"
"66","ABHD17AP1","ABHD17A pseudogene 1"
"67","ABHD17AP3","ABHD17A pseudogene 3"
"68","ABHD17AP4","ABHD17A pseudogene 4"
"69","ABHD17AP5","ABHD17A pseudogene 5"
"70","ABHD17AP6","ABHD17A pseudogene 6"
"71","ABHD17AP7","ABHD17A pseudogene 7"
"72","ABHD17AP8","ABHD17A pseudogene 8"
"73","ABHD17AP9","ABHD17A pseudogene 9"
"74","ABHD18","abhydrolase domain containing 18"
"75","ABI1P1","abl interactor 1 pseudogene 1"
"76","ABI3","ABI family member 3"
"77","ABITRAM","actin binding transcription modulator"
"78","ABITRAMP1","ABITRAM pseudogene 1"
"79","ABO","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"
"80","ABRAXAS1","abraxas 1, BRCA1 A complex subunit"
