"","V1","bird","sex","tissue","treatment","external","internal","group","study"
"1","L.Blu13_male_gonad_control.NYNO","l.blu13","male","gonads","control","control","control","male.gonads.control","charcterization"
"2","L.Blu13_male_hypothalamus_control.NYNO","l.blu13","male","hypothalamus","control","control","control","male.hypothalamus.control","charcterization"
"3","L.Blu13_male_pituitary_control.NYNO","l.blu13","male","pituitary","control","control","control","male.pituitary.control","charcterization"
"4","L.G107_male_gonad_control","l.g107","male","gonads","control","control","control","male.gonads.control","charcterization"
"5","L.G107_male_hypothalamus_control","l.g107","male","hypothalamus","control","control","control","male.hypothalamus.control","charcterization"
"6","L.G107_male_pituitary_control","l.g107","male","pituitary","control","control","control","male.pituitary.control","charcterization"
"7","L.G118_female_gonad_control","l.g118","female","gonads","control","control","control","female.gonads.control","charcterization"
"8","L.G118_female_hypothalamus_control.NYNO","l.g118","female","hypothalamus","control","control","control","female.hypothalamus.control","charcterization"
"9","L.G118_female_pituitary_control.NYNO","l.g118","female","pituitary","control","control","control","female.pituitary.control","charcterization"
"10","L.R3_male_gonad_control.NYNO","l.r3","male","gonads","control","control","control","male.gonads.control","charcterization"
"11","L.R3_male_hypothalamus_control","l.r3","male","hypothalamus","control","control","control","male.hypothalamus.control","charcterization"
"12","L.R3_male_pituitary_control.NYNO","l.r3","male","pituitary","control","control","control","male.pituitary.control","charcterization"
"13","L.R8_male_gonad_control","l.r8","male","gonads","control","control","control","male.gonads.control","charcterization"
"14","L.R8_male_hypothalamus_control","l.r8","male","hypothalamus","control","control","control","male.hypothalamus.control","charcterization"
"15","L.R8_male_pituitary_control","l.r8","male","pituitary","control","control","control","male.pituitary.control","charcterization"
"16","L.W33_male_gonad_control","l.w33","male","gonads","control","control","control","male.gonads.control","charcterization"
"17","L.W33_male_hypothalamus_control.NYNO","l.w33","male","hypothalamus","control","control","control","male.hypothalamus.control","charcterization"
"18","L.W33_male_pituitary_control","l.w33","male","pituitary","control","control","control","male.pituitary.control","charcterization"
"19","L.W3_male_gonad_control.NYNO","l.w3","male","gonads","control","control","control","male.gonads.control","charcterization"
"20","L.W3_male_hypothalamus_control","l.w3","male","hypothalamus","control","control","control","male.hypothalamus.control","charcterization"
"21","L.W3_male_pituitary_control","l.w3","male","pituitary","control","control","control","male.pituitary.control","charcterization"
"22","L.W4_male_gonad_control.NYNO","l.w4","male","gonads","control","control","control","male.gonads.control","charcterization"
"23","L.W4_male_hypothalamus_control","l.w4","male","hypothalamus","control","control","control","male.hypothalamus.control","charcterization"
"24","L.W4_male_pituitary_control","l.w4","male","pituitary","control","control","control","male.pituitary.control","charcterization"
"25","R.G106_female_gonad_control","r.g106","female","gonads","control","control","control","female.gonads.control","charcterization"
"26","R.G106_female_hypothalamus_control","r.g106","female","hypothalamus","control","control","control","female.hypothalamus.control","charcterization"
"27","R.G106_female_pituitary_control","r.g106","female","pituitary","control","control","control","female.pituitary.control","charcterization"
"28","R.R20_female_gonad_control","r.r20","female","gonads","control","control","control","female.gonads.control","charcterization"
"29","R.R20_female_hypothalamus_control.NYNO","r.r20","female","hypothalamus","control","control","control","female.hypothalamus.control","charcterization"
"30","R.R20_female_pituitary_control","r.r20","female","pituitary","control","control","control","female.pituitary.control","charcterization"
"31","R.R9_female_gonad_control","r.r9","female","gonads","control","control","control","female.gonads.control","charcterization"
"32","R.R9_female_hypothalamus_control","r.r9","female","hypothalamus","control","control","control","female.hypothalamus.control","charcterization"
"33","R.R9_female_pituitary_control.NYNO","r.r9","female","pituitary","control","control","control","female.pituitary.control","charcterization"
"34","R.W44_female_gonad_control","r.w44","female","gonads","control","control","control","female.gonads.control","charcterization"
"35","R.W44_female_hypothalamus_control","r.w44","female","hypothalamus","control","control","control","female.hypothalamus.control","charcterization"
"36","R.W44_female_pituitary_control.NYNO","r.w44","female","pituitary","control","control","control","female.pituitary.control","charcterization"
"37","R.Y108.W29_male_gonad_control","r.y108.w29","male","gonads","control","control","control","male.gonads.control","charcterization"
"38","R.Y108.W29_male_hypothalamus_control.NYNO","r.y108.w29","male","hypothalamus","control","control","control","male.hypothalamus.control","charcterization"
"39","R.Y108.W29_male_pituitary_control","r.y108.w29","male","pituitary","control","control","control","male.pituitary.control","charcterization"
"40","blk.s030.o.g_male_gonad_prolong","blk.s030.o.g","male","gonads","prolong","eggs","late","male.gonads.prolong","manipulation"
"41","blk.s030.o.g_male_hypothalamus_prolong","blk.s030.o.g","male","hypothalamus","prolong","eggs","late","male.hypothalamus.prolong","manipulation"
"42","blk.s030.o.g_male_pituitary_prolong","blk.s030.o.g","male","pituitary","prolong","eggs","late","male.pituitary.prolong","manipulation"
"43","blk.s031.pu.d_female_gonad_prolong","blk.s031.pu.d","female","gonads","prolong","eggs","late","female.gonads.prolong","manipulation"
"44","blk.s031.pu.d_female_hypothalamus_prolong","blk.s031.pu.d","female","hypothalamus","prolong","eggs","late","female.hypothalamus.prolong","manipulation"
"45","blk.s031.pu.d_female_pituitary_prolong","blk.s031.pu.d","female","pituitary","prolong","eggs","late","female.pituitary.prolong","manipulation"
"46","blk.s032.g.w_female_gonad_m.hatch","blk.s032.g.w","female","gonads","m.n2","nest","late","female.gonads.m.n2","manipulation"
"47","blk.s032.g.w_female_hypothalamus_m.hatch","blk.s032.g.w","female","hypothalamus","m.n2","nest","late","female.hypothalamus.m.n2","manipulation"
"48","blk.s032.g.w_female_pituitary_m.hatch","blk.s032.g.w","female","pituitary","m.n2","nest","late","female.pituitary.m.n2","manipulation"
"49","blk.s049.y.g_female_gonad_m.inc.d3","blk.s049.y.g","female","gonads","m.inc.d3","nest","early","female.gonads.m.inc.d3","manipulation"
"50","blk.s049.y.g_female_hypothalamus_m.inc.d3","blk.s049.y.g","female","hypothalamus","m.inc.d3","nest","early","female.hypothalamus.m.inc.d3","manipulation"
"51","blk.s049.y.g_female_pituitary_m.inc.d3","blk.s049.y.g","female","pituitary","m.inc.d3","nest","early","female.pituitary.m.inc.d3","manipulation"
"52","blk.s060.pu.w_female_gonad_m.inc.d3","blk.s060.pu.w","female","gonads","m.inc.d3","nest","early","female.gonads.m.inc.d3","manipulation"
"53","blk.s060.pu.w_female_hypothalamus_m.inc.d3","blk.s060.pu.w","female","hypothalamus","m.inc.d3","nest","early","female.hypothalamus.m.inc.d3","manipulation"
"54","blk.s060.pu.w_female_pituitary_m.inc.d3.NYNO","blk.s060.pu.w","female","pituitary","m.inc.d3","nest","early","female.pituitary.m.inc.d3","manipulation"
"55","blk.s061.pu.y_female_gonad_inc.d9","blk.s061.pu.y","female","gonads","inc.d9","eggs","early","female.gonads.inc.d9","charcterization"
"56","blk.s061.pu.y_female_hypothalamus_inc.d9","blk.s061.pu.y","female","hypothalamus","inc.d9","eggs","early","female.hypothalamus.inc.d9","charcterization"
"57","blk.s061.pu.y_female_pituitary_inc.d9","blk.s061.pu.y","female","pituitary","inc.d9","eggs","early","female.pituitary.inc.d9","charcterization"
"58","blk.y.l.s109_female_gonad_m.inc.d8","blk.y.l.s109","female","gonads","early","chicks","early","female.gonads.early","charcterization"
"59","blk.y.l.s109_female_hypothalamus_m.inc.d8","blk.y.l.s109","female","hypothalamus","early","chicks","early","female.hypothalamus.early","charcterization"
"60","blk.y.l.s109_female_pituitary_m.inc.d8","blk.y.l.s109","female","pituitary","early","chicks","early","female.pituitary.early","charcterization"
"61","blk0.x_female_gonad_m.n2","blk0.x","female","gonads","m.n2","nest","late","female.gonads.m.n2","manipulation"
"62","blk0.x_female_hypothalamus_m.n2","blk0.x","female","hypothalamus","m.n2","nest","late","female.hypothalamus.m.n2","manipulation"
"63","blk0.x_female_pituitary_m.n2","blk0.x","female","pituitary","m.n2","nest","late","female.pituitary.m.n2","manipulation"
"64","blk11.x_female_gonad_bldg","blk11.x","female","gonads","bldg","nest","early","female.gonads.bldg","charcterization"
"65","blk11.x_female_hypothalamus_bldg","blk11.x","female","hypothalamus","bldg","nest","early","female.hypothalamus.bldg","charcterization"
"66","blk11.x_female_pituitary_bldg","blk11.x","female","pituitary","bldg","nest","early","female.pituitary.bldg","charcterization"
"67","blk12.x_male_gonad_n5","blk12.x","male","gonads","n5","chicks","late","male.gonads.n5","charcterization"
"68","blk12.x_male_hypothalamus_n5.NYNO","blk12.x","male","hypothalamus","n5","chicks","late","male.hypothalamus.n5","charcterization"
"69","blk12.x_male_pituitary_n5","blk12.x","male","pituitary","n5","chicks","late","male.pituitary.n5","charcterization"
"70","blk17.x_male_gonad_inc.d17","blk17.x","male","gonads","inc.d17","eggs","late","male.gonads.inc.d17","charcterization"
"71","blk17.x_male_hypothalamus_inc.d17","blk17.x","male","hypothalamus","inc.d17","eggs","late","male.hypothalamus.inc.d17","charcterization"
"72","blk17.x_male_pituitary_inc.d17","blk17.x","male","pituitary","inc.d17","eggs","late","male.pituitary.inc.d17","charcterization"
"73","blk19.x_female_gonad_extend","blk19.x","female","gonads","extend","chicks","late","female.gonads.extend","manipulation"
"74","blk19.x_female_hypothalamus_extend","blk19.x","female","hypothalamus","extend","chicks","late","female.hypothalamus.extend","manipulation"
"75","blk19.x_female_pituitary_extend","blk19.x","female","pituitary","extend","chicks","late","female.pituitary.extend","manipulation"
"76","blk21.x_female_gonad_hatch","blk21.x","female","gonads","hatch","chicks","late","female.gonads.hatch","charcterization"
"77","blk21.x_female_hypothalamus_hatch","blk21.x","female","hypothalamus","hatch","chicks","late","female.hypothalamus.hatch","charcterization"
"78","blk21.x_female_pituitary_hatch","blk21.x","female","pituitary","hatch","chicks","late","female.pituitary.hatch","charcterization"
"79","blk4.x_female_gonad_n9","blk4.x","female","gonads","n9","chicks","late","female.gonads.n9","charcterization"
"80","blk4.x_female_hypothalamus_n9","blk4.x","female","hypothalamus","n9","chicks","late","female.hypothalamus.n9","charcterization"
"81","blk4.x_female_pituitary_n9","blk4.x","female","pituitary","n9","chicks","late","female.pituitary.n9","charcterization"
"82","blk5.x_male_gonad_m.inc.d3","blk5.x","male","gonads","m.inc.d3","nest","early","male.gonads.m.inc.d3","manipulation"
"83","blk5.x_male_hypothalamus_m.inc.d3","blk5.x","male","hypothalamus","m.inc.d3","nest","early","male.hypothalamus.m.inc.d3","manipulation"
"84","blk5.x_male_pituitary_m.inc.d3","blk5.x","male","pituitary","m.inc.d3","nest","early","male.pituitary.m.inc.d3","manipulation"
"85","blu.o.x.ATLAS_female_gonad_control","blu.o.x.atlas","female","gonads","control","control","control","female.gonads.control","charcterization"
"86","blu.o.x.ATLAS_female_hypothalamus_control","blu.o.x.atlas","female","hypothalamus","control","control","control","female.hypothalamus.control","charcterization"
"87","blu.o.x.ATLAS_female_pituitary_control","blu.o.x.atlas","female","pituitary","control","control","control","female.pituitary.control","charcterization"
"88","blu10.w26.x_male_gonad_m.hatch","blu10.w26.x","male","gonads","m.n2","nest","late","male.gonads.m.n2","manipulation"
"89","blu10.w26.x_male_hypothalamus_m.hatch","blu10.w26.x","male","hypothalamus","m.n2","nest","late","male.hypothalamus.m.n2","manipulation"
"90","blu10.w26.x_male_pituitary_m.hatch","blu10.w26.x","male","pituitary","m.n2","nest","late","male.pituitary.m.n2","manipulation"
