"","bird","sex","treatment"
"1","L.Blu13","male","control"
"2","L.G107","male","control"
"3","L.G118","female","control"
"4","L.R3","male","control"
"5","L.R8","male","control"
"6","L.W33","male","control"
"7","L.W3","male","control"
"8","L.W4","male","control"
"9","R.G106","female","control"
"10","R.R20","female","control"
"11","R.R9","female","control"
"12","R.W44","female","control"
"13","R.Y108.W29","male","control"
"14","blk.s030.o.g","male","prolong"
"15","blk.s031.pu.d","female","prolong"
"16","blk.s032.g.w","female","m.n2"
"17","blk.s049.y.g","female","m.inc.d3"
"18","blk.s060.pu.w","female","m.inc.d3"
"19","blk.s061.pu.y","female","inc.d9"
"20","blk.y.l.s109","female","early"
"21","blk0.x","female","m.n2"
"22","blk11.x","female","bldg"
"23","blk12.x","male","n5"
"24","blk17.x","male","inc.d17"
"25","blk19.x","female","extend"
"26","blk21.x","female","hatch"
"27","blk4.x","female","n9"
"28","blk5.x","male","m.inc.d3"
"29","blu.o.x.ATLAS","female","control"
"30","blu10.w26.x","male","m.n2"
"31","blu103.x","female","hatch"
"32","blu104.w120.x","male","hatch"
"33","blu108.w40.o158","male","inc.d9"
"34","blu111.w113.x","male","inc.d3"
"35","blu113.w124.x","male","inc.d17"
"36","blu114.r38.w198","male","bldg"
"37","blu115.y150.x","female","prolong"
"38","blu119.w84.x","female","early"
"39","blu121.w91.x","male","inc.d17"
"40","blu124.w180.x","female","hatch"
"41","blu33.y88.x","male","bldg"
"42","blu36.w16","female","n9"
"43","blu37.r65.x","male","n5"
"44","blu38.g135.x","female","bldg"
"45","blu39.o26.x","female","inc.d3"
"46","blu41.y100.x","male","n5"
"47","blu44.y102","female","extend"
"48","blu47.y96.x","female","inc.d9"
"49","blu55.g51","female","n5"
"50","blu56.o53","female","m.inc.d3"
"51","blu63.g62","female","m.inc.d9"
"52","blu80.r97","female","early"
"53","blu81.r88","male","n9"
"54","blu84.x","male","extend"
"55","d.r.blk.s159","female","m.inc.d9"
"56","d.s008.y.blk","male","n5"
"57","d.s047.blk.o","male","n5"
"58","d.s110.g.blk","male","m.inc.d3"
"59","d.s112.blk.w","female","m.inc.d17"
"60","d.s177.blk.r","female","m.inc.d3"
"61","g.blk.s004.pk","female","lay"
"62","g.blk.s041.r","male","m.inc.d3"
"63","g.o.y.s037","male","m.inc.d17"
"64","g.s.blk.d","male","n9"
"65","g.s.blk.y","male","lay"
"66","g.s043.pu.blk","male","lay"
"67","g.s075.pk.pu","male","m.n2"
"68","g.s076.pk.r","female","m.n2"
"69","g.s078.blk.o","female","lay"
"70","g.s111.r.blk","male","early"
"71","g.s179.o.pk","male","early"
"72","g.s351.pk.w","male","extend"
"73","g.x.ATLAS","female","control"
"74","g.y.blk.s006","female","m.inc.d17"
"75","g.y.o.s","male","prolong"
"76","g104.w82.x","male","bldg"
"77","g114.w83.x","male","hatch"
"78","g130.y81.x","male","inc.d17"
"79","g137.r24.w5","male","early"
"80","g141.blu27.x","female","bldg"
"81","g142.r40.x","female","inc.d17"
"82","g143.blu32.x","male","inc.d17"
"83","g144.r54.x","female","m.inc.d3"
"84","g146.blu51","male","inc.d3"
"85","g17.w108.x","female","extend"
"86","g20.w106.x","male","inc.d3"
"87","g22.blu118","female","extend"
"88","g3.g119.w20","male","extend"
"89","g32.blu79","male","m.inc.d17"
"90","g34.x","male","m.n2"
"91","g38.x","male","prolong"
"92","g52.blu58","male","bldg"
"93","g53.y84","male","hatch"
"94","g6.w197.x","female","inc.d3"
"95","g63.blu65","female","m.inc.d17"
"96","g73.x","female","m.inc.d9"
"97","g75.x","female","inc.d9"
"98","g8.y197","male","extend"
"99","l.s.o.blk","male","extend"
"100","l.s.w.d","female","m.n2"
"101","l.s024.y.g","male","m.inc.d17"
"102","l.s052.pk.r","female","prolong"
"103","l.s080.blk.r","male","prolong"
"104","l.s120.y.blk","female","bldg"
"105","l.s166.o.w","female","prolong"
"106","l.s280.g.blk","male","m.inc.d9"
"107","o.d.s009","male","m.inc.d9"
"108","o.s.w.r","male","lay"
"109","o.s010.r.blk","male","m.inc.d3"
"110","o.s084.w.blk","female","m.inc.d17"
"111","o114.blu9","male","prolong"
"112","o152.o120.w42","male","n5"
"113","o156.w80.x","female","inc.d3"
"114","o165.w122.x","female","inc.d3"
"115","o169.r28.x","female","m.inc.d17"
"116","o172.w115.x","female","hatch"
"117","o173.w179.x","female","inc.d3"
"118","o3.x","male","m.n2"
"119","o35.r51.x","female","inc.d17"
"120","o36.r62.x","female","m.inc.d9"
"121","o38.blu29.x","female","bldg"
"122","o39.y77.x","male","hatch"
"123","o44.blu26.x","male","hatch"
"124","o45.g128.x","female","m.inc.d9"
"125","o48.r197.x","male","inc.d3"
"126","o49.x","male","inc.d9"
"127","o52.blu53","female","inc.d17"
"128","o57.g59","male","inc.d9"
"129","o59.blu64","male","m.inc.d17"
"130","o73.x","female","inc.d9"
"131","p.g.blk.s040","female","early"
"132","pk.s.d.g","male","prolong"
"133","pk.s011.o.y","female","m.inc.d17"
"134","pk.s054.d.g","female","m.n2"
"135","pk.s055.d.l","female","early"
"136","pk.s238.blk.w","male","lay"
"137","pk.w.s141.o","male","lay"
"138","pu.blk.s102.y","male","early"
"139","pu.s.o.r","male","m.n2"
"140","r.r.x.ATLAS.R2XR","female","control"
"141","r.r.x.ATLAS","female","control"
"142","r.s005.pk.blk","male","lay"
"143","r.s035.y.blk","female","m.inc.d3"
"144","r.s056.g.o","female","bldg"
"145","r.s057.g.pk","male","extend"
"146","r.s058.d.l","male","early"
"147","r.s059.d.o","male","bldg"
"148","r.s086.l.blk","male","extend"
"149","r.s116.blk.pu","male","lay"
"150","r.s131.o.d","female","extend"
"151","r.s171.l.w","female","n9"
"152","r.s172.l.y","male","extend"
"153","r.y.s007.blk","male","n9"
"154","r176.blu54","male","inc.d17"
"155","r183.o22","female","hatch"
"156","r190.o43.x","male","lay"
"157","r194.x","female","prolong"
"158","r195.x","male","n9"
"159","r196.x","male","m.inc.d9"
"160","r27.w111.blu125","female","inc.d3"
"161","r30.w112.r46","female","inc.d9"
"162","r36.w184.x","female","inc.d9"
"163","r37.w100.x","male","n9"
"164","r4.x","male","early"
"165","r41.w99.x","male","hatch"
"166","r45.X","male","inc.d9"
"167","r45.x","male","inc.d9"
"168","r49.w189.x","female","inc.d17"
"169","r6.x","female","control"
"170","r72.y83.x","male","hatch"
"171","r73.g127.x","female","inc.d3"
"172","r81.x","male","prolong"
"173","r83.g45","female","bldg"
"174","r84.x","male","m.inc.d9"
"175","r85.g39","male","m.inc.d9"
"176","r90.x","male","prolong"
"177","r95.blu99","female","n9"
"178","s.o.pk","female","lay"
"179","s.pu.pk","female","prolong"
"180","s.pu148.blk.r","male","bldg"
"181","s.x.ATLAS","female","control"
"182","s002.x","female","early"
"183","s038.g.d.blk","female","m.inc.d17"
"184","s044.blk.d.r","male","early"
"185","s062.d.blk.g","male","m.n2"
"186","s063.d.blk.l","female","bldg"
"187","s064.g.blk.pu","male","m.inc.d17"
"188","s065.l.d.o","male","bldg"
"189","s066.l.d.r","male","bldg"
"190","s067.o.l.y","male","early"
"191","s069.pk.pu.g","female","m.inc.d3"
"192","s071.pu.g.pk","male","m.inc.d3"
"193","s089.blk.pk.pu","female","extend"
"194","s090.blk.pk.w","male","m.n2"
"195","s091.blk.r.g","female","early"
"196","s092.blk.r.o","female","bldg"
"197","s093.blk.y.d","female","m.inc.d3"
"198","s095.g.blk.o","female","lay"
"199","s096.g.blk.pk","male","m.inc.d17"
"200","s100.l.pk.blk","female","m.inc.d17"
"201","s103.y.pk.blk","female","m.inc.d3"
"202","s136.d.w.o","female","lay"
"203","s137.g.blk.y","female","extend"
"204","s139.l.blk.w","male","m.inc.d3"
"205","s142.o.pk.pu","female","lay"
"206","s150.w.g.blk","male","lay"
"207","s175.blk.pu.pk","male","m.inc.d3"
"208","s176.blk.pu.r","female","lay"
"209","s186.l.o.pk","female","extend"
"210","s187.l.o.r","male","n9"
"211","s243.blk.pk.r","male","lay"
"212","s333.y.blk.pk","female","m.n2"
"213","w191.r1","female","control"
"214","w34.x","male","inc.d9"
"215","x.blk.blk.ATLAS","male","control"
"216","x.blk16","male","n9"
"217","x.blk20","female","prolong"
"218","x.blk23","male","m.n2"
"219","x.blu.o.ATLAS","male","control"
"220","x.blu101.w43","female","inc.d9"
"221","x.blu102.w105","female","inc.d3"
"222","x.blu106.o153","male","inc.d9"
"223","x.blu109.w121","female","n5"
"224","x.blu116.w107","female","inc.d17"
"225","x.blu117.w89","male","inc.d17"
"226","x.blu122.r66","female","inc.d9"
"227","x.blu23.w14","male","n9"
"228","x.blu25","female","m.inc.d9"
"229","x.blu30","male","n5"
"230","x.blu42.o28","male","inc.d3"
"231","x.blu43.g132","female","n9"
"232","x.blu57","male","prolong"
"233","x.blu6.y80","female","lay"
"234","x.blu69","male","extend"
"235","x.blu73","male","extend"
"236","x.blu76","male","m.n2"
"237","x.blu94","female","m.inc.d17"
"238","x.blu96","female","m.n2"
"239","x.g.ATLAS","male","control"
"240","x.g.g.ATLAS","female","control"
"241","x.g.g.ATLAS","male","control"
"242","x.g.g.g.ATLAS","male","control"
"243","x.g13.w109","male","inc.d9"
"244","x.g14.w199","male","inc.d17"
"245","x.g147.blu28","male","inc.d3"
"246","x.g26","female","early"
"247","x.g37","female","n5"
"248","x.g4.w50","female","n9"
"249","x.g43","female","n5"
"250","x.g49","female","n5"
"251","x.g5.w79","male","m.inc.d3"
"252","x.g50","female","prolong"
"253","x.g70","male","hatch"
"254","x.g9.o166","female","inc.d9"
"255","x.o117","male","m.inc.d9"
"256","x.o159.w90","female","inc.d17"
"257","x.o160.w102","male","hatch"
"258","x.o163.w101","male","inc.d3"
"259","x.o164.w123","male","n5"
"260","x.o171.w45","female","m.n2"
"261","x.o175.g21","female","n5"
"262","x.o2","male","n9"
"263","x.o30.g134","male","bldg"
"264","x.o37.blu50","female","hatch"
"265","x.o40.r70","male","m.inc.d17"
"266","x.o47.y82","male","inc.d9"
"267","x.o4","male","m.n2"
"268","x.o61","female","extend"
"269","x.o68","male","n5"
"270","x.o70","female","n5"
"271","x.r10.w18","male","m.inc.d17"
"272","x.r178","male","hatch"
"273","x.r180","female","m.inc.d3"
"274","x.r181","male","n5"
"275","x.r185","male","m.inc.d3"
"276","x.r29.w96","male","inc.d17"
"277","x.r33.w183","female","inc.d3"
"278","x.r39.g10","female","bldg"
"279","x.r44.w95","female","hatch"
"280","x.r48.y139","female","inc.d17"
"281","x.r50.w97","female","n5"
"282","x.r64.g140","male","inc.d3"
"283","x.r67.blu35","male","bldg"
"284","x.r74.o29","female","m.n2"
"285","x.r76","female","m.inc.d9"
"286","x.s188","female","early"
"287","x.w178","female","n9"
"288","x.w192.o157","male","inc.d9"
"289","x.w51","female","lay"
"290","x.w6","female","n9"
"291","x.y.s.ATLAS","male","control"
"292","x.y109","female","inc.d9"
"293","x.y119.w11","female","m.inc.d17"
"294","x.y132.w76","male","inc.d17"
"295","x.y138.w176","female","n9"
"296","x.y141.w116","male","inc.d9"
"297","x.y145.r55","female","prolong"
"298","x.y51","male","early"
"299","x.y5","female","early"
"300","x.y64","female","extend"
"301","x.y79","male","prolong"
"302","x.y90","female","hatch"
"303","x.y93.g126","female","inc.d9"
"304","x.y9","female","n9"
"305","y.s156.o.r","female","lay"
"306","y.w.blk","male","m.inc.d9"
"307","y12.x","female","m.inc.d9"
"308","y126.w92.x","female","inc.d17"
"309","y128.g23.x","female","inc.d9"
"310","y128.g23.x","female","m.inc.d9"
"311","y129.x","male","n9"
"312","y13.x","female","inc.d3"
"313","y130.o170.x","female","inc.d17"
"314","y131.w185.x","male","n9"
"315","y133.w77.r58","male","inc.d17"
"316","y135.blu107.x","female","inc.d17"
"317","y136.x","female","inc.d17"
"318","y140.w119.x","female","inc.d9"
"319","y146.r32.x","female","prolong"
"320","y148.w81.g145","male","m.inc.d17"
"321","y149.r52.x","male","inc.d3"
"322","y15.x","female","hatch"
"323","y18.x","male","m.inc.d3"
"324","y4.x","male","m.inc.d17"
"325","y55.x","male","early"
"326","y6.o54","female","n5"
"327","y63.x","male","m.inc.d9"
"328","y7.g58","female","hatch"
"329","y85.r71.x","female","m.inc.d17"
"330","y94.g133.x","female","n5"
"331","y95.g131.x","male","inc.d9"
"332","y97.x","female","n9"
"333","y98.g54","female","m.n2"
"334","y98.o50.x","male","inc.d3"
