"","bird","horm.id","rnaseq.id","sex","tissue","treatment","external","internal","group"
"1","blk11.x","blk11-x","blk11.x_female_gonad_bldg","female","gonads","bldg","nest","early","female.gonads.bldg"
"2","blk11.x","blk11-x","blk11.x_female_hypothalamus_bldg","female","hypothalamus","bldg","nest","early","female.hypothalamus.bldg"
"3","blk11.x","blk11-x","blk11.x_female_pituitary_bldg","female","pituitary","bldg","nest","early","female.pituitary.bldg"
"4","blu38.g135.x","blu38/g135-x","blu38.g135.x_female_gonad_bldg","female","gonads","bldg","nest","early","female.gonads.bldg"
"5","blu38.g135.x","blu38/g135-x","blu38.g135.x_female_hypothalamus_bldg","female","hypothalamus","bldg","nest","early","female.hypothalamus.bldg"
"6","blu38.g135.x","blu38/g135-x","blu38.g135.x_female_pituitary_bldg","female","pituitary","bldg","nest","early","female.pituitary.bldg"
"7","g141.blu27.x","g141/blu27-x","g141.blu27.x_female_gonad_bldg","female","gonads","bldg","nest","early","female.gonads.bldg"
"8","g141.blu27.x","g141/blu27-x","g141.blu27.x_female_hypothalamus_bldg","female","hypothalamus","bldg","nest","early","female.hypothalamus.bldg"
"9","g141.blu27.x","g141/blu27-x","g141.blu27.x_female_pituitary_bldg","female","pituitary","bldg","nest","early","female.pituitary.bldg"
"10","l.s120.y.blk","l/s-y/blk","l.s120.y.blk_female_gonad_bldg","female","gonads","bldg","nest","early","female.gonads.bldg"
"11","l.s120.y.blk","l/s-y/blk","l.s120.y.blk_female_hypothalamus_bldg","female","hypothalamus","bldg","nest","early","female.hypothalamus.bldg"
"12","l.s120.y.blk","l/s-y/blk","l.s120.y.blk_female_pituitary_bldg","female","pituitary","bldg","nest","early","female.pituitary.bldg"
"13","o38.blu29.x","o38/blu29-x","o38.blu29.x_female_gonad_bldg","female","gonads","bldg","nest","early","female.gonads.bldg"
"14","o38.blu29.x","o38/blu29-x","o38.blu29.x_female_hypothalamus_bldg","female","hypothalamus","bldg","nest","early","female.hypothalamus.bldg"
"15","o38.blu29.x","o38/blu29-x","o38.blu29.x_female_pituitary_bldg","female","pituitary","bldg","nest","early","female.pituitary.bldg"
"16","r.s056.g.o","r/s-g/o","r.s056.g.o_female_gonad_bldg","female","gonads","bldg","nest","early","female.gonads.bldg"
"17","r.s056.g.o","r/s-g/o","r.s056.g.o_female_hypothalamus_bldg","female","hypothalamus","bldg","nest","early","female.hypothalamus.bldg"
"18","r.s056.g.o","r/s-g/o","r.s056.g.o_female_pituitary_bldg","female","pituitary","bldg","nest","early","female.pituitary.bldg"
"19","r83.g45","r83-g45","r83.g45_female_gonad_bldg","female","gonads","bldg","nest","early","female.gonads.bldg"
"20","r83.g45","r83-g45","r83.g45_female_hypothalamus_bldg","female","hypothalamus","bldg","nest","early","female.hypothalamus.bldg"
"21","r83.g45","r83-g45","r83.g45_female_pituitary_bldg","female","pituitary","bldg","nest","early","female.pituitary.bldg"
"22","s063.d.blk.l","s/d-blk/l","s063.d.blk.l_female_gonad_bldg","female","gonads","bldg","nest","early","female.gonads.bldg"
"23","s063.d.blk.l","s/d-blk/l","s063.d.blk.l_female_hypothalamus_bldg","female","hypothalamus","bldg","nest","early","female.hypothalamus.bldg"
"24","s063.d.blk.l","s/d-blk/l","s063.d.blk.l_female_pituitary_bldg","female","pituitary","bldg","nest","early","female.pituitary.bldg"
"25","s092.blk.r.o","s/blk-r/o","s092.blk.r.o_female_gonad_bldg","female","gonads","bldg","nest","early","female.gonads.bldg"
"26","s092.blk.r.o","s/blk-r/o","s092.blk.r.o_female_hypothalamus_bldg","female","hypothalamus","bldg","nest","early","female.hypothalamus.bldg"
"27","s092.blk.r.o","s/blk-r/o","s092.blk.r.o_female_pituitary_bldg","female","pituitary","bldg","nest","early","female.pituitary.bldg"
"28","x.r39.g10","x-r39/g10","x.r39.g10_female_gonad_bldg","female","gonads","bldg","nest","early","female.gonads.bldg"
"29","x.r39.g10","x-r39/g10","x.r39.g10_female_hypothalamus_bldg","female","hypothalamus","bldg","nest","early","female.hypothalamus.bldg"
"30","x.r39.g10","x-r39/g10","x.r39.g10_female_pituitary_bldg","female","pituitary","bldg","nest","early","female.pituitary.bldg"
"31","blu114.r38.w198","blu114-r38/w78","blu114.r38.w198_male_gonad_bldg","male","gonads","bldg","nest","early","male.gonads.bldg"
"32","blu114.r38.w198","blu114-r38/w78","blu114.r38.w198_male_hypothalamus_bldg","male","hypothalamus","bldg","nest","early","male.hypothalamus.bldg"
"33","blu114.r38.w198","blu114-r38/w78","blu114.r38.w198_male_pituitary_bldg","male","pituitary","bldg","nest","early","male.pituitary.bldg"
"34","blu33.y88.x","blu33/y88-x","blu33.y88.x_male_gonad_bldg","male","gonads","bldg","nest","early","male.gonads.bldg"
"35","blu33.y88.x","blu33/y88-x","blu33.y88.x_male_hypothalamus_bldg","male","hypothalamus","bldg","nest","early","male.hypothalamus.bldg"
"36","blu33.y88.x","blu33/y88-x","blu33.y88.x_male_pituitary_bldg","male","pituitary","bldg","nest","early","male.pituitary.bldg"
"37","g104.w82.x","x-g104/w82","g104.w82.x_male_gonad_bldg","male","gonads","bldg","nest","early","male.gonads.bldg"
"38","g104.w82.x","x-g104/w82","g104.w82.x_male_hypothalamus_bldg","male","hypothalamus","bldg","nest","early","male.hypothalamus.bldg"
"39","g104.w82.x","x-g104/w82","g104.w82.x_male_pituitary_bldg","male","pituitary","bldg","nest","early","male.pituitary.bldg"
"40","g52.blu58","g52-blu58","g52.blu58_male_gonad_bldg","male","gonads","bldg","nest","early","male.gonads.bldg"
"41","g52.blu58","g52-blu58","g52.blu58_male_hypothalamus_bldg","male","hypothalamus","bldg","nest","early","male.hypothalamus.bldg"
"42","g52.blu58","g52-blu58","g52.blu58_male_pituitary_bldg","male","pituitary","bldg","nest","early","male.pituitary.bldg"
"43","r.s059.d.o","r/s-d/o","r.s059.d.o_male_gonad_bldg","male","gonads","bldg","nest","early","male.gonads.bldg"
"44","r.s059.d.o","r/s-d/o","r.s059.d.o_male_hypothalamus_bldg","male","hypothalamus","bldg","nest","early","male.hypothalamus.bldg"
"45","r.s059.d.o","r/s-d/o","r.s059.d.o_male_pituitary_bldg","male","pituitary","bldg","nest","early","male.pituitary.bldg"
"46","s.pu148.blk.r","s/pu-blk/r","s.pu148.blk.r_male_gonad_bldg","male","gonads","bldg","nest","early","male.gonads.bldg"
"47","s.pu148.blk.r","s/pu-blk/r","s.pu148.blk.r_male_hypothalamus_bldg","male","hypothalamus","bldg","nest","early","male.hypothalamus.bldg"
"48","s.pu148.blk.r","s/pu-blk/r","s.pu148.blk.r_male_pituitary_bldg","male","pituitary","bldg","nest","early","male.pituitary.bldg"
"49","s065.l.d.o","s/l-d/o","s065.l.d.o_male_gonad_bldg","male","gonads","bldg","nest","early","male.gonads.bldg"
"50","s065.l.d.o","s/l-d/o","s065.l.d.o_male_hypothalamus_bldg","male","hypothalamus","bldg","nest","early","male.hypothalamus.bldg"
"51","s065.l.d.o","s/l-d/o","s065.l.d.o_male_pituitary_bldg","male","pituitary","bldg","nest","early","male.pituitary.bldg"
"52","s066.l.d.r","s/l-d/r","s066.l.d.r_male_gonad_bldg","male","gonads","bldg","nest","early","male.gonads.bldg"
"53","s066.l.d.r","s/l-d/r","s066.l.d.r_male_hypothalamus_bldg","male","hypothalamus","bldg","nest","early","male.hypothalamus.bldg"
"54","s066.l.d.r","s/l-d/r","s066.l.d.r_male_pituitary_bldg","male","pituitary","bldg","nest","early","male.pituitary.bldg"
"55","x.o30.g134","x-o30/g134","x.o30.g134_male_gonad_bldg","male","gonads","bldg","nest","early","male.gonads.bldg"
"56","x.o30.g134","x-o30/g134","x.o30.g134_male_hypothalamus_bldg","male","hypothalamus","bldg","nest","early","male.hypothalamus.bldg"
"57","x.o30.g134","x-o30/g134","x.o30.g134_male_pituitary_bldg","male","pituitary","bldg","nest","early","male.pituitary.bldg"
"58","x.r67.blu35","x-r67/blu35","x.r67.blu35_male_gonad_bldg","male","gonads","bldg","nest","early","male.gonads.bldg"
"59","x.r67.blu35","x-r67/blu35","x.r67.blu35_male_hypothalamus_bldg","male","hypothalamus","bldg","nest","early","male.hypothalamus.bldg"
"60","x.r67.blu35","x-r67/blu35","x.r67.blu35_male_pituitary_bldg.NYNO","male","pituitary","bldg","nest","early","male.pituitary.bldg"
"61","l.g118","l.g118","L.G118_female_gonad_control","female","gonads","control","control","control","female.gonads.control"
"62","l.g118","l.g118","L.G118_female_hypothalamus_control.NYNO","female","hypothalamus","control","control","control","female.hypothalamus.control"
"63","l.g118","l.g118","L.G118_female_pituitary_control.NYNO","female","pituitary","control","control","control","female.pituitary.control"
"64","r.g106","x-g106","R.G106_female_gonad_control","female","gonads","control","control","control","female.gonads.control"
"65","r.g106","x-g106","R.G106_female_hypothalamus_control","female","hypothalamus","control","control","control","female.hypothalamus.control"
"66","r.g106","x-g106","R.G106_female_pituitary_control","female","pituitary","control","control","control","female.pituitary.control"
"67","r.r20","x-r20_lay","R.R20_female_gonad_control","female","gonads","control","control","control","female.gonads.control"
"68","r.r20","x-r20_lay","R.R20_female_hypothalamus_control.NYNO","female","hypothalamus","control","control","control","female.hypothalamus.control"
"69","r.r20","x-r20_lay","R.R20_female_pituitary_control","female","pituitary","control","control","control","female.pituitary.control"
"70","r.r9","x-r9_lay","R.R9_female_gonad_control","female","gonads","control","control","control","female.gonads.control"
"71","r.r9","x-r9_lay","R.R9_female_hypothalamus_control","female","hypothalamus","control","control","control","female.hypothalamus.control"
"72","r.r9","x-r9_lay","R.R9_female_pituitary_control.NYNO","female","pituitary","control","control","control","female.pituitary.control"
"73","r.w44","x-w44","R.W44_female_gonad_control","female","gonads","control","control","control","female.gonads.control"
"74","r.w44","x-w44","R.W44_female_hypothalamus_control","female","hypothalamus","control","control","control","female.hypothalamus.control"
"75","r.w44","x-w44","R.W44_female_pituitary_control.NYNO","female","pituitary","control","control","control","female.pituitary.control"
"76","blu.o.x.atlas","blu/o-x","blu.o.x.ATLAS_female_gonad_control","female","gonads","control","control","control","female.gonads.control"
"77","blu.o.x.atlas","blu/o-x","blu.o.x.ATLAS_female_hypothalamus_control","female","hypothalamus","control","control","control","female.hypothalamus.control"
"78","blu.o.x.atlas","blu/o-x","blu.o.x.ATLAS_female_pituitary_control","female","pituitary","control","control","control","female.pituitary.control"
"79","g.x.atlas",NA,"g.x.ATLAS_female_gonad_control","female","gonads","control","control","control","female.gonads.control"
"80","r.r.x.atlas","r/r-x","r.r.x.ATLAS_female_gonad_control","female","gonads","control","control","control","female.gonads.control"
