"","V1","bird","sex","tissue","treatment","group","study"
"L.Blu13_male_gonad_control.NYNO","L.Blu13_male_gonad_control.NYNO","L.Blu13","male","gonad","control","male.gonad.control","charcterization"
"L.Blu13_male_hypothalamus_control.NYNO","L.Blu13_male_hypothalamus_control.NYNO","L.Blu13","male","hypothalamus","control","male.hypothalamus.control","charcterization"
"L.Blu13_male_pituitary_control.NYNO","L.Blu13_male_pituitary_control.NYNO","L.Blu13","male","pituitary","control","male.pituitary.control","charcterization"
"L.G107_male_gonad_control","L.G107_male_gonad_control","L.G107","male","gonad","control","male.gonad.control","charcterization"
"L.G107_male_hypothalamus_control","L.G107_male_hypothalamus_control","L.G107","male","hypothalamus","control","male.hypothalamus.control","charcterization"
"L.G107_male_pituitary_control","L.G107_male_pituitary_control","L.G107","male","pituitary","control","male.pituitary.control","charcterization"
"L.G118_female_gonad_control","L.G118_female_gonad_control","L.G118","female","gonad","control","female.gonad.control","charcterization"
"L.G118_female_hypothalamus_control.NYNO","L.G118_female_hypothalamus_control.NYNO","L.G118","female","hypothalamus","control","female.hypothalamus.control","charcterization"
"L.G118_female_pituitary_control.NYNO","L.G118_female_pituitary_control.NYNO","L.G118","female","pituitary","control","female.pituitary.control","charcterization"
"L.R3_male_gonad_control.NYNO","L.R3_male_gonad_control.NYNO","L.R3","male","gonad","control","male.gonad.control","charcterization"
"L.R3_male_hypothalamus_control","L.R3_male_hypothalamus_control","L.R3","male","hypothalamus","control","male.hypothalamus.control","charcterization"
"L.R3_male_pituitary_control.NYNO","L.R3_male_pituitary_control.NYNO","L.R3","male","pituitary","control","male.pituitary.control","charcterization"
"L.R8_male_gonad_control","L.R8_male_gonad_control","L.R8","male","gonad","control","male.gonad.control","charcterization"
"L.R8_male_hypothalamus_control","L.R8_male_hypothalamus_control","L.R8","male","hypothalamus","control","male.hypothalamus.control","charcterization"
"L.R8_male_pituitary_control","L.R8_male_pituitary_control","L.R8","male","pituitary","control","male.pituitary.control","charcterization"
"L.W33_male_gonad_control","L.W33_male_gonad_control","L.W33","male","gonad","control","male.gonad.control","charcterization"
"L.W33_male_hypothalamus_control.NYNO","L.W33_male_hypothalamus_control.NYNO","L.W33","male","hypothalamus","control","male.hypothalamus.control","charcterization"
"L.W33_male_pituitary_control","L.W33_male_pituitary_control","L.W33","male","pituitary","control","male.pituitary.control","charcterization"
"L.W3_male_gonad_control.NYNO","L.W3_male_gonad_control.NYNO","L.W3","male","gonad","control","male.gonad.control","charcterization"
"L.W3_male_hypothalamus_control","L.W3_male_hypothalamus_control","L.W3","male","hypothalamus","control","male.hypothalamus.control","charcterization"
"L.W3_male_pituitary_control","L.W3_male_pituitary_control","L.W3","male","pituitary","control","male.pituitary.control","charcterization"
"L.W4_male_gonad_control.NYNO","L.W4_male_gonad_control.NYNO","L.W4","male","gonad","control","male.gonad.control","charcterization"
"L.W4_male_hypothalamus_control","L.W4_male_hypothalamus_control","L.W4","male","hypothalamus","control","male.hypothalamus.control","charcterization"
"L.W4_male_pituitary_control","L.W4_male_pituitary_control","L.W4","male","pituitary","control","male.pituitary.control","charcterization"
"R.G106_female_gonad_control","R.G106_female_gonad_control","R.G106","female","gonad","control","female.gonad.control","charcterization"
"R.G106_female_hypothalamus_control","R.G106_female_hypothalamus_control","R.G106","female","hypothalamus","control","female.hypothalamus.control","charcterization"
"R.G106_female_pituitary_control","R.G106_female_pituitary_control","R.G106","female","pituitary","control","female.pituitary.control","charcterization"
"R.R20_female_gonad_control","R.R20_female_gonad_control","R.R20","female","gonad","control","female.gonad.control","charcterization"
"R.R20_female_hypothalamus_control.NYNO","R.R20_female_hypothalamus_control.NYNO","R.R20","female","hypothalamus","control","female.hypothalamus.control","charcterization"
"R.R20_female_pituitary_control","R.R20_female_pituitary_control","R.R20","female","pituitary","control","female.pituitary.control","charcterization"
"R.R9_female_gonad_control","R.R9_female_gonad_control","R.R9","female","gonad","control","female.gonad.control","charcterization"
"R.R9_female_hypothalamus_control","R.R9_female_hypothalamus_control","R.R9","female","hypothalamus","control","female.hypothalamus.control","charcterization"
"R.R9_female_pituitary_control.NYNO","R.R9_female_pituitary_control.NYNO","R.R9","female","pituitary","control","female.pituitary.control","charcterization"
"R.W44_female_gonad_control","R.W44_female_gonad_control","R.W44","female","gonad","control","female.gonad.control","charcterization"
"R.W44_female_hypothalamus_control","R.W44_female_hypothalamus_control","R.W44","female","hypothalamus","control","female.hypothalamus.control","charcterization"
"R.W44_female_pituitary_control.NYNO","R.W44_female_pituitary_control.NYNO","R.W44","female","pituitary","control","female.pituitary.control","charcterization"
"R.Y108.W29_male_gonad_control","R.Y108.W29_male_gonad_control","R.Y108.W29","male","gonad","control","male.gonad.control","charcterization"
"R.Y108.W29_male_hypothalamus_control.NYNO","R.Y108.W29_male_hypothalamus_control.NYNO","R.Y108.W29","male","hypothalamus","control","male.hypothalamus.control","charcterization"
"R.Y108.W29_male_pituitary_control","R.Y108.W29_male_pituitary_control","R.Y108.W29","male","pituitary","control","male.pituitary.control","charcterization"
"blk.s061.pu.y_female_gonad_inc.d9","blk.s061.pu.y_female_gonad_inc.d9","blk.s061.pu.y","female","gonad","inc.d9","female.gonad.inc.d9","charcterization"
"blk.s061.pu.y_female_hypothalamus_inc.d9","blk.s061.pu.y_female_hypothalamus_inc.d9","blk.s061.pu.y","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9","charcterization"
"blk.s061.pu.y_female_pituitary_inc.d9","blk.s061.pu.y_female_pituitary_inc.d9","blk.s061.pu.y","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization"
"blk11.x_female_gonad_bldg","blk11.x_female_gonad_bldg","blk11.x","female","gonad","bldg","female.gonad.bldg","charcterization"
"blk11.x_female_hypothalamus_bldg","blk11.x_female_hypothalamus_bldg","blk11.x","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization"
"blk11.x_female_pituitary_bldg","blk11.x_female_pituitary_bldg","blk11.x","female","pituitary","bldg","female.pituitary.bldg","charcterization"
"blk12.x_male_gonad_n5","blk12.x_male_gonad_n5","blk12.x","male","gonad","n5","male.gonad.n5","charcterization"
"blk12.x_male_hypothalamus_n5.NYNO","blk12.x_male_hypothalamus_n5.NYNO","blk12.x","male","hypothalamus","n5","male.hypothalamus.n5","charcterization"
"blk12.x_male_pituitary_n5","blk12.x_male_pituitary_n5","blk12.x","male","pituitary","n5","male.pituitary.n5","charcterization"
"blk17.x_male_gonad_inc.d17","blk17.x_male_gonad_inc.d17","blk17.x","male","gonad","inc.d17","male.gonad.inc.d17","charcterization"
"blk17.x_male_hypothalamus_inc.d17","blk17.x_male_hypothalamus_inc.d17","blk17.x","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17","charcterization"
"blk17.x_male_pituitary_inc.d17","blk17.x_male_pituitary_inc.d17","blk17.x","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization"
"blk21.x_female_gonad_hatch","blk21.x_female_gonad_hatch","blk21.x","female","gonad","hatch","female.gonad.hatch","charcterization"
"blk21.x_female_hypothalamus_hatch","blk21.x_female_hypothalamus_hatch","blk21.x","female","hypothalamus","hatch","female.hypothalamus.hatch","charcterization"
