MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1923933	1500002F19Rik	RIKEN cDNA 1500002F19 gene	7		response to bacterium			IEP		J:190322 	
MGI:1917114	1810065E05Rik	RIKEN cDNA 1810065E05 gene	11		response to bacterium			IEP		J:190322 	
MGI:1925604	2210407C18Rik	RIKEN cDNA 2210407C18 gene	11		response to bacterium			IEP		J:190322 	
MGI:1917295	2610528A11Rik	RIKEN cDNA 2610528A11 gene	14		chemotaxis			IEA	KW-0145 	J:60000 	
MGI:1917295	2610528A11Rik	RIKEN cDNA 2610528A11 gene	14		defense response to bacterium			IEA	KW-0044 	J:60000 	
MGI:1917295	2610528A11Rik	RIKEN cDNA 2610528A11 gene	14		lymphocyte chemotaxis			IDA		J:248456 	
MGI:1918520	4933438K21Rik	RIKEN cDNA 4933438K21 gene	4		cellular response to starvation			IDA		J:193325 	
MGI:1923930	5330417C22Rik	RIKEN cDNA 5330417C22 gene	3		cellular response to starvation			ISO	Q6UXG2 	J:164563 	
MGI:1924647	9530003J23Rik	RIKEN cDNA 9530003J23 gene	10		defense response to Gram-negative bacterium			IBA	PTN000892307 	J:265628 	
MGI:1924647	9530003J23Rik	RIKEN cDNA 9530003J23 gene	10		defense response to Gram-positive bacterium			IBA	PTN000892307 	J:265628 	
MGI:3608415	9830107B12Rik	RIKEN cDNA 9830107B12 gene	17		regulation of innate immune response			IBA	PTN001046732 	J:265628 	
MGI:2449119	A2m	alpha-2-macroglobulin	6		negative regulation of complement activation, lectin pathway			ISO	P01023 	J:164563 	
MGI:2443476	A530064D06Rik	RIKEN cDNA A530064D06 gene	17		regulation of innate immune response			IBA	PTN001046732 	J:265628 	
MGI:3034182	AA467197	expressed sequence AA467197	2		response to bacterium			IEP		J:190322 	
MGI:1926144	Aacs	acetoacetyl-CoA synthetase	5		response to nutrient			ISO	RGD:708522 	J:155856 	
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		negative regulation of platelet aggregation			ISO	RGD:620948 	J:155856 	
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4		cellular response to lipopolysaccharide			IDA		J:154929 	
MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16		cell chemotaxis			ISO	RGD:3112 	J:155856 	
MGI:102676	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	16		positive regulation of inflammatory response			IMP		J:44110 	
MGI:1352629	Abcc8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	7		negative regulation of wound healing			ISO	RGD:3786 	J:155856 	
MGI:1352630	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	6		defense response to virus			ISO	O60706 	J:126658 	
MGI:1352630	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	6		response to ATP			ISO	RGD:3787 	J:155856 	
MGI:1352630	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	6		response to ATP			ISO	O60706 	J:164563 	
MGI:1349215	Abcd1	ATP-binding cassette, sub-family D (ALD), member 1	X		negative regulation of cytokine production involved in inflammatory response			IMP		J:146101 	
MGI:1349467	Abcd2	ATP-binding cassette, sub-family D (ALD), member 2	15		negative regulation of cytokine production involved in inflammatory response			IMP		J:146101 	
MGI:1349467	Abcd2	ATP-binding cassette, sub-family D (ALD), member 2	15		response to bacterium			IEP		J:190322 	
MGI:1351656	Abcf3	ATP-binding cassette, sub-family F (GCN20), member 3	16		defense response to virus			IEA	KW-0051 	J:60000 	
MGI:1923442	Abhd12	abhydrolase domain containing 12	2		regulation of inflammatory response			IMP		J:273578 	
MGI:1923442	Abhd12	abhydrolase domain containing 12	2		response to auditory stimulus			IMP	MGI:5487621 	J:193716 	
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		cellular response to lipopolysaccharide	happens in B cell,happens in spleen		IMP	MGI:1856663 	J:34903 	
MGI:87860	Abl2	v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)	1		auditory behavior			IMP	MGI:2153719 	J:51887 	
MGI:1194500	Ablim1	actin-binding LIM protein 1	19		axon guidance			IDA		J:66507 	
MGI:107771	Abr	active BCR-related gene	11		negative regulation of inflammatory response			IMP	MGI:2388713 	J:153997 	
MGI:107771	Abr	active BCR-related gene	11		response to lipopolysaccharide			IMP	MGI:2388713 	J:153997 	
MGI:2140940	Acacb	acetyl-Coenzyme A carboxylase beta	5		response to nutrient levels			IMP		J:96465 J:109697 	
MGI:87867	Acadm	acyl-Coenzyme A dehydrogenase, medium chain	3		response to starvation			IMP	MGI:3692446 	J:115759 	
MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11		positive regulation of inflammatory response			ISO	RGD:2493 	J:155856 	
MGI:87874	Ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	11		response to lipopolysaccharide			ISO	RGD:2493 	J:155856 	
MGI:1891697	Ackr2	atypical chemokine receptor 2	9		cell chemotaxis			IBA	PTN001200797 	J:265628 	
MGI:1891697	Ackr2	atypical chemokine receptor 2	9		chemotaxis			IBA	PTN001200797 	J:265628 	
MGI:109562	Ackr3	atypical chemokine receptor 3	1		cell chemotaxis			IBA	PTN001200797 	J:265628 	
MGI:109562	Ackr3	atypical chemokine receptor 3	1		chemotaxis			IBA	PTN001200797 	J:265628 	
MGI:2181676	Ackr4	atypical chemokine receptor 4	9		cell chemotaxis			IBA	PTN001200797 	J:265628 	
MGI:2181676	Ackr4	atypical chemokine receptor 4	9		chemotaxis			IBA	PTN001200797 	J:265628 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		cellular response to interferon-gamma			IDA		J:196718 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		cellular response to lipopolysaccharide			IDA		J:196954 J:196955 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		cellular response to lipopolysaccharide			ISO	A6NK06 	J:164563 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		cellular response to molecule of bacterial origin			IDA		J:196718 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		innate immune response			IEA	KW-0399 	J:60000 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		negative regulation of inflammatory response			IDA		J:196955 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		negative regulation of innate immune response			IDA		J:196955 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		negative regulation of toll-like receptor 2 signaling pathway			IMP		J:196955 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		negative regulation of toll-like receptor 4 signaling pathway			IDA		J:196955 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		positive regulation of antimicrobial humoral response			IDA		J:196954 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		positive regulation of antimicrobial humoral response			ISO	A6NK06 	J:164563 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		response to bacterium			IEP		J:190322 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		response to lipopolysaccharide			IDA		J:25077 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		tolerance induction to lipopolysaccharide			IDA		J:196955 	
MGI:103206	Acod1	aconitate decarboxylase 1	14		tolerance induction to lipopolysaccharide			ISO	A6NK06 	J:164563 	
MGI:87883	Acp5	acid phosphatase 5, tartrate resistant	9		defense response to Gram-positive bacterium	has the participant peritoneal cavity		IMP	MGI:2180086 	J:67213 	
MGI:87883	Acp5	acid phosphatase 5, tartrate resistant	9		negative regulation of inflammatory response	regulates a function/process that has the participant peritoneal macrophage		IMP	MGI:2180086 	J:67213 	
MGI:87883	Acp5	acid phosphatase 5, tartrate resistant	9		response to lipopolysaccharide	happens in peritoneal macrophage		IMP	MGI:2180086 	J:67213 	
MGI:87906	Actg1	actin, gamma, cytoplasmic 1	11		cellular response to interferon-gamma			IDA		J:143718 	
MGI:1913963	Actr2	ARP2 actin-related protein 2	11		cellular response to interferon-gamma			IGI	MGI:1921367 	J:143718 	
MGI:1921367	Actr3	ARP3 actin-related protein 3	1		cellular response to interferon-gamma			IGI	MGI:1913963 	J:143718 	
MGI:2661081	Acvr1c	activin A receptor, type IC	2		response to dietary excess			IMP	MGI:3512292 	J:136322 	
MGI:87916	Ada	adenosine deaminase	2		negative regulation of inflammatory response	regulates a function/process that has the participant lung		IGI	MGI:104847 	J:91943 	
