"tissue","gene","padj","direction","pvalue","direction2","lfc","logpadj"
"hypothalamus","AAED1",1.18791513269633e-06,"male",8.92127296155466e-09,"male",1.01638046657671,5.92521458521192
"hypothalamus","ABHD17B",0.00158273771728403,"male",2.38882032430036e-05,"male",0.921607736144536,2.80059104810279
"hypothalamus","ACER2",0.00165735980088361,"male",2.51353145157705e-05,"male",0.600141916953779,2.78058319913908
"hypothalamus","ACOT12",6.42199180400968e-05,"male",7.16416147293825e-07,"male",1.12446268125806,4.19233025303231
"hypothalamus","ADAMTSL1",1,"NS",0.0348826753191968,"male",0.49147024315779,0
"hypothalamus","ADGRV1",0.000402644426388536,"male",5.37250674656232e-06,"male",1.02175159353093,3.39507830825777
"hypothalamus","AGA",0.397530953318369,"NS",0.0099129118508846,"female",-0.697233712488668,0.400629049820104
"hypothalamus","AGGF1",0.00344676778851643,"male",5.52890203043103e-05,"male",0.474532701093975,2.4625879743707
"hypothalamus","AGRP",0.617499497061699,"NS",0.0167488015243859,"male",2.77540289603356,0.209363391790431
"hypothalamus","AGXT2",0.00067308580954451,"male",9.52086380252533e-06,"male",1.10950380949582,3.1719295654401
"hypothalamus","AK3",1.46872705150842e-06,"male",1.13514449478595e-08,"male",0.933991764324244,5.83305890607346
"hypothalamus","AK4",0.96711030410409,"NS",0.0289815774689596,"female",-0.369911621525772,0.0145239894829203
"hypothalamus","AK6",1.70405048467325e-07,"male",1.13064961068367e-09,"male",0.999394627019359,6.7685175428497
"hypothalamus","ALDH7A1",0.000225404051765914,"male",2.81036039751886e-06,"male",0.815684618825274,3.64703828152965
"hypothalamus","AMACR",1.34785046717667e-07,"male",8.8448080237623e-10,"male",0.974223820605295,6.87035828649673
"hypothalamus","ANKRA2",0.000609369179920517,"male",8.57515506559678e-06,"male",0.864613170921298,3.21511951488022
"hypothalamus","ANKRD32",0.00582943556938406,"male",9.77594007260907e-05,"male",0.705592025491079,2.2343734934346
"hypothalamus","ANKRD55",7.43819560700757e-05,"male",8.51474086985191e-07,"male",1.00049485863243,4.12853240490593
"hypothalamus","AP3B1",0.0195172391702326,"male",0.000365725881644169,"male",0.380991468276917,1.70958161586673
"hypothalamus","AP3S1",0.06047411163412,"male",0.00121256877137317,"male",0.545276702036071,1.21843050271364
"hypothalamus","APBA1",0.444143873486902,"NS",0.0113667152456364,"male",0.285874063941059,0.352476324164459
"hypothalamus","ARAP3",0.355604374585788,"NS",0.00871185343498541,"female",-0.873754875168502,0.44903290505058
"hypothalamus","ARHGEF39",0.00619105879734294,"male",0.000104726623476745,"male",1.0126065289011,2.20823507141266
"hypothalamus","ARL15",0.0056407255974487,"male",9.41834605771602e-05,"male",0.467359839553672,2.24866502674375
"hypothalamus","ARSB",3.58827217797636e-07,"male",2.53782283094209e-09,"male",0.970074740276095,6.44511462223049
"hypothalamus","ARSK",0.0313038073426233,"male",0.000600284457244618,"male",1.074348682618,1.5044028379381
"hypothalamus","ATG12",2.38870838141286e-09,"male",9.57921698707306e-12,"male",1.05627368598581,8.62183686660577
"hypothalamus","ATP5A1",4.04715962525095e-05,"male",4.33782329501925e-07,"male",0.655838852966598,4.39284966613017
"hypothalamus","B2M",0.358434628242939,"NS",0.00880732553538975,"female",-0.797825190844012,0.445590039946425
"hypothalamus","B4GALT1",1,"NS",0.0311939937727932,"male",0.53293067988899,0
"hypothalamus","BDP1L",1.53688646020059e-08,"male",7.63210192616988e-11,"male",0.791181640007645,7.8133582154734
"hypothalamus","BF1",0.849088953859574,"NS",0.0245780761707802,"female",-0.841727150590292,0.0710468089943768
"hypothalamus","BRIX1",1.05250669867862e-07,"male",6.67649163580311e-10,"male",1.03285278326108,6.97777513141638
"hypothalamus","BTF3",0.793839416079715,"NS",0.0225157515752832,"male",0.368169342496638,0.100267341104175
"hypothalamus","BX255923.2",1.11255088845227e-07,"male",7.13849640421435e-10,"male",0.925732695800128,6.95368011511686
"hypothalamus","C11H19ORF40",1.46777115521183e-12,"female",2.56846574736303e-15,"female",-6.58201859051278,11.8333416513519
"hypothalamus","C14H17ORF103",0.367031168726197,"NS",0.0090988404933946,"female",-0.398599940029521,0.435297053374573
"hypothalamus","C1QTNF3",1,"NS",0.0406401526661292,"male",0.968237414933898,0
"hypothalamus","C5ORF30",8.14737893280880e-09,"male",3.6831023976241e-11,"male",1.07723310928623,8.08898208427843
"hypothalamus","C7",0.511659907959036,"NS",0.0134676796772302,"male",1.21102108971161,0.291018611627268
"hypothalamus","C9ORF72",1.98951804328445e-12,"male",3.62653671761657e-15,"male",0.995732710272379,11.7012521178077
"hypothalamus","C9ORF85",2.0259377844635e-07,"male",1.35899581604551e-09,"male",1.02895306732041,6.69337389573737
"hypothalamus","CA9",0.248206852856269,"NS",0.00570070423986327,"male",0.895269157661944,0.605186232037218
"hypothalamus","CAAP1",1.76684152215904e-14,"male",1.41708033129781e-17,"male",1.00862053824271,13.7528024030334
"hypothalamus","CAPN3",0.491232527012731,"NS",0.0128225479161909,"female",-0.809726563558619,0.30871288406061
"hypothalamus","CAPSL",0.0115672497050388,"male",0.000209163538231836,"male",1.00314017921391,1.93676988909597
"hypothalamus","CARNMT1",0.000532351875858926,"male",7.33609220104535e-06,"male",0.513146301821678,3.2738012112619
"hypothalamus","CCBE1",0.662180429647811,"NS",0.018202116075627,"male",0.592457453982786,0.179023658711645
"hypothalamus","CCDC125",0.0095776933903644,"male",0.000171773014782322,"male",1.32927645254779,2.01873907009193
"hypothalamus","CCDC171",0.000276478273298082,"male",3.5277942272814e-06,"male",0.897733777543014,3.55833899151116
"hypothalamus","CCNB2",0.00888085384833074,"male",0.000156054376773438,"male",0.643319667463547,2.05154527703766
"hypothalamus","CCNH",0.000474127206554223,"male",6.43001534225924e-06,"male",0.909916933646574,3.32410512310889
"hypothalamus","CD4",0.828954186284845,"NS",0.0236930398121516,"female",-1.6423112225034,0.0814694708894006
"hypothalamus","CDC14B",0.250828567603613,"NS",0.00579749587534416,"male",0.881088428758936,0.60062300194793
"hypothalamus","CDC20B",0.250069628749475,"NS",0.00576172093947022,"male",1.34111447225887,0.601939050642363
"hypothalamus","CDC37L1",0.00047810272752705,"male",6.55365022056766e-06,"male",0.659247507927984,3.32047877869164
"hypothalamus","CDC42SE2",1.19711959424319e-09,"male",4.27698579058813e-12,"male",0.788429856694869,8.92186246068349
"hypothalamus","CDK7",5.01098205081786e-10,"male",1.68067936082845e-12,"male",1.02347958541251,9.30007715288409
"hypothalamus","CDO1",0.288043116725108,"NS",0.00678366217296464,"male",0.572595306484876,0.540542498510777
"hypothalamus","CECR1",0.652934925243813,"NS",0.01785275953091,"female",-0.62078948152553,0.185130100525573
"hypothalamus","CECR5",0.428201242930129,"NS",0.0108962620330015,"female",-0.321884127521526,0.368352076422914
"hypothalamus","CELF4",0.798764843057736,"NS",0.0227136922196513,"male",0.34030696521333,0.0975810584758905
"hypothalamus","CEP120",7.74967478217869e-11,"male",2.14719388788035e-13,"male",1.05263739376817,10.1107165224316
"hypothalamus","CEP78",8.19203760393607e-08,"male",4.89790071835769e-10,"male",1.10372140479676,7.08660806282034
"hypothalamus","CER1",0.295564210500732,"NS",0.00698234080949597,"male",1.77498552151423,0.529348155267254
"hypothalamus","CETN3",4.1508034889777e-06,"male",3.48044040271553e-08,"male",1.07375314908149,5.38186782688956
"hypothalamus","CHAT",0.365354600084463,"NS",0.00900399962293463,"male",0.854866385533275,0.437285420195809
"hypothalamus","CHRNA6",0.0521400915024162,"male",0.00104166132494802,"male",0.746762823840361,1.2828282110089
"hypothalamus","CHRNB3",0.00416867448010792,"male",6.83887537750114e-05,"male",1.4174578377703,2.38000201636624
"hypothalamus","CIB2",0.562567010857827,"NS",0.0149717068146633,"male",0.994271309234218,0.249825738616731
"hypothalamus","CKS2",0.000118018919984151,"male",1.4026309848645e-06,"male",1.29135047427626,3.92804836399858
"hypothalamus","CLTA",0.034491240662921,"male",0.0006714663694495,"male",0.927955686186821,1.46229118361551
"hypothalamus","CMYA5",0.576853263857157,"NS",0.0154780897629919,"male",0.93727816973929,0.238934645772578
"hypothalamus","CNTLN",9.2922422535032e-06,"male",8.40129813659786e-08,"male",0.913596714264236,5.03187947644517
"hypothalamus","COL4A3BP",0.978283019655127,"NS",0.0294590511934063,"male",0.310347901061218,0.00953548458547065
"hypothalamus","COMMD10",4.07502226487458e-08,"male",2.25812389449849e-10,"male",1.04425527058559,7.38987001404406
"hypothalamus","COPG2",0.00110239516710388,"male",1.58346225242045e-05,"male",0.953042210466958,2.95766269937759
"hypothalamus","CORO2A",0.326467418140013,"NS",0.00790282047557305,"male",0.470355043705856,0.486160155363115
"hypothalamus","CPLX1",0.941234143794291,"NS",0.028000257431139,"male",0.366866696868619,0.0263023269353561
"hypothalamus","CREB3",3.54455984955751e-14,"male",3.10132834084507e-17,"male",1.0393119052046,13.4504376862288
"hypothalamus","CRHBP",1,"NS",0.046677691782892,"male",0.560838560187441,0
"hypothalamus","CTC-487M23.8",5.85678147487761e-05,"male",6.40552111725587e-07,"male",0.91640837403678,4.23234097983499
"hypothalamus","CTC-554D6.1",0.654201810905239,"NS",0.0179350988625862,"male",0.492550387560358,0.184288258032706
"hypothalamus","CTD-2287O16.3",0.687077180442563,"NS",0.0189365785058176,"male",1.61085878855111,0.162994475229208
"hypothalamus","CTIF",0.103454252243856,"NS",0.00221768502804912,"male",0.352070902563048,0.985251653977567
"hypothalamus","CWC27",1.51316915728734e-08,"male",7.28174731177284e-11,"male",0.984322147733405,7.820112519452
"hypothalamus","CYP19A1",0.152520053931314,"NS",0.0033584437686662,"male",0.913283562107817,0.816673049831176
"hypothalamus","CZH18ORF25",1.61706590614492e-17,"male",2.35809829550845e-21,"male",0.988804633356956,16.7912722793566
"hypothalamus","CZH5ORF28",1.73784633996777e-05,"male",1.65991885188318e-07,"male",0.858322612656565,4.75998862642262
"hypothalamus","CZH5ORF34",0.00117464857324686,"male",1.6958105541588e-05,"male",1.02764224722401,2.93009204447985
"hypothalamus","CZH5ORF42",0.00024849106384126,"male",3.13444797991528e-06,"male",0.985794447657411,3.60468922461359
"hypothalamus","CZH5ORF51",0.0179583007801261,"male",0.000335204156012562,"male",1.03163259711343,1.74573475880049
"hypothalamus","CZH5ORF63",2.83852997913017e-05,"male",2.91821164460338e-07,"male",1.33898971117615,4.54690651461382
"hypothalamus","CZH9ORF3",2.62499885187138e-06,"male",2.06707893548749e-08,"male",0.8727634946903,5.5808708822108
"hypothalamus","CZH9ORF64",2.46108144793186e-11,"male",5.38333528530483e-14,"male",1.25390312288289,10.6088740133585
"hypothalamus","DCAF10",0.00409575879138118,"male",6.65952760100623e-05,"male",0.513433332158619,2.38766562787615
"hypothalamus","DCP2",2.96195304905899e-13,"male",4.75121889021493e-16,"male",0.921985731544171,12.5284218299121
"hypothalamus","DCTN3",6.46173716521694e-11,"male",1.69611766640765e-13,"male",1.01735158560563,10.1896507111307
"hypothalamus","DDC",0.555464046163929,"NS",0.0147016732597525,"male",0.775462739588703,0.255344046638404
