gene,inc.d3_m.inc.d3,inc.d9_m.inc.d9,inc.d17_m.inc.d17,hatch_m.n2,inc.d9_early,inc.d17_prolong,hatch_early,hatch_prolong,hatch_extend
ADRA2A,NA,NA,NA,NA,NA,MG+,NA,MG+,NA
AR,NA,NA,NA,FP+,NA,MG+,FP+  MP+,NA,NA
AVP,NA,MH+,FG+  MH-,NA,MG+  MP+,NA,NA,NA,NA
AVPR1A,NA,NA,NA,FH+  MP+,NA,MG+,NA,NA,NA
AVPR1B,NA,NA,NA,FP+,NA,NA,FP+,NA,NA
AVPR2,NA,FH-,NA,FP+,NA,NA,FP+,NA,NA
CGA,NA,NA,FP+,FP+,NA,NA,NA,NA,NA
COMT,NA,NA,FH-,FH-  MH-,NA,FH-,FH-  MH-,FH-  MH-,FH-  MH-
CRH,FH+,NA,NA,NA,NA,NA,NA,FH+,NA
CRHBP,NA,MP+,FH+  MH+,FH+  MH+,MH+,MG+,FH+  MH+,FH+  MG+,FH+  MH+
CRHR1,NA,NA,NA,FP+,NA,MG+,FP+,MG+,NA
CRHR2,NA,FG+,FG-  FH+  MH+,FH+  MH+,MH+,FH+,MH+,FH+,FH+  FP+  MH+
DIO2,NA,NA,FG+,NA,NA,NA,NA,NA,FP+
DIO3,FH-,NA,FH-  FP+  MH-,FH-  FP+  MH-,NA,MH-,NA,NA,NA
DRD1,FH+,NA,FH+  MH+  MP+,FH+  MH+,MH+,FH+  MH+,FH+  MH+,FH+  MH+,FH+  MH+
DRD4,FP+,NA,FH+  FP+,FH+  FP+  MP+,MH+,FH+  FP+  MG+,FH+  MH+,FH+,MH+
ESR1,NA,NA,NA,NA,NA,MG+,NA,MG+,NA
ESR2,FH-,NA,FH-  MH-  MP-,NA,MH-,MG+,FH+,MG+,NA
FOS,NA,NA,NA,NA,NA,FG-  MG+,NA,NA,NA
FSHB,NA,NA,FP-  MH-,FH-  FP-  MH-,NA,NA,MH-,NA,NA
GABRQ,FH+  MH+,FP+  MP+,FH+  MH+,FH+  MH+,MH+  MP+,FH+  FP+  MG+  MH+,FH+  MH+  MP+,FH+  MG+  MH+,FH+  MH+
GAL,NA,NA,NA,FP+,MP+,MG+,MP+,NA,NA
GALR1,NA,NA,NA,NA,NA,FG+,FH+,NA,NA
GNRH1,NA,NA,NA,FH+  MH+,NA,NA,FH+,NA,MH+
GNRHR,NA,NA,NA,NA,NA,NA,NA,NA,FP-
HTR2C,FH+,NA,FH+  MH+,FG-  FH+  MH+,MH+,FH+  MG+  MH+,FH+  MH+,FH+  MH+,FH+  MH+
JAK2,NA,NA,FP+,FP+,NA,NA,NA,NA,NA
LHCGR,FH-,FG+  MP+,FH-,FH-  MH-,MH-  MP+,FH-,MH-  MP+,FH-  MH-,FH-  MH-
MC4R,NA,NA,NA,FH+,MP+,FP+,FH+  MP+,FP+,NA
MC5R,NA,NA,NA,FP+,MP+,NA,FP+  MP+,MG+,NA
MEST,NA,FP-,FP-,NA,NA,NA,FP-  MP-,NA,NA
NPFFR1,NA,NA,NA,FH+,NA,MG-,FH+  MH+  MP+,FG+  MG-,NA
NPVF,FH-,NA,FH-  MH-,FH-  MH-  MP+,MH-,FH-  MH-,FH-  MH-,FH-  MH-,FH-  MH-
NPY,FP-,FP+,NA,FG+  MP+,MP+,FP+  MP-,MP+,NA,NA
NR3C1,NA,NA,NA,FP+,NA,FG+,FP+,NA,NA
NR3C2,NA,NA,FG-,NA,NA,NA,NA,NA,NA
OPRM1,NA,NA,FG+,NA,MP+,FG+  MG-,MP+,FG+,NA
OXT,NA,MH+,FH-,NA,MP+,NA,MP+,NA,NA
PGR,FP+  MP+,FP+,FP+,FH+  FP+  MH+  MP+,NA,NA,FH+,FH+  MH+,FH+  MP+
POMC,NA,NA,NA,FH-  MH-,NA,FH-  MG-  MP-,FH-  MH-,FH-,FH-
PRL,FG+,NA,FP-,FP-  MP-,NA,NA,FP-  MP-,NA,FG+
PRLH,MH+,FP+  MH+,MP-,MH+,FP+,NA,NA,MP-,NA
PRLHR,NA,NA,MH-,NA,NA,NA,MP+,MG+,NA
PRLR,NA,NA,FP-,NA,FH+,FP-  MH+,FH+,NA,FH+
SERPINA4,FH+,MP+,FG-  FH+  FP+  MH+,FP+  MH+,NA,FH+  MG+,FP+  MH+  MP+,FH+  MG+,MG+  MH+
SLC6A4,NA,NA,NA,FP-,NA,NA,NA,NA,NA
STAT5B,NA,NA,NA,NA,NA,NA,FP+  MP+,NA,NA
VIP,FP-,FP+,NA,FP+  MP+,MP+,FP+,MP+,FP+,FP+
VIPR1,FG+  MP+,NA,FP+  MG-  MP+,NA,FP+,NA,MH+,NA,NA
