row,column,cor,p,sex,tissue,direction
ADRA2A,ESR1,0.6011811480955709,0,female,gonads,positive
ADRA2A,FOS,0.52894385836624,3.923528169025303e-13,male,gonads,positive
ADRA2A,PGR,0.5534674031289949,4.884981308350689e-15,female,gonads,positive
AR,AVP,0.5323259505642967,3.090860900556436e-13,male,hypothalamus,positive
AR,ESR1,0.531191501455158,2.993161274389422e-13,male,gonads,positive
AR,GALR1,0.5802673013911678,2.220446049250313e-16,female,hypothalamus,positive
AR,GALR1,0.6014065237673147,0,male,hypothalamus,positive
AR,GNRHR,0.5306514985319188,2.282618538629322e-13,male,pituitary,positive
AR,NR3C1,0.5939692572093906,0,female,hypothalamus,positive
AR,NR3C1,0.6505723485763556,0,female,pituitary,positive
AR,NR3C1,0.640671107918024,0,female,gonads,positive
AR,NR3C1,0.631402971867619,0,male,hypothalamus,positive
AR,NR3C1,0.5985098849658677,0,male,pituitary,positive
AR,PGR,0.5317013966770111,2.007283228522283e-13,male,pituitary,positive
AR,STAT5B,0.5105820144271416,1.5436540934388177e-12,female,pituitary,positive
AR,STAT5B,0.6577272502101957,0,male,hypothalamus,positive
AVP,CRH,0.5498521771255906,2.020605904817785e-14,male,pituitary,positive
AVP,ESR2,0.5052351058403485,2.8625990466935036e-12,female,hypothalamus,positive
AVP,GALR1,0.506201173243507,6.339373470609644e-12,male,hypothalamus,positive
AVP,GNRH1,0.5565517314419196,4.884981308350689e-15,female,pituitary,positive
AVP,NPY,0.5704146865022633,6.661338147750939e-16,female,pituitary,positive
AVP,NPY,0.5221986213602072,6.319389456166391e-13,male,pituitary,positive
AVP,OXT,0.7436704514733875,0,female,hypothalamus,positive
AVP,OXT,0.7473840370584192,0,female,pituitary,positive
AVP,OXT,0.62726832259752,0,male,hypothalamus,positive
AVP,OXT,0.8402142693565998,0,male,pituitary,positive
AVP,PGR,0.5337227528533993,2.611244553918368e-13,male,hypothalamus,positive
AVPR1A,AVPR1B,0.5304707436434312,2.3314683517128287e-13,male,pituitary,positive
AVPR1A,CRHR1,0.7232596951734162,0,female,pituitary,positive
AVPR1A,CRHR1,0.6873238943342498,0,male,pituitary,positive
AVPR1A,FOS,0.596737231278569,0,male,pituitary,positive
AVPR1A,POMC,0.5224605135661946,3.7636560534792807e-13,female,pituitary,positive
AVPR1B,CRHR1,0.553373769075728,7.327471962526033e-15,female,pituitary,positive
AVPR1B,CRHR1,0.7421395229818929,0,male,pituitary,positive
AVPR1B,NR3C1,0.5657573046364527,1.3322676295501878e-15,female,pituitary,positive
AVPR1B,NR3C1,0.5572969725108875,7.549516567451064e-15,male,pituitary,positive
CGA,CRHBP,-0.5189815019738262,9.243716903029053e-13,male,pituitary,negative
CGA,FSHB,0.5304299047035734,3.2818192607919627e-13,male,gonads,positive
CGA,GABRQ,-0.5023381139740071,3.9825920339353615e-12,female,hypothalamus,negative
CGA,GNRHR,0.6172666560344872,0,male,pituitary,positive
CGA,MC4R,-0.5176502176118419,1.0809131367750524e-12,male,pituitary,negative
CGA,NR3C2,-0.6468687675613648,0,female,hypothalamus,negative
CGA,PGR,0.5435487084984807,2.6645352591003757e-14,female,pituitary,positive
CGA,POMC,0.5624357041008267,6.661338147750939e-15,male,hypothalamus,positive
CGA,PRL,0.642699260164403,0,male,hypothalamus,positive
CGA,PRL,0.6001380365067432,0,male,gonads,positive
CGA,SERPINA4,-0.5305202881682707,1.3988810110276972e-13,female,hypothalamus,negative
CGA,STAT5B,-0.5199276836616562,1.3384848784880887e-12,male,hypothalamus,negative
COMT,CRH,-0.6567822138112938,0,male,hypothalamus,negative
COMT,CRHBP,-0.7706884844454611,0,female,hypothalamus,negative
COMT,CRHBP,-0.5159436656408559,2.1174173525650986e-12,male,hypothalamus,negative
COMT,CRHR1,-0.61450847435305,0,male,hypothalamus,negative
COMT,CRHR2,-0.7173743886399195,0,female,hypothalamus,negative
COMT,CRHR2,-0.5613460625540015,7.993605777301127e-15,male,hypothalamus,negative
COMT,DRD1,-0.874063661605253,0,female,hypothalamus,negative
COMT,DRD1,-0.7905417489173964,0,male,hypothalamus,negative
COMT,DRD4,-0.5317051206506634,3.3306690738754696e-13,male,hypothalamus,negative
COMT,GABRQ,-0.8560519654983103,0,female,hypothalamus,negative
COMT,GABRQ,-0.8288162963322633,0,male,hypothalamus,negative
COMT,HTR2C,-0.8465509103835722,0,female,hypothalamus,negative
COMT,HTR2C,-0.6994127382844797,0,male,hypothalamus,negative
COMT,NPVF,0.7477913183808358,0,female,hypothalamus,positive
COMT,NPVF,0.7552351023830873,0,male,hypothalamus,positive
COMT,NPY,0.5072280107346291,5.656808355070098e-12,male,hypothalamus,positive
COMT,NR3C2,-0.51633658672164,7.844835892001356e-13,female,hypothalamus,negative
COMT,PRLHR,0.5092531457228794,4.513278639706186e-12,male,hypothalamus,positive
COMT,SERPINA4,-0.6699866692476385,0,female,hypothalamus,negative
COMT,STAT5B,-0.5885029513103168,2.220446049250313e-16,male,hypothalamus,negative
COMT,VIPR1,-0.6527255996785175,0,male,hypothalamus,negative
CRH,CRHBP,0.5314453555235906,3.4372504842394846e-13,male,hypothalamus,positive
CRH,CRHBP,0.6321727787081688,0,male,pituitary,positive
CRH,CRHR1,0.570278766740313,2.220446049250313e-15,male,hypothalamus,positive
CRH,CRHR2,0.5422974052909861,3.1530333899354446e-14,female,hypothalamus,positive
CRH,DRD1,0.5653243260695434,4.440892098500626e-15,male,hypothalamus,positive
CRH,GABRQ,0.6836416580721093,0,male,hypothalamus,positive
CRH,GABRQ,0.5484558426540905,2.4424906541753444e-14,male,pituitary,positive
CRH,HTR2C,0.5954188767511683,0,male,hypothalamus,positive
CRH,MC4R,0.5356736576587668,1.2301271112846734e-13,male,pituitary,positive
CRH,NPVF,-0.5237111553922877,8.610889778992714e-13,male,hypothalamus,negative
CRH,NPY,0.5746882687110314,6.661338147750939e-16,male,pituitary,positive
CRH,OXT,0.5763217854582048,4.440892098500626e-16,male,pituitary,positive
CRH,STAT5B,0.6700994308988685,0,male,hypothalamus,positive
CRHBP,CRHR1,0.7261053528111073,0,female,gonads,positive
CRHBP,CRHR2,0.7599813264255586,0,female,hypothalamus,positive
CRHBP,CRHR2,0.618598829392763,0,female,gonads,positive
CRHBP,CRHR2,0.7664202584884395,0,male,hypothalamus,positive
CRHBP,DIO2,-0.5279839498812369,1.3744561044859438e-13,female,gonads,negative
CRHBP,DRD1,0.8014282620268607,0,female,hypothalamus,positive
CRHBP,DRD1,0.6260637688079009,0,female,gonads,positive
CRHBP,DRD1,0.7330817438294382,0,male,hypothalamus,positive
CRHBP,ESR2,0.8693619928259047,0,female,gonads,positive
