"","comparison","GO","genes"
"1","control v bldg","behavior, GO:0007610","AVP, DRD1, GNAQ, MBD2, NR3C1, OXT, PRL, PTEN, ZFX"
"2","control v bldg","endocrine process, GO:0050886","ACE2, ACVR2A, AVPR2, CGA, CORIN, CRY1, ECE1, FGFR1, FOXL2, FZD4, GHRL, INHBA, INHBB, KRAS, NPVF, PEX5L, PTPN11, RAB11FIP1, RAB11FIP5, RHOA, SERPINF2, SMAD4, TACR1"
"3","control v bldg","parental behavior, GO:0060746","AVP, DRD1, GNAQ, MBD2, NR3C1, OXT, PRL, PTEN, ZFX"
"4","control v bldg","reproduction, GO:0000003","AAAS, ABAT, ABCG2, ABL2, ACRBP, ACSL4, ACTR2, ACVR1B, ACVR2A, ADCY3, ADCYAP1R1, ADRA2A, ADRA2C, ADRM1, AFF4, AFP, AGFG1, AK7, AKAP9, ALKBH1, ALKBH5, ALPL, AMH, ANKRD49, ANTXR1, ANXA1, ANXA5, APLP2, APP, AR, ARHGDIB, ARID1A, ARID5B, ARNT, ARNTL, ASB1, ASH1L, ATAT1, ATM, ATP2B4, ATP2B4, ATP8B3, ATR, ATRX, AVP, B4GALT1, BBS1, BBS2, BCL2L1, BCL6, BIRC6, BMPR1B, BMPR2, BPTF, BPTF, BPTF, BPTF, BRCA2, BRDT, BRIP1, BUB1B, BUB3, C1QBP, CACNA1H, CCDC39, CCDC40, CCDC42, CCNA1, CCND1, CCT2, CCT3, CCT5, CCT6A, CCT8, CDC25A, CDKN1B, CECR2, CELF1, CFAP43, CFAP44, CGA, CHRNA7, CHTF18, CIB1, CIT, CIT, CLASP2, CLDN11, CLOCK, CNTFR, COL9A3, CORIN, CRKL, CSF1, CTNNB1, CYP7B1, CYP19A1, CYP26B1, DACH1, DDX3X, DDX20, DEDD, DHCR24, DLD, DLG1, DLG1, DNAH5, DNAJA1, DNAJB6, DNAJC19, DNMT3A, DPCD, DRD1, DRD4, DZIP1, EFCAB1, EIF2B2, EIF2B4, EIF4G3, EIF4G3, EIF4G3, EIF4G3, EMP2, ENO4, ENPP2, EPAS1, EREG, ESPL1, ETV5, FANCA, FANCD2, FANCL, FANCM, FBXW8, FBXW8, FEM1B, FGF7, FGF9, FGF10, FKBP4, FNDC3A, FOXC1, FOXL2, FOXO3, FRS2, FZD4, FZR1, GAB1, GAS8, GGNBP2, GGT1, GGT5, GHRL, GNAQ, GOLGA3, GOPC, GORASP2, GPX4, GRB2, GREB1L, GREB1L, GRHL2, GRIN1, GRIN1, GTSF1, HDAC2, HDAC4, HERC2, HERC4, HEXB, HEY2, HFM1, HMGA2, HMGB2, HORMAD2, HS6ST1, HSF2, HSP90AB1, HSPA2, HSPB11, HTT, HYAL3, ID4, IFT20, IFT88, IGF1R, IGF2, IGFBP5, IMMP2L, INHBA, INHBB, INPP5B, INSR, ITGA3, ITGB1, ITGB1, JAM3, JMJD1C, KATNAL1, KDM1B, KDM3A, KLF9, KPNA6, KRT8, LAMB1, LAMP1, LEF1, LFNG, LHX8, LIMK2, LRGUK, LRP2, M1AP, MAP3K4, MAPK1, MAPK14, MAPK15, MBD2, MCM8, MDFI, MDK, MEIG1, MEN1, MERTK, METTL14, MKI67, MLH1, MLH3, MMP2, MND1, MRE11A, MSH4, MSX2, MYBL1, MYCBPAP, MYCBPAP, NCAPD3, NCAPH, NCOA1, NDC1, NDP, NEK1, NKD1, NOG, NOS2, NPHP1, NPHP1, NPHP4, NPPC, NR0B1, NR2F2, NR3C1, NR5A1, NR5A1, NSUN2, NUP107, OCA2, ODF2, OSBP2, OVOL2, OXT, P2RY1, PAFAH1B1, PAFAH1B2, PAIP2, PARK7, PATZ1, PBRM1, PBX1, PCSK5, PCYT1B, PDE3A, PGM3, PHC2, PKD1, PKD2, PLA2G4A, PLAG1, PLAT, PLCB1, PLCD4, PLD6, PMP22, PMS2, POC1A, POLR1B, POLR1B, PPARG, PPP2CA, PRDX3, PRKACB, PRKACB, PRKDC, PRL, PRLR, PRMT7, PSAP, PSAP, PTEN, PTGS2, PTPN11, PYGO2, RAB3A, RAD21, RAD50, RAD51C, RAD51D, RAD54B, RBM7, RBM15, RIMS1, RIMS1, RIMS1, RMI1, RNF8, RNF8, RNF151, RPA1, RPS6KB1, RSPH1, RSPO3, RTCB, SNU13, SOD1, SORD, SP1, SP3, SPEF2, SPIRE2, SPIRE2, STAG2, STAT3, STAT5B, STK11, STK11, STRBP, STRBP, STRBP, STS, STX2, STXBP1, STXBP1, STYX, SULF1, SUN1, SUN1, SUN2, SYCP2, SYCP3, SYNE1, SYT6, TACR1, TACR3, TAF4, TARBP2, TCF7, TCF7, TDRD7, TDRKH, TDRP, TEKT3, TEKT4, TEX11, TEX14, TGFB1, TH, THBD, TOP2A, TOP2B, TOPAZ1, TOPBP1, TPGS1, TRIM36, TRIP13, TSGA10, TTC26, TTLL5, TUBGCP2, TUBGCP3, TUBGCP5, TUBGCP6, TXNRD3, UBE2J1, UBE2Q1, VDAC2, VIPAS39, VPS13A, WDR19, WDR48, WNT5A, WNT7A, XRN1, YBX3, YTHDC1, YTHDF2, ZFAT, ZFP36L1, ZFPM2, ZFX, ZMIZ1, ZPBP2, ZPBP2"
"5","control v bldg","response to external stimulus, GO:0009605","ABAT, ABCC1, ABCC8, ABCD2, ABCF3, ABHD12, ABL2, ABR, ACP5, ACTR2, ADAM9, ADAMTS5, ADAMTS9, ADAMTS18, ADAR, ADGRV1, ADH5, ADIPOQ, ADORA1, ADRA1A, AEN, AGBL4, AGBL4, AGBL5, AGL, AGRN, AHCY, AJAP1, AKAP8, ALB, AMOT, ANK3, ANK3, ANKRD17, ANO1, ANO3, ANXA1, ANXA5, AOAH, AP1M1, AP3D1, APBB1, APOA1, APOH, APP, APPL1, APPL2, AQP4, ARF6, ARG2, ASCL1, ASH1L, ATF3, ATF4, ATG5, ATG9A, ATG16L1, ATM, ATOH7, ATP1A1, ATP5G1, AUTS2, BACE1, BBS2, BCL2L1, BCL6, BCL10, BDNF, BECN1, BHLHA15, BHLHA15, BIN2, BMP2, BMPR1B, BMPR2, BTK, C1QBP, C3AR1, C8B, C8G, CABP4, CACNB4, CACNB4, CAD, CADPS2, CADPS2, CAMK1D, CAPG, CAPN10, CASK, CASK, CCDC66, CCDC141, CCL4, CCL4, CCR5, CD6, CD81, CDC42, CDC42, CDC42EP4, CDH4, CDH4, CDK5, CDKN1A, CDKN1B, CDS2, CEP192, CEP250, CFLAR, CH25H, CHMP5, CHRNA7, CKLF, CLASP2, CLEC16A, CLEC16A, CLOCK, CMPK2, CMTM3, CMTM8, CNN2, CNPY3, CNTF, CNTN2, CNTN4, CNTN5, CNTNAP2, COL1A1, COL11A1, CRADD, CREB1, CREBBP, CRK, CRKL, CRTC1, CRY1, CSF1, CTNNB1, CTR9, CTSS, CUEDC2, CYP7B1, CYP19A1, DAB2IP, DAB2IP, DAG1, DBN1, DDIT3, DDIT4, DDX1, DDX3X, DGKB, DGKQ, DMBT1, DMBT1, DMD, DMTN, DNAJC15, DNASE1L3, DNTT, DOCK4, DPYD, DRAXIN, DRD1, DROSHA, DSC2, DSCAM, DUSP1, DUSP3, DYSF, ECSCR, ECSIT, EFCAB1, EFNB1, EFNB2, EIF2AK1, EIF2AK2, EIF2B1, EIF2S1, ELMO2, ENG, ENPP2, ENPP4, EP300, EPG5, EPHA10, EPHB2, ERCC6, EREG, ETS1, ETV1, EVL, EXOSC4, FABP7, FANCA, FANCD2, FBXL21, FBXO9, FEM1A, FER, FFAR4, FGF1, FGF2, FGF7, FGF10, FGFR1, FGL2, FKBP5, FLNB, FLNB, FLOT1, FMR1, FN1, FOLR1, FOS, FOXG1, FOXK1, FOXK2, FOXK2, FOXO1, FOXO3, FSTL1, G3BP1, G3BP2, GAB1, GABARAPL1, GAS1, GATM, GBF1, GBX2, GCH1, GCN1, GGT1, GGT5, GH, GHRL, GLI3, GNB1, GPAM, GPR88, GPX4, GRID2, GRIN1, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRM8, GRPR, GSK3B, HCK, HMCN1, HMGB1, HMGB2, HMGB3, HMGCR, HNRNPA0, HNRNPUL1, HPSE, HSD3B7, HTT, HYAL1, HYAL2, HYAL3, ID2, IFIH1, IFNGR2, IGF1R, IGF2, IL2RA, IL17RA, IL20RB, IL34, IMPACT, INSR, IRAK4, IREB2, IRF1, IRF2, IRF8, ITFG2, ITGA2, ITGA6, ITGA6, ITGB2, IVNS1ABP, JAK2, JAK3, JAM3, JUND, KCNB1, KCNMA1, KCNMA1, KIF3A, KIF16B, KLF4, KLF10, KPNA6, KRT8, L1CAM, LAMB2, LAMP1, LARP1, LCT, LEF1, LGALS3, LGI1, LGMN, LHFPL5, LIAS, LMTK2, LMX1A, LPO, LPO, LPO, LRP1, LRP2, LRRC19, LRRK2, LSM5, LSP1, LYG2, LYST, MAP2K2, MAP3K14, MAPK1, MAPK8, MAPK8, MAPK14, MAPKAPK2, MATN2, MATR3, MAVS, MDK, MEF2C, MEF2C, METRNL, MGLL, MIOS, MLH1, MMP2, MMP24, MNX1, MPEG1, MSRB1, MTA1, MTMR3, MTMR3, MTUS1, MTUS1, MVK, MYCBP2, MYD88, MYH10, MYO9B, MYO9B, MYO18A, MYO18A, MYOD1, MYOT, MYPN, NAALADL2, NAPEPLD, NBL1, NCF1, NCF1, NCOA1, NDUFC2, NDUFS4, NENF, NEO1, NEO1, NEXN, NEXN, NFASC, NFASC, NFE2L1, NFIB, NFKB1, NFKBIA, NFKBIB, NFKBIZ, NLRC5, NMUR2, NOD1, NOG, NOS2, NPFF, NPLOC4, NPRL3, NPTN, NPTN, NPY, NR1D1, NRCAM, NRCAM, NRP1, NRP2, NRP2, NTS, OGT, OMA1, OMG, OPTN, OTOF, OTOP1, OTUD4, OXSR1, P2RX4, P2RY1, PARG, PARK7, PARP9, PBK, PCBP2, PCBP2, PCBP2, PCDH15, PCDH15, PCDH15, PCK1, PDE4D, PDE6D, PDGFD, PDGFRB, PDPK1, PDXP, PDZD7, PEMT, PENK, PER2, PER2, PER3, PICK1, PIK3AP1, PIK3C2A, PIK3C2B, PIM1, PIP5K1A, PKD1, PKD2, PLA2G4A, PLA2G6, PLA2G7, PLA2G10, PLAA, PLD1, PLEK, PLXND1, PML, PMP22, POLR3B, POLR3E, POLR3F, POLR3G, POU4F2, PPARA, PPARG, PPARGC1A, PPM1D, PPP1CC, PPP2R3C, PPP6C, PRDX3, PRKAA1, PRKAA2, PRKCE, PRKD1, PRKDC, PRKG1, PRL, PRLH, PRLR, PROC, PSMA1, PSPC1, PTEN, PTGER2, PTGER3, PTGFR, PTGS2, PTPN2, PTPN11, PTPRJ, PTPRO, PUM2, PUM2, RAB11FIP5, RAB43, RAG2, RARRES2, RBM4B, RBM14, REG4, RFTN1, RGS9BP, RHO, RHOA, RICTOR, RIOK3, RIPK2, RMI1, RNF26, RNF166, RNF216, ROMO1, RPL30, RPL39, RPS6KB1, RPS15A, RPTOR, RRAGB, RRP8, RUNX3, RYR2, S1PR1, S100A9, SAMHD1, SBNO2, SCN1A, SCRIB, SCT, SEC14L1, SEH1L, SEH1L, SEMA3A, SEMA3E, SEMA3F, SEMA4B, SEMA4C, SEMA4D, SEMA4D, SEMA5A, SEMA6A, SEMA6B, SEMA6D, SEMA6D, SEMA7A, SERINC3, SERPINE2, SERPINF2, SERPING1, SESN2, SETD2, SETD6, SFPQ, SFRP2, SH2D1A, SHANK3, SHANK3, SHROOM2, SIN3A, SIRT1, SLC1A2, SLC2A1, SLC8A1, SLC9A1, SLC22A3, SLC37A4, SLC37A4, SLIT1, SLIT3, SLITRK6, SMAD4, SMO, SNCA, SNW1, SNX3, SOCS1, SOD1, SOD2, SPHK1, SREBF1, SREBF2, SRF, STAB1, STAT1, STAT2, STAT5B, STK39, STOX2, STOX2, STRBP, STRBP, STRBP, STXBP1, STXBP1, STXBP3, SUOX, SYNCRIP, SYT11, SYT11, TAB2, TACR1, TARBP2, TBK1, TCF3, TCF3, TENM2, TGFB1, TGM2, THBD, THBS1, THBS4, TIRAP, TIRAP, TIRAP, TIRAP, TIRAP, TIRAP, TLR7, TMBIM6, TMC1, TMEFF1, TMEM135, TMEM255A, TNFAIP6, TNIP2, TNR, TOLLIP, TOP2B, TRADD, TRAF3, TRAFD1, TRIL, TRIM8, TRIM25, TRIM32, TRPA1, TRPM2, TRPV1, TSC1, TSC2, TSPAN32, TTC8, TTLL12, TUBB2B, TUSC2, UACA, UBE2K, UBQLN1, UNC5A, UNC5B, UNC5C, UNC5D, UNC93B1, UPF1, USP33, USP46, VAMP3, VAMP4, VAMP7, VPS33B, WASL, WDFY1, WDFY4, WDR59, WFDC1, WIPF1, WIPI2, WNT5A, WNT11, WRN, WRN, XBP1, XPR1, XYLT1, YTHDF1, YTHDF1, YTHDF2, ZBTB1, ZC3H12A, ZMYND11, ZSWIM6, ZSWIM8, ZSWIM8"
"6","control v bldg","system development, GO:0048731","ABCC8, ABCD2, ABI1, ABI1, ABI2, ABI2, ABL2, ABR, ACAP3, ACD, ACP2, ACP5, ACSL4, ACSL6, ACTN1, ACTN1, ACTN2, ACTR2, ACVR1B, ACVR2A, ASAH1, ASAP1, ASB1, ASB2, ASCL1, ASH1L, ASPA, ASTN1, ASXL1, ASXL2, ASXL2, ASXL3, ATAD5, ATAT1, ATCAY, ATF1, ATF1, ATF2, ATF3, ATF4, ATG5, ATM, BCL2L1, BCL6, BCL9L, BCL10, BCL11A, BDNF, BECN1, BFSP2, BHLHE41, BICC1, BICC1, BIN1, BIRC6, BLOC1S2, BLOC1S4, BMI1, BMP2, BMPR1B, BMPR2, BNIP2, BPGM, BPTF, BPTF, BPTF, BPTF, BRCA2, BRINP2, BRIP1, BRSK2, BRSK2, BSN, BTBD1, BTBD2, BTG1, BTK, BZW2, C3AR1, C9ORF72, C9ORF72, CABP4, CACNA1C, CACNA1C, CACNA1C, CACNB4, CACNB4, CACYBP, CALCR, CAMK1, CAMK1D, CAMK2A, CAMK4, CAMSAP1, CAMSAP2, CAPN1, CAPRIN1, CAPRIN2, CAPZB, CARD10, CASK, CASK, CASP6, CASP6, CAT, CAV2, CBLB, CBLN2, CBLN2, CBX7, CCDC39, CCDC40, CCDC66, CCDC141, CCM2, CCNB2, CCND1, CCNT2, CCR5, CD38, CD81, CD164, CDC42, CDC42, CDK5, CDK5R2, CDK5RAP2, CDK13, CDKL5, CDKN1A, CDKN1B, CDON, CECR2, CELSR2, CEP120, CEP290, CFLAR, CGA, CHD2, CHODL, CHRDL1, CHRNA7, CHST11, CHSY1, CIAPIN1, CIB1, CIT, CIT, CLASP2, CLDN1, CLDN11, CLN8, CLOCK, CLP1, CLUAP1, CMTM8, CNGA3, CNN2, CNOT4, CNOT4, CNP, CNTF, CNTFR, CNTN2, CNTN3, CNTN4, CNTN5, CNTNAP2, COL1A1, COL11A1, COL18A1, COL19A1, COL25A1, COL27A1, COPS2, CORIN, CORO1C, CPE, CPLX2, CREB1, CREB3L2, CRK, CRKL, CRTC1, CRYBA2, CRYBB2, CRYBG3, CSF1, CSGALNACT1, CSMD3, CSNK1D, CSPG5, CSRNP1, CTC1, CTDP1, CTNNA1, CTNNB1, CTNNBL1, CTNS, CTR9, CTTN, CUL1, CUX1, CUX2, CYP7B1, CYP19A1, CYP26B1, DAAM2, DAB1, DAB2IP, DAB2IP, DACT1, DAG1, DAGLA, DAGLB, DAW1, DBI, DBN1, DBNL, DCLRE1C, DCTN1, DCTN5, DDIT3, DDIT4, DDX5, DDX6, DEDD, DENND5A, DES, DGUOK, DGUOK, DHCR24, DHFR, DHRS3, DHTKD1, DHX30, DIO3, DIXDC1, DLG1, DLG1, DLG5, DLG5, DLL1, DLX1, ETS1, FGF1, FGF2, FGF9, FGF10, FGF13, FGFR1, FOXG1, FOXJ2, FOXK1, FOXO1, FOXO3, FOXO4, FRAS1, FREM1, FRG1, FRS2, FRY, FRYL, FUBP1, FXR1, FZD1, FZD4, FZD7, FZR1, GAB1, GABPA, GABRA4, GABRA5, GAS1, GAS8, GATAD2A, GATAD2A, GDF11, GFRA4, GGNBP2, GH, GHRL, GIGYF2, GJA4, GJC1, GJC2, GLA, GLG1, GLI3, GNB1, GNG5, GON4L, GPC1, GPC2, GPC4, GPCPD1, GPD2, GPLD1, GPM6B, GPM6B, GPR37L1, GPR157, GPR171, GRB2, GREB1L, GREB1L, GRHL2, GRID2, GRIN1, GRIN1, GRIN2A, GRIN2B, GRIP1, GSK3B, , IL1RAPL1, IL2RA, IL7R, IL34, ILDR2, ILK, IMMP2L, IMPACT, INA, INHBA, INHBB, INPP5D, INSM1, INSR, IQCB1, IRF1, IRF2BP2, IRF8, IRS1, ITFG2, ITGA2, ITGA3, ITGA6, ITGA6, ITGB1, ITGB1, ITGB1BP1, ITGB1BP1, ITGB2, ITGB8, ITPR1, JADE2, JAK1, JAK2, JAK3, JAKMIP1, JAKMIP1, JAM3, JMJD1C, JMJD8, KAT2B, KAT6A, KCNJ10, KCNMA1, KCNMA1, KCNQ1, KCTD10, KDM1A, KDM6A, KERA, KIF3A, KIF3C, KIF27, KLF4, KLF10, KLF11, KLHL3, KMT2A, KMT2E, KNDC1, KRAS, KRIT1, KRT8, L1CAM, LAMA3, LAMA4, LAMB1, LAMB2, LAMC1, LAMC3, LBH, LBR, LGI1, LHFPL4, LHFPL5, LHX8, LIAS, LIFR, LIMK2, LINGO1, LMBR1L, LMNA, LMO2, LMO2, LMO4, LMTK2, LMX1A, LRFN3, LRIG3, LRP1, LRP2, LRP5, LRP12, LRRK1, LRRK2, LRRTM3, LRRTM4, LUC7L, LUC7L, LUZP1, MACF1, MACF1, MACF1, MAD1L1, MAD1L1, MAD2L2, MAFB, MAFK, MAL2, MAN1A2, MAN2A1, MANF, MAP1A, MAP1B, MAP1S, MAP2, MAP2, MAP2, MAP2K2, MAP2K4, MAP2K5, MAP3K4, MAP3K7, MAP3K7, MAP3K13, MAP4, MAP4, MAP4, MAP4K4, MAP4K4, MAP4K4, MAPK1, MAPK8, MAPK8, MAPK14, MAPKAPK2, MARK1, MARK1, MARK2, MARVELD1, MATN2, MATR3, MBNL1, MBNL1, MBOAT7, MBTD1, MCM3AP, MDFI, MDGA1, MDK, MDM1, MDM2, MDM4, MDM4, MED20, MEF2A, MEF2A, MEF2C, MEF2C, NKX2-2, NPHP1, NPHP1, NPHP3, NPHP4, NPPC, NPRL3, NPTN, NPTN, NPY1R, NR0B1, NR1D1, NR2F2, NR3C1, NR5A1, NR5A1, NRARP, NRBP2, NRCAM, NRCAM, NRG2, NRG2, NRG2, NRG4, NRP1, NRP2, NRP2, NRSN1, NRTN, NSMF, NSUN2, NTM, NTN4, NTNG2, NUDT21, NUMA1, NUP107, NUP160, NXN, NYAP2, OLFM1, OLFM3, OMG, ONECUT1, ONECUT1, OPA1, OPHN1, OTOL1, OTOP1, OVOL2, OXT, P2RX4, P2RY1, P4HTM, PABPC4, PAFAH1B1, PAFAH1B2, PAK1, PAK2, PAK3, PAK4, PALB2, PALM, PALM, PAPSS2, PARD3, PATZ1, PAXBP1, PAXBP1, PAXIP1, PBRM1, PBX1, PBX3, PCDH15, PCDH15, PCDH15, PCDH17, PCDH18, PCDH19, PCID2, PCK1, PCLO, PCM1, PCM1, PCM1, PCNT, PCSK5, PCYT1B, PDCD2, PDCD6, PDCD10, PDCL3, PDGFC, PDGFD, PDGFRB, PDLIM1, PDLIM4, PDLIM7, PDPK1, PDZD7, PEF1, PER2, PER2, PFDN1, PGAP1, PGM3, PHF10, PHGDH, PHLDB1, PHOSPHO1, PIAS2, PIAS2, PICALM, PICK1, PIK3C2A, PIK3CA, PIK3R2, PIK3R3, PIKFYVE, PIM1, PITPNA, PKD1, PKD2, PKNOX1, PLA2G4A, PLA2G10, PLAA, PLAG1, PLCB1, PLCE1, PLCL2, PLEKHA5, PLEKHA5, PLK2, PLP1, PLP1, PLS3, PLXND1, PML, PMP22, PMS2, POC1A, POLB, POMGNT2, POU1F1, POU3F3, POU4F1, POU4F2, PPARA, PPARG, PPARGC1A, PPHLN1, PPHLN1, PPP1CC, PPP1R9A, PPP1R9A, PPP1R9A, PPP1R9B, PPP2CA, PPP2R3C, PRDX3, PRELID1, PREX2, PRICKLE1, PRICKLE2, PRKAA1, PRKACB, PRKACB, PRKAR1A, PRKAR1B, PRKCB, PRKD1, PRKDC, PSAP, PSAP, PSD, PSKH1, PSMA6, PTBP1, PTCD2, PTCH2, PTCHD1, PTEN, RAG2, RAI1, RALA, RAP1A, RAP1GAP2, RAPGEF1, RAPGEF1, RAPGEF2, RAPGEF3, RAPGEF4, RAPH1, RARB, RARB, RARRES2, RASA1, RASGRF1, RASSF2, RASSF2, RASSF2, RBBP6, RBFOX1, RBFOX1, RBFOX2, RBFOX2, RBM15, RBM45, RBM47, RET, RFNG, RFX3, RFX4, RFX6, RGCC, RGS4, RGS6, RGS14, RHO, RHOA, RHOJ, RIC8A, RIF1, RIMS1, RIMS1, RIMS1, RIPK2, RIPK3, RIPPLY2, RIT2, RITA1, RND2, RNF6, RNF7, RNF8, RNF8, RNF10, RNF41, RNF213, RNLS, ROBO4, ROM1, RPA1, RPGR, RPGRIP1L, RPL22, RPL38, RPS6KA1, RPS6KB1, RPS7, RRN3, RRS1, RSPO3, RTCB, RUNX3, RXRA, RXRG, RYR2, S1PR1, S100A9, S100B, SAFB2, SAFB2, SALL3, SAMD9L, SAMHD1, SAP30, SASH3, SBNO2, SCARB2, SCHIP1, SCHIP1, SCLT1, SCN2A, SCN8A, SCN8A, SCO2, SCRIB, SCT, SCYL1, SDC4, SDCBP, SDF4, SDHA, SDK1, SDK2, SEC63, SEMA3A, SEMA3E, SEMA3F, SEMA4B, SEMA4C, SEMA4D, SEMA4D, SEMA5A, SEMA6A, SEMA6B, SEMA6D, SEMA6D, SEMA7A, SENP1, SERP1, SERPINE2, SERPINF2, SERPINH1, SETD2, SEZ6, SFRP1, SFRP2, SHOX2, SHROOM2, SHROOM4, SIK3, SIN3A, SIN3B, SIRT1, SKI, SKIL, SLC1A2, SLC6A4, SLC6A17, SLC8A1, SLC8A3, SLC9A1, SLC9A3R1, SLC11A2, SLC12A1, SLC22A5, SLC24A4, SLC25A46, SLC26A4, SLC26A4, SLC37A4, SLC37A4, SLC38A10, SLC39A1, SLIT1, SLIT3, SLITRK3, SLITRK5, SLITRK6, SMAD2, SMAD4, SMARCB1, SMARCD3, SMARCE1, SMCHD1, SMG9, SMO, SMTNL1, SMYD1, TAPT1, TAZ, TBX20, TCEA1, TCF3, TCF3, TCF7, TCF7, TFE3, TGFB1, TGFBR2, TGIF1, TGM2, TGM3, TH, THBS1, THBS4, THEMIS, THOC1, THOC2, THOC5, THSD7A, THSD7A, THY1, TIMP2, TIRAP, TIRAP, TIRAP, TIRAP, TIRAP, TIRAP, TJP1, TJP2, TMC1, TMEFF1, TMEM64, TMEM65, TMEM100, TMEM108, TMEM126A, TMEM223, TMOD3, TNFRSF21, TNN, TNR, TNRC6C, TOB2, TOP2A, TOP2B, TOX, TRPC4AP, TRPC5, TRPM1, TRPM2, TRPS1, TRPV1, TSC1, TSC2, TSG101, TSKU, TSPAN2, TTBK2, TTC3, TTC3, TTC8, TTC21B, TTC26, TTL, TTLL5, TTLL7, TUB, TUB, TUBB2B, TUSC2, TWF1, TWF2, TXNRD2, UBA6, UBE2Q1, UBE4B, UBP1, UCHL1, UCHL3, UCHL5, UHMK1, ULK4, UNC5A, UNC5B, UNC5C, UNC5D, UNC45A, UNC45B, UNC119B, UNK, UNK, UPF2, USH2A, USP1, USP9X, USP19, USP21, USP33, UST, VAMP7, VASN, VHL, VIT, VPS13A, VPS33B, VWC2L, WARS, WASF2, WASF3, WASF3, WASL, WDPCP, WDR1, WDR5, WDR7, WDR19, WDR48, WDR60, WDR61, WLS, WNT5A, WNT7A, WNT9A, WNT11, WWTR1, XBP1, XK, XYLT1, YAP1, YBX3, YIPF6, YTHDF1, YTHDF1, YTHDF2, YWHAH, YWHAZ, ZBTB1, ZBTB7A, ZBTB7B, ZBTB14, ZBTB24, ZBTB24, ZBTB42, ZBTB46, ZBTB46, ZC3H12A, ZC4H2, ZCCHC24, ZEB1, ZFPM2, ZFX, ZIC4, ZIC4, ZIC4, ZMIZ1, ZMYND8, ZSWIM6, ZSWIM8, ZSWIM8"
"7","bldg v lay","endocrine process, GO:0050886","AGT, BMP6, CGA, GAL"
"8","bldg v lay","reproduction, GO:0000003","ACSBG2, AGT, ARID4B, BMP6, CEBPA, CGA, DHCR24, ESR1, GATA2, GATA2, NOS2, PHLDA2, SP3, TH, TXNRD3"
"9","bldg v lay","response to external stimulus, GO:0009605","AGT, BCL11B, BMP6, BSG, BSG, C8G, CAPG, CD34, CD81, CDKN1A, CDS2, CEBPA, CNR2, CNTN4, CNTN5, COL11A1, DAP, EGR3, EPHA7, EPHA7, ESR1, HPSE, HSP90B1, HSPA5, IL22RA1, LPAR1, LRG1, LSP1, MAP1LC3A, NOS2, PCBP2, PCBP2, PCBP2, PDIA3, PDXP, POLR3G, PRLH, REG4, SARM1, SPP1, VPS35, XBP1"
"10","bldg v lay","system development, GO:0048731","ASTN1, ATCAY, BCL11B, BMI1, BMP6, BRINP2, BSG, BSG, CARD10, CD34, CD81, CDKN1A, CEBPA, CGA, CNTN4, CNTN5, COL11A1, DHCR24, DHRS3, DIO3, DLK1, GABPA, GAL, GATA2, GATA2, INSIG1, ITPR1, KANK1, LAMA4, LMBR1L, LPAR1, LRG1, MAFF, MANF, NTNG1, NTNG1, PHLDA2, PIK3R3, PIP4K2A, PLP1, PLP1, POR, PPIB, RITA1, RND2, ROM1, SARM1, SCEL, SCN5A, SCN5A, SERPINB5, TBX20, TH, TMEM108, TNFRSF21, VPS35, VTN, XBP1"
