"","comparisons","genes"
"1","FH- bldg_lay; FH- hatch_n5","HBG2"
"2","FH- hatch_n5; FH+ inc.d17_hatch","ABCB5; BDNF; CAPN2; DSCR3; HIST1H2A4; NFKBIE; OPN3; PSMD14; TST"
"3","FH- hatch_n5; MH- hatch_n5","HSPB1"
"4","FH- hatch_n5; MH- inc.d9_inc.d17","UNC45B"
"5","FH- hatch_n5; MH+ bldg_lay","LOC107050982"
"6","FH- hatch_n5; MH+ bldg_lay; MH- lay_inc.d3","COX14; HAX1; SCO2"
"7","FH- hatch_n5; MH+ inc.d9_inc.d17","AARS; AATK; ABCA2; ABCB6; ABCF3; ACLY; ACTA2; AMHR2; ANAPC1; ANO8; AP3B1; APH1A; APOD; ARCN1; ATP5G2; ATP6V0B; AUP1; BCAP31; BCAR1; BOP1; C14H17ORF103; C1QB; CCDC71L; CD74; CDC42SE1; CERS2L2; CHPF; CHTOP; CLDN11; CLTB; CNTNAP1; COL1A1; CPD; CS; CSK; CTDNEP1; CTSA; CTSS; DCTN2; DDB1; DNAJC5G; DNMT1; ECM1; EDC3; EIF2A; EIF2B4; EMC1; ENGASE; ESYT1; FAM134C; FAM43A; FAM65A; FBXW5; FCHO1; FLOT1; FSCN1; FXYD6; GDI2; GFRA2; GON4L; GYS2; HGS; HYOU1; IFI30; IP6K1; IPO9; IRF8; KCNC4; KCNK9; KPNB1; LAMB2; LEPRE1; LGI3; LIX1; LOC100857850; LOC100858014; LOC101747947; LOC101749026; LOC107049580; LOC107049717; LOC107050106; LOC107050147; LOC107050335; LOC107050564; LOC107050904; LOC107050994; LOC107051018; LOC107051321; LOC107057566; LOXL1; LYPLA2; MAF1; MAN2A1; MEN1; MFGE8; MGAT2; MICALL1; MMP15; MPEG1; MPI; MPP2; MYST2; NELFE; NFASC; NFE2L1; NFIX; NKRF; NPEPL1; NUMA1; OLFML2A; OLFML2B; OXSR1; PADI3; PCNA; PCOLCE; PCSK7; PHLDB1; PIGM; PIGS; PLBD2; PLEKHA6; PLEKHG3; PORCN; PRUNE; PSMF1; QARS; RAD23A; RASAL3; RASSF1; RBM4B; RIC8A; RMDN3; RNF41; RNPEP; RUSC1; SARS; SCAMP4; SCD; SEMA3B; SEPN1; SF3A1; SLC25A1; SLC35B1; SLC38A10; SLC6A8; SLCO2B1; SMARCC1; SMYD5; SNRPB; SOX17; SPIRE2; STARD7; STAT3; TADA3; TARS2; TBKBP1; TBRG4; TDRKH; TGOLN2; TINAGL1; TMEM101; TMEM115; TMEM199; TMEM214; TMEM223; TNPO3; TRAPPC3; TRIM7.2; TXNIP; UBA7; ULK3; UNC45A; UNC93B1; URP; VGLL4; VPS45; ZBTB47; ZC3H10; ZNF638; ZPR1"
"8","FH- inc.d17_hatch; FH+ hatch_n5","GAD2; TACR3"
"9","FH- inc.d17_hatch; FH+ inc.d9_inc.d17; FH+ hatch_n5; MH+ inc.d9_inc.d17","IGJ"
"10","FH- inc.d9_inc.d17; FH+ hatch_n5","ADGRV1; ALDH1A2; ATMIN; C13H5ORF45; C9ORF72; CDH10; CDKL1; CHST15; DUSP5; DUSP6; EGR1; EXD3; FAM188B; G2E3; GNE; GPR137B; GRIP1; KBTBD10; MARCH7; MEF2C; MTR; NAA35; NR4A3; PCGF3; PEX3; PLK2; RBM12B; RNF38; SKP2; SLC17A9; SPTLC3; STAC; TAB2; TAMM41; TDG; TMTC3; TSTD2; WDR35; WDR60"
"11","FH- inc.d9_inc.d17; FH+ hatch_n5; MH- inc.d9_inc.d17","AGGF1; ASB14; BCAR3; CCDC60; CDK5RAP2; CEP290; CZH5ORF42; NEK1; PHF20L1; PPP1R9B; REV1; RIBC2; RP11-463C8.4; SPEF2; ST6GAL2; THOC2; TTLL5; ZMYND11"
"12","FH- inc.d9_inc.d17; MH- inc.d9_inc.d17","C5ORF30; DUS2"
"13","FH- lay_inc.d3; FH- hatch_n5","CLIC2; IRF1"
"14","FH- lay_inc.d3; MH+ inc.d9_inc.d17","BLB1; HLA-DRA; SLC35B2"
"15","FH+ hatch_n5; MH- hatch_n5; MH+ inc.d17_hatch","LOC101748402"
"16","FH+ hatch_n5; MH- inc.d17_hatch","NTN4L"
