gene,bldg_lay,lay_inc.d3,inc.d3_inc.d9,inc.d9_inc.d17,inc.d17_hatch,hatch_n5,n5_n9
AVP,NA,NA,MH(-),NA,FH(-); MH(-),NA,FG(+)
AVPR2,NA,NA,NA,FG(+),FP(-),FP(+),NA
CGA,FP(-),FP(+),NA,NA,NA,NA,NA
CRH,MH(+),NA,NA,NA,NA,NA,NA
DIO2,NA,FG(-); FH(-),NA,FP(-),NA,NA,FG(+)
DIO3,FH(-); FP(-),FH(+); FP(+),FP(-),NA,FP(-),FP(+); MH(-),NA
ESR2,NA,NA,NA,NA,FH(-),NA,NA
GABRQ,NA,NA,NA,NA,NA,MG(+),NA
GAL,FP(-),FP(+),FP(-),NA,MH(-),FH(+); MG(-),NA
GNRH1,NA,NA,NA,NA,MH(-),MH(+),NA
GNRHR,FP(-),FP(+),NA,NA,NA,NA,FH(+); FP(+); MP(+)
LHCGR,NA,NA,NA,NA,NA,FH(-),NA
MC4R,NA,NA,FP(-),NA,NA,FH(+),NA
MC5R,NA,NA,NA,FG(+); FP(-),NA,FP(+),NA
NPVF,NA,MH(-),MH(+),NA,NA,FH(-),MH(-)
NPY,FG(-); MG(-),NA,FP(-); MP(+),NA,MP(-),MG(-),NA
POMC,MH(+),MH(-),NA,NA,NA,FH(-),NA
PRL,FG(+),NA,MP(+),FP(+); MP(+),NA,FP(-),FP(-); MP(-)
PRLH,FP(-),FP(+),MH(+),FP(+),NA,NA,FH(+); FP(+)
PRLHR,NA,NA,NA,NA,FH(-),NA,NA
SERPINA4,NA,NA,NA,FH(-); FP(-),NA,NA,NA
VIP,NA,NA,FP(-); MP(+),FG(+),FG(-),FP(+),MP(+)
VIPR1,FP(+),FG(-),NA,NA,NA,NA,NA
