"bird_id","sex","tissue","treatment","gene","counts","hormone","plasma_conc","logconc"
"L.G118","female","hypothalamus","control","PRL",13.0349878778497,NA,NA,NA
"R.G106","female","hypothalamus","control","PRL",10.6439864227049,NA,NA,NA
"R.R20","female","hypothalamus","control","PRL",11.1564926380609,NA,NA,NA
"R.R9","female","hypothalamus","control","PRL",10.9428450664971,NA,NA,NA
"R.W44","female","hypothalamus","control","PRL",10.4974594278519,NA,NA,NA
"blk.s061.pu.y","female","hypothalamus","inc.d9","PRL",10.6091949240974,NA,NA,NA
"blk11.x","female","hypothalamus","bldg","PRL",10.0603198905096,"prolactin",9.317952,0.969320468916578
"blk11.x","female","hypothalamus","bldg","PRL",10.0603198905096,"corticosterone",0.533776389,-0.272640640653042
"blk11.x","female","hypothalamus","bldg","PRL",10.0603198905096,"estradiol",0.183025323,-0.737488818038286
"blk11.x","female","hypothalamus","bldg","PRL",10.0603198905096,"progesterone",0.128435322,-0.891315521126284
"blk21.x","female","hypothalamus","hatch","PRL",11.660613955592,"prolactin",86.72352,1.93813689702586
"blk21.x","female","hypothalamus","hatch","PRL",11.660613955592,"corticosterone",3.247187942,0.511507425617499
"blk21.x","female","hypothalamus","hatch","PRL",11.660613955592,"estradiol",0.322931078,-0.49089015766345
"blk21.x","female","hypothalamus","hatch","PRL",11.660613955592,"progesterone",0.262000809,-0.581697367673791
"blk4.x","female","hypothalamus","n9","PRL",12.5618617437596,"prolactin",59.31456,1.77316131311968
"blk4.x","female","hypothalamus","n9","PRL",12.5618617437596,"corticosterone",0.518721199,-0.285066002978861
"blk4.x","female","hypothalamus","n9","PRL",12.5618617437596,"estradiol",0.439255657,-0.357282636689665
"blk4.x","female","hypothalamus","n9","PRL",12.5618617437596,"progesterone",0.41906466,-0.377718961962921
"blu.o.x.ATLAS","female","hypothalamus","control","PRL",10.809529272406,NA,NA,NA
"blu103.x","female","hypothalamus","hatch","PRL",10.7699054998608,"prolactin",42.46528,1.62803399200383
"blu103.x","female","hypothalamus","hatch","PRL",10.7699054998608,"corticosterone",1.388756175,0.142626003011004
"blu103.x","female","hypothalamus","hatch","PRL",10.7699054998608,"estradiol",0.202442577,-0.693698142960975
"blu124.w180.x","female","hypothalamus","hatch","PRL",11.1183203449114,"prolactin",93.479936,1.9707184063854
"blu124.w180.x","female","hypothalamus","hatch","PRL",11.1183203449114,"corticosterone",4.334516836,0.63694069416432
"blu124.w180.x","female","hypothalamus","hatch","PRL",11.1183203449114,"estradiol",0.994276676,-0.0024927482583165
"blu124.w180.x","female","hypothalamus","hatch","PRL",11.1183203449114,"progesterone",0.484782388,-0.314453166344561
"blu36.w16","female","hypothalamus","n9","PRL",10.7389877229421,"prolactin",50.02944,1.69922564167471
"blu36.w16","female","hypothalamus","n9","PRL",10.7389877229421,"corticosterone",0.989090059,-0.00476416305796149
"blu36.w16","female","hypothalamus","n9","PRL",10.7389877229421,"estradiol",1.115639537,0.0475238967706637
"blu36.w16","female","hypothalamus","n9","PRL",10.7389877229421,"progesterone",0.205399526,-0.687400562957932
"blu38.g135.x","female","hypothalamus","bldg","PRL",10.5086277247222,"prolactin",20.374976,1.30909710585011
"blu38.g135.x","female","hypothalamus","bldg","PRL",10.5086277247222,"corticosterone",0.757011001,-0.120897809220033
"blu38.g135.x","female","hypothalamus","bldg","PRL",10.5086277247222,"estradiol",0.703096088,-0.152985318455969
"blu39.o26.x","female","hypothalamus","inc.d3","PRL",10.7288574024941,"prolactin",12.921664,1.11131844395975
"blu39.o26.x","female","hypothalamus","inc.d3","PRL",10.7288574024941,"corticosterone",1.116201384,0.0477425566712261
"blu39.o26.x","female","hypothalamus","inc.d3","PRL",10.7288574024941,"estradiol",0.148602211,-0.827974728812617
"blu39.o26.x","female","hypothalamus","inc.d3","PRL",10.7288574024941,"progesterone",0.328844832,-0.483008978957587
"blu47.y96.x","female","hypothalamus","inc.d9","PRL",10.4302130193086,"prolactin",30.28672,1.48125224252954
"blu47.y96.x","female","hypothalamus","inc.d9","PRL",10.4302130193086,"corticosterone",1.698159785,0.229978551914385
"blu47.y96.x","female","hypothalamus","inc.d9","PRL",10.4302130193086,"estradiol",0.057230423,-1.24237304413378
"blu47.y96.x","female","hypothalamus","inc.d9","PRL",10.4302130193086,"progesterone",0.111987133,-0.950831873652254
"blu55.g51","female","hypothalamus","n5","PRL",10.3256530091448,"corticosterone",3.297365125,0.518167040255943
"blu55.g51","female","hypothalamus","n5","PRL",10.3256530091448,"estradiol",0.221616668,-0.654397579014915
"g.blk.s004.pk","female","hypothalamus","lay","PRL",10.3297666346896,NA,NA,NA
"g.s078.blk.o","female","hypothalamus","lay","PRL",10.3264626281786,NA,NA,NA
"g141.blu27.x","female","hypothalamus","bldg","PRL",10.1177228586409,"prolactin",3.8944,0.590440556549971
"g141.blu27.x","female","hypothalamus","bldg","PRL",10.1177228586409,"corticosterone",4.786075607,0.679979555005278
"g141.blu27.x","female","hypothalamus","bldg","PRL",10.1177228586409,"estradiol",0.161187691,-0.792668125898697
"g141.blu27.x","female","hypothalamus","bldg","PRL",10.1177228586409,"progesterone",0.100106664,-0.999537011011238
"g142.r40.x","female","hypothalamus","inc.d17","PRL",10.5625566923733,"prolactin",112.998528,2.05307278608836
"g142.r40.x","female","hypothalamus","inc.d17","PRL",10.5625566923733,"corticosterone",1.411796135,0.149771988616139
"g142.r40.x","female","hypothalamus","inc.d17","PRL",10.5625566923733,"estradiol",0.14434064,-0.840611373391493
"g142.r40.x","female","hypothalamus","inc.d17","PRL",10.5625566923733,"progesterone",0.192549725,-0.715457097301275
"g6.w197.x","female","hypothalamus","inc.d3","PRL",10.7132231038022,"prolactin",27.507392,1.43944941650017
"g6.w197.x","female","hypothalamus","inc.d3","PRL",10.7132231038022,"corticosterone",5.045182614,0.702876890457407
"g6.w197.x","female","hypothalamus","inc.d3","PRL",10.7132231038022,"estradiol",0.151206405,-0.820429812027661
"g6.w197.x","female","hypothalamus","inc.d3","PRL",10.7132231038022,"progesterone",0.374467726,-0.426585606600305
"g75.x","female","hypothalamus","inc.d9","PRL",10.3493532064296,"prolactin",13.09664,1.11715988980622
"g75.x","female","hypothalamus","inc.d9","PRL",10.3493532064296,"corticosterone",1.079721875,0.0333119002014657
"g75.x","female","hypothalamus","inc.d9","PRL",10.3493532064296,"estradiol",0.147753193,-0.830463125084291
"g75.x","female","hypothalamus","inc.d9","PRL",10.3493532064296,"progesterone",0.162925243,-0.788011622589657
"l.s120.y.blk","female","hypothalamus","bldg","PRL",10.6645189190606,NA,NA,NA
"o156.w80.x","female","hypothalamus","inc.d3","PRL",10.6384352972153,"prolactin",26.286432,1.41973164096099
"o156.w80.x","female","hypothalamus","inc.d3","PRL",10.6384352972153,"corticosterone",2.73633188574073,0.437168771192975
"o156.w80.x","female","hypothalamus","inc.d3","PRL",10.6384352972153,"estradiol",0.675810429,-0.170175110545431
"o156.w80.x","female","hypothalamus","inc.d3","PRL",10.6384352972153,"progesterone",0.345473994,-0.461584639136037
"o165.w122.x","female","hypothalamus","inc.d3","PRL",10.632168509898,"prolactin",91.76992,1.96270035311032
"o165.w122.x","female","hypothalamus","inc.d3","PRL",10.632168509898,"corticosterone",6.588524518,0.818788166424452
"o165.w122.x","female","hypothalamus","inc.d3","PRL",10.632168509898,"estradiol",0.145801338,-0.83623849053553
"o172.w115.x","female","hypothalamus","hatch","PRL",10.1893904269436,"prolactin",63.40896,1.80215063017852
"o172.w115.x","female","hypothalamus","hatch","PRL",10.1893904269436,"corticosterone",1.438779342,0.157994193589194
"o172.w115.x","female","hypothalamus","hatch","PRL",10.1893904269436,"estradiol",0.140386018,-0.852676144398714
"o172.w115.x","female","hypothalamus","hatch","PRL",10.1893904269436,"progesterone",0.12655177,-0.897731776259522
"o173.w179.x","female","hypothalamus","inc.d3","PRL",10.644182104978,"prolactin",29.284512,1.46663799129814
"o173.w179.x","female","hypothalamus","inc.d3","PRL",10.644182104978,"corticosterone",1.68736856433694,0.227209953943777
"o173.w179.x","female","hypothalamus","inc.d3","PRL",10.644182104978,"estradiol",0.147310413,-0.831766552895312
"o173.w179.x","female","hypothalamus","inc.d3","PRL",10.644182104978,"progesterone",0.261899461,-0.581865395369982
"o35.r51.x","female","hypothalamus","inc.d17","PRL",10.2989561508767,"prolactin",38.028896,1.58011371778425
"o35.r51.x","female","hypothalamus","inc.d17","PRL",10.2989561508767,"corticosterone",1.478160864,0.169721699651459
"o35.r51.x","female","hypothalamus","inc.d17","PRL",10.2989561508767,"estradiol",0.626673063,-0.20295897267179
"o35.r51.x","female","hypothalamus","inc.d17","PRL",10.2989561508767,"progesterone",0.14079615,-0.851409220596006
"o38.blu29.x","female","hypothalamus","bldg","PRL",9.95300323076161,"prolactin",8.149248,0.911117534565926
"o38.blu29.x","female","hypothalamus","bldg","PRL",9.95300323076161,"corticosterone",1.09492579,0.0393846853079563
