"","gene","lay_inc.d3","inc.d3_inc.d9","inc.d9_inc.d17","hatch_n5","n5_n9","literature","GO","NCBI"
"1","ADRA2A",NA,NA,"MH+",NA,NA,"X"," ","XP_004942333.2"
"2","AVP",NA,NA,"MH+",NA,"FG+","X","X","NP_990516.1"
"3","AVPR1A","FG+","FG-",NA,NA,NA,"X","X","NP_001103908.1"
"4","BRINP1",NA,NA,"FG+",NA,NA," ","X","NP_989780.1"
"5","COMT",NA,NA,NA,"FH-",NA,"X"," ","XP_001233014.1"
"6","CREBRF","FG-",NA,NA,"FP+",NA," ","X","XP_001231574.1"
"7","CRHBP",NA,NA,NA,"FH+",NA,"X"," ","XP_003643006.2"
"8","CRHR2",NA,NA,NA,"FH+",NA,"X"," ","NP_989785.1"
"9","DRD1",NA,NA,NA,"FH+",NA,"X","X","NP_001138320.1"
"10","DRD4","FP-",NA,NA,"FH+",NA,"X"," ","NP_001136321.1"
"11","ESR1","FP-",NA,NA,NA,NA,"X"," ","XP_015139536.1"
"12","FOS",NA,NA,NA,"FH+",NA,"X"," ","NP_990839.1"
"13","GAL","FP+",NA,NA,"FH+",NA,"X"," ","NP_001138861.1"
"14","GNAQ","FG-",NA,NA,"FH+ FP+",NA," ","X","NP_001026598.1"
"15","GNRHR","FP+",NA,NA,NA,NA,"X"," ","NP_001012627.1"
"16","HTR2C",NA,NA,NA,"FH+",NA,"X"," ","XP_004940707.1"
"17","MEST",NA,NA,"FP+","FP-",NA,"X"," ","XP_015142671.1"
"18","NR3C1","FG-",NA,"FP-","FP+",NA,"X","X","XP_015149519.1"
"19","OPRK1",NA,NA,NA,"FH+ FP+",NA," ","X","XP_426087.2"
"20","OPRM1",NA,NA,NA,NA,"FG+","X"," ","XP_003641008.2"
"21","PGR",NA,NA,NA,"FH+",NA,"X"," ","NP_990593.1"
"22","PRL",NA,NA,"FP+ MP+","FP-",NA,"X","X","NP_990797.2"
"23","PRLR","FG-",NA,NA,"FH+",NA,"X"," ","XP_015132722.1"
"24","PTEN","FP-",NA,NA,NA,NA," ","X","XP_015134187.1"
"25","SLC6A4",NA,NA,NA,NA,NA,"X"," ","XP_015151186.1"
"26","TH",NA,NA,NA,NA,NA,"X"," ","NP_990136.1"
"27","THRB",NA,NA,NA,"FH+",NA,"X"," ","NP_001239150.1"
"28","VIP",NA,"FP-",NA,NA,NA,"X"," ","NP_001170780.1"
