"net$colors","gene"
"turquoise","CNTRL"
"turquoise","COA5"
"turquoise","COA6"
"turquoise","COA7"
"turquoise","COBL"
"turquoise","COBLL1"
"turquoise","COCH"
"turquoise","COG1"
"turquoise","COG2"
"turquoise","COG3"
"turquoise","COG4"
"turquoise","COG5"
"turquoise","COG6"
"turquoise","COG7"
"turquoise","COIL"
"turquoise","COL10A1"
"turquoise","COL11A1"
"turquoise","COL12A1"
"turquoise","COL13A1"
"turquoise","COL14A1"
"turquoise","COL15A1"
"turquoise","COL16A1"
"turquoise","COL17A1"
"turquoise","COL18A1"
"grey","COL19A1"
"grey","COL1A1"
"grey","COL1A2"
"red","COL20A1"
"turquoise","COL21A1"
"brown","COL23A1"
"turquoise","COL24A1"
"greenyellow","COL25A1"
"turquoise","COL26A1"
"turquoise","COL27A1"
"turquoise","COL28A1"
"turquoise","COL2A1"
"turquoise","COL3A1"
"turquoise","COL4A2"
"turquoise","COL4A3"
"turquoise","COL4A3BP"
"turquoise","COL4A4"
"turquoise","COL4A5"
"turquoise","COL4A6"
"turquoise","COL5A1"
"turquoise","COL6A1"
"turquoise","COL6A2"
"turquoise","COL6A3"
"turquoise","COL6A6"
"turquoise","COL7A1"
"midnightblue","COL8A1"
"turquoise","COL8A2"
"cyan","COL9A1"
"pink","COL9A2"
"turquoise","COL9A3"
"turquoise","COLEC10"
"turquoise","COLEC11"
"brown","COLEC12"
"turquoise","COLGALT2"
"turquoise","COMMD1"
"turquoise","COMMD10"
"turquoise","COMMD2"
"turquoise","COMMD4"
"turquoise","COMMD5"
"turquoise","COMMD6"
"turquoise","COMMD7"
"turquoise","COMMD8"
"turquoise","COMMD9"
"turquoise","COMT"
"turquoise","COMTD1"
"turquoise","COPA"
"turquoise","COPB1"
"turquoise","COPB2"
"turquoise","COPE"
"turquoise","COPG1"
"green","COPG2"
"turquoise","COPRS"
"turquoise","COPS2"
"turquoise","COPS3"
"turquoise","COPS4"
"turquoise","COPS5"
"turquoise","COPS6"
"turquoise","COPS7A"
"turquoise","COPS7B"
"turquoise","COPS8"
"turquoise","COPZ1"
"turquoise","COQ10A"
"turquoise","COQ10B"
"turquoise","COQ2"
"turquoise","COQ3"
"turquoise","COQ4"
"turquoise","COQ5"
"turquoise","COQ6"
"turquoise","COQ7"
"turquoise","COQ9"
"grey","COR4"
"magenta","COR7A"
"grey","COR8"
"turquoise","CORIN"
"turquoise","CORO1C"
"turquoise","CORO2A"
"turquoise","CORO2B"
"turquoise","CORO6"
"turquoise","CORO7"
"turquoise","COTL1"
"green","COX1"
"turquoise","COX10"
"turquoise","COX11"
"turquoise","COX14"
"turquoise","COX15"
"turquoise","COX16"
"turquoise","COX17"
"turquoise","COX18"
"turquoise","COX19"
"green","COX2"
"turquoise","COX20"
"green","COX3"
"turquoise","COX4I1"
"turquoise","COX5A"
"turquoise","COX6A1"
"turquoise","COX6C"
"turquoise","COX7A2"
"turquoise","COX7A2L"
"turquoise","COX7C"
"turquoise","CP"
"turquoise","CPA2"
"turquoise","CPA5"
"turquoise","CPA6"
"turquoise","CPAMD8"
"turquoise","CPB1"
"grey","CPB2"
"turquoise","CPD"
"turquoise","CPE"
"magenta","CPEB2"
"turquoise","CPEB3"
"turquoise","CPEB4"
"turquoise","CPED1"
"turquoise","CPLX1"
"turquoise","CPLX2"
"red","CPLX3"
"turquoise","CPLX4"
"turquoise","CPM"
"turquoise","CPN1"
"turquoise","CPNE1"
"turquoise","CPNE2"
"turquoise","CPNE3"
"black","CPNE4"
"brown","CPNE7"
"turquoise","CPNE8"
"turquoise","CPNE9"
"grey","CPO"
"turquoise","CPOX"
"turquoise","CPPED1"
"turquoise","CPQ"
"grey","CPS1"
"turquoise","CPSF2"
"turquoise","CPSF3"
"turquoise","CPSF3L"
"turquoise","CPSF4"
"turquoise","CPSF6"
"turquoise","CPSF7"
"turquoise","CPT1A"
"turquoise","CPT2"
"turquoise","CPXM2"
"turquoise","CPZ"
"turquoise","CR1L"
"grey","CRABP1"
"turquoise","CRABP2"
"turquoise","CRADD"
"turquoise","CRAT"
"turquoise","CRB1"
"turquoise","CRB2"
"turquoise","CRCP"
"turquoise","CREB1"
"turquoise","CREB3"
"turquoise","CREB3L1"
"turquoise","CREB3L2"
"pink","CREB5"
"green","CREBBP"
"turquoise","CREBL2"
"turquoise","CREBRF"
"turquoise","CREBZF"
"turquoise","CREG1"
"turquoise","CREG2"
"turquoise","CRELD1"
"turquoise","CRELD2"
"turquoise","CREM"
"salmon","CRH"
"salmon","CRHBP"
"turquoise","CRHR1"
"turquoise","CRHR2"
"turquoise","CRIM1"
"turquoise","CRIPT"
"grey","CRISP2"
"turquoise","CRISPLD1"
"turquoise","CRISPLD2"
"turquoise","CRK"
"turquoise","CRKL"
"turquoise","CRLF1"
"turquoise","CRLF3"
"turquoise","CRLS1"
"turquoise","CRMP1"
"turquoise","CRNKL1"
"turquoise","CROCC"
"turquoise","CROT"
"grey","CRP"
"blue","CRTAM"
"turquoise","CRTAP"
"turquoise","CRTC1"
"turquoise","CRY1"
"turquoise","CRY2"
"turquoise","CRYAA"
"grey","CRYBA1"
"turquoise","CRYBA2"
"turquoise","CRYBA4"
"turquoise","CRYBB1"
"lightcyan","CRYBB2"
"grey","CRYBB3"
"turquoise","CRYBG3"
"turquoise","CRYGN"
"turquoise","CRYGS"
"turquoise","CRYL1"
"brown","CRYM"
"turquoise","CRYZ"
"turquoise","CRYZL1"
"turquoise","CS"
"turquoise","CSAD"
"turquoise","CSDC2"
"turquoise","CSDE1"
"turquoise","CSE1L"
"blue","CSF1"
"blue","CSF2RB"
"grey","CSF3"
"turquoise","CSF3R"
"turquoise","CSGALNACT1"
"turquoise","CSGALNACT2"
"turquoise","CSK"
"turquoise","CSMD1"
"turquoise","CSMD2"
"turquoise","CSMD3"
"turquoise","CSNK1A1"
"turquoise","CSNK1D"
"turquoise","CSNK1E"
"turquoise","CSNK1G2"
"turquoise","CSNK2A1"
"turquoise","CSNK2A2"
"turquoise","CSPG4"
"black","CSPG5"
"turquoise","CSPP1"
"turquoise","CSRNP1"
"turquoise","CSRNP2"
"turquoise","CSRNP3"
"turquoise","CSRP1"
"grey","CSRP2"
"turquoise","CSRP2BP"
"yellow","CSRP3"
"turquoise","CST3"
"turquoise","CST7"
"grey","CSTA"
"turquoise","CSTB"
"turquoise","CSTF1"
"turquoise","CSTF2"
"turquoise","CSTF3"
"turquoise","CTB-54O9.9"
"turquoise","CTBP1"
"turquoise","CTBP2"
"turquoise","CTBS"
"turquoise","CTC-260F20.3"
"turquoise","CTC-360G5.8"
"turquoise","CTC-487M23.8"
"turquoise","CTC-554D6.1"
"turquoise","CTC1"
"turquoise","CTCF"
"turquoise","CTD-2116N17.1"
"purple","CTD-2207O23.12"
"turquoise","CTD-2287O16.3"
"turquoise","CTD-2410N18.5"
"turquoise","CTD-2510F5.6"
"turquoise","CTD-2521M24.10"
"turquoise","CTD-2561J22.3"
"turquoise","CTD-3222D19.2"
"turquoise","CTDNEP1"
"turquoise","CTDP1"
"turquoise","CTDSP1"
"turquoise","CTDSPL"
"turquoise","CTDSPL2"
"brown","CTGF"
"turquoise","CTH"
"turquoise","CTHRC1"
"turquoise","CTIF"
"grey","CTLA4"
"turquoise","CTNNA1"
"grey","CTNNA2"
"magenta","CTNNA3"
"turquoise","CTNNAL1"
"turquoise","CTNNB1"
"turquoise","CTNNBIP1"
"turquoise","CTNNBL1"
"turquoise","CTNND2"
"turquoise","CTNS"
"turquoise","CTPS1"
"turquoise","CTPS2"
"turquoise","CTR9"
"turquoise","CTSA"
"turquoise","CTSB"
"turquoise","CTSC"
"grey","CTSE"
"turquoise","CTSH"
"blue","CTSK"
"turquoise","CTSL2"
"turquoise","CTSO"
"blue","CTSS"
"turquoise","CTSZ"
"turquoise","CTTN"
"turquoise","CTTNBP2"
"turquoise","CTTNBP2NL"
"turquoise","CTU2"
"turquoise","CTXN2"
"turquoise","CUBN"
"turquoise","CUEDC1"
"turquoise","CUEDC2"
"turquoise","CUL1"
"turquoise","CUL2"
"turquoise","CUL3"
"turquoise","CUL4A"
"turquoise","CUL5"
"turquoise","CUL9"
"brown","CUTA"
"turquoise","CUTC"
"turquoise","CUX1"
"turquoise","CUX2"
"turquoise","CWC15"
"turquoise","CWC22"
"turquoise","CWC25"
"turquoise","CWC27"
"turquoise","CWF19L1"
"turquoise","CWF19L2"
"turquoise","CWH43"
"blue","CX3CL1"
"blue","CX3CR1"
"turquoise","CXADR"
"turquoise","CXCL12"
"midnightblue","CXCL14"
"turquoise","CXCR1"
"turquoise","CXCR4"
"turquoise","CXCR5"
"turquoise","CXCR7"
"turquoise","CXORF23"
"turquoise","CXORF56"
"turquoise","CXXC5"
"turquoise","CYB561"
"turquoise","CYB561A3"
"turquoise","CYB561D2"
"turquoise","CYB5A"
"turquoise","CYB5B"
"turquoise","CYB5D2"
"turquoise","CYB5R2"
"turquoise","CYB5R3"
"turquoise","CYB5R4"
"blue","CYBB"
"turquoise","CYBRD1"
"turquoise","CYFIP2"
"turquoise","CYGB"
"turquoise","CYHR1"
"turquoise","CYLD"
"turquoise","CYP11A1"
"purple","CYP17A1"
"turquoise","CYP19A1"
"turquoise","CYP1B1"
"turquoise","CYP20A1"
"grey","CYP24A1"
"turquoise","CYP26A1"
"turquoise","CYP26B1"
"turquoise","CYP26C1"
"turquoise","CYP27A1"
"turquoise","CYP2AC7"
"grey","CYP2C45"
"turquoise","CYP2C8"
"turquoise","CYP2D6"
"turquoise","CYP2J2L1"
"turquoise","CYP2J2L3"
"turquoise","CYP2J2L5"
"grey","CYP2J2L6"
"grey","CYP2J6L2"
"lightcyan","CYP2K1L"
"turquoise","CYP2R1"
"turquoise","CYP2W1"
"pink","CYP39A1"
"blue","CYP3A4"
"grey","CYP3A7"
"turquoise","CYP46A1"
"turquoise","CYP4B1L"
"grey","CYP4F22"
"turquoise","CYP4V2"
"turquoise","CYP51A1"
"grey","CYP7A1"
"turquoise","CYP7B1"
"turquoise","CYR61"
"blue","CYSLTR1"
"grey","CYSLTR2"
"turquoise","CYSTM1"
"green","CYTB"
"turquoise","CYTH1"
"grey","CYTH4"
"grey","CYTIP"
"tan","CYTL1"
"turquoise","CYYR1"
"turquoise","CZH18ORF25"
"turquoise","CZH5ORF28"
"turquoise","CZH5ORF34"
"turquoise","CZH5ORF42"
"turquoise","CZH5ORF51"
"turquoise","CZH5ORF63"
"turquoise","CZH9ORF3"
"turquoise","CZH9ORF40"
"turquoise","CZH9ORF64"
"turquoise","CZH9ORF84"
"turquoise","D2HGDH"
"turquoise","DAAM1"
"brown","DAAM2"
"turquoise","DAB1"
"turquoise","DAB2"
"turquoise","DAB2IP"
"turquoise","DACH1"
"turquoise","DACH2"
"turquoise","DACT1"
"turquoise","DACT2"
"turquoise","DAD1"
"turquoise","DAG1"
"turquoise","DAGLA"
"turquoise","DAGLB"
"turquoise","DAK"
"turquoise","DALRD3"
"turquoise","DAP"
"turquoise","DAP3"
"turquoise","DAPK1"
"turquoise","DAPK2"
"turquoise","DAPK3"
"grey","DAPP1"
"turquoise","DARS2"
"turquoise","DAW1"
"turquoise","DAZAP1"
"turquoise","DAZAP2"
"grey","DAZL"
"turquoise","DBF4"
"turquoise","DBF4B"
"grey","DBH"
"turquoise","DBI"
"turquoise","DBN1"
"turquoise","DBNDD1"
"brown","DBNDD2"
"turquoise","DBNL"
"turquoise","DBR1"
"turquoise","DBT"
"turquoise","DBX2"
"turquoise","DCAF10"
"turquoise","DCAF12"
"turquoise","DCAF13"
"turquoise","DCAF17"
"turquoise","DCAF4"
"turquoise","DCAF5"
"turquoise","DCAF6"
"turquoise","DCAF7"
"turquoise","DCAF8"
"turquoise","DCAKD"
"turquoise","DCBLD1"
"turquoise","DCBLD2"
"turquoise","DCDC2"
"turquoise","DCHS1"
"turquoise","DCK"
"turquoise","DCLK1"
"turquoise","DCLK3"
"turquoise","DCLRE1A"
"turquoise","DCLRE1B"
"turquoise","DCLRE1C"
"turquoise","DCN"
"turquoise","DCP1A"
"grey","DCP1B"
"turquoise","DCP2"
"turquoise","DCST1"
"blue","DCSTAMP"
"turquoise","DCT"
"turquoise","DCTN1"
"turquoise","DCTN2"
"turquoise","DCTN3"
"turquoise","DCTN4"
"turquoise","DCTN5"
"turquoise","DCTN6"
"turquoise","DCUN1D1"
"turquoise","DCUN1D2"
"turquoise","DCUN1D3"
"turquoise","DCUN1D4"
"turquoise","DCUN1D5"
"turquoise","DCX"
"turquoise","DCXR"
"turquoise","DDA1"
"turquoise","DDAH1"
"turquoise","DDB1"
"turquoise","DDB2"
"turquoise","DDC"
"turquoise","DDHD1"
"turquoise","DDHD2"
"turquoise","DDI2"
"turquoise","DDIT3"
"turquoise","DDIT4"
"grey","DDO"
"turquoise","DDOST"
"turquoise","DDR2"
"turquoise","DDRGK1"
"turquoise","DDT"
"turquoise","DDX1"
"turquoise","DDX10"
"turquoise","DDX11"
"turquoise","DDX17"
"turquoise","DDX18"
"turquoise","DDX20"
"turquoise","DDX23"
"turquoise","DDX24"
"turquoise","DDX25"
"turquoise","DDX27"
"turquoise","DDX28"
"turquoise","DDX31"
"turquoise","DDX3X"
"turquoise","DDX4"
"turquoise","DDX42"
"turquoise","DDX43"
"turquoise","DDX46"
"turquoise","DDX47"
"turquoise","DDX49"
"turquoise","DDX5"
"turquoise","DDX50"
"turquoise","DDX51"
"turquoise","DDX52"
"turquoise","DDX54"
"turquoise","DDX55"
"turquoise","DDX59"
"turquoise","DDX6"
"cyan","DDX60"
"turquoise","DEAF1"
"turquoise","DECR1"
"turquoise","DECR2"
"turquoise","DEDD"
"turquoise","DEF6"
"turquoise","DEF8"
"turquoise","DEGS1"
"turquoise","DEK"
"turquoise","DELE"
"turquoise","DENND1A"
"magenta","DENND1B"
"turquoise","DENND2A"
"turquoise","DENND2C"
"turquoise","DENND2D"
"turquoise","DENND3"
"turquoise","DENND4C"
"turquoise","DENND5A"
"turquoise","DENND6A"
"turquoise","DENND6B"
"turquoise","DENR"
"red","DEPDC1"
"red","DEPDC1B"
"turquoise","DEPDC5"
"turquoise","DEPDC6"
"brown","DEPDC7"
"turquoise","DEPTOR"
"turquoise","DERA"
"turquoise","DERL1"
"turquoise","DERL2"
"grey","DES"
"turquoise","DESI1"
"turquoise","DESI2"
"turquoise","DET1"
"turquoise","DEXI"
"turquoise","DFFA"
"turquoise","DFFB"
"turquoise","DFNA5"
"turquoise","DFNB31"
"turquoise","DFNB59"
"turquoise","DGAT2"
"turquoise","DGCR14"
"turquoise","DGCR2"
"turquoise","DGCR6"
"turquoise","DGKB"
"turquoise","DGKD"
"turquoise","DGKE"
"turquoise","DGKG"
"magenta","DGKH"
"turquoise","DGKI"
"turquoise","DGKK"
"turquoise","DGKQ"
"turquoise","DGKZ"
"turquoise","DGUOK"
"turquoise","DHCR24"
"turquoise","DHCR7"
"turquoise","DHFR"
"turquoise","DHODH"
"turquoise","DHPS"
"green","DHRS11"
"turquoise","DHRS12"
"turquoise","DHRS13"
"turquoise","DHRS3"
"turquoise","DHRS4"
"turquoise","DHRS7"
"turquoise","DHRS7B"
"turquoise","DHRS7C"
"turquoise","DHRSX"
"turquoise","DHTKD1"
"turquoise","DHX15"
"turquoise","DHX29"
"turquoise","DHX30"
"turquoise","DHX32"
"turquoise","DHX33"
"turquoise","DHX35"
"turquoise","DHX36"
"turquoise","DHX37"
"turquoise","DHX38"
"turquoise","DHX40"
"turquoise","DHX57"
"cyan","DHX58"
"turquoise","DHX8"
"turquoise","DIABLO"
"turquoise","DIAPH1"
"red","DIAPH3"
"turquoise","DICER1"
"turquoise","DIEXF"
"turquoise","DIMT1"
"grey","DIO1"
"turquoise","DIO2"
"grey","DIO3"
"turquoise","DIP2A"
"turquoise","DIP2B"
"turquoise","DIRAS1"
"brown","DIRAS2"
"turquoise","DIRC2"
"turquoise","DIS3"
"turquoise","DIS3L"
"turquoise","DIS3L2"
"turquoise","DISC1"
"yellow","DISP1"
"turquoise","DISP2"
"turquoise","DIXDC1"
"turquoise","DKC1"
"grey","DKK1"
"turquoise","DKK2"
"turquoise","DKK3"
"turquoise","DLAT"
"turquoise","DLC1"
"turquoise","DLD"
"turquoise","DLEC1"
"grey","DLEU7"
"magenta","DLG1"
"turquoise","DLG2"
"turquoise","DLG3"
"turquoise","DLG5"
"turquoise","DLGAP1"
"turquoise","DLGAP2"
"turquoise","DLGAP3"
"turquoise","DLGAP4"
"red","DLGAP5"
"blue","DLK1"
"turquoise","DLK2"
"turquoise","DLL1"
"turquoise","DLL4"
"turquoise","DLST"
"turquoise","DLX1"
"turquoise","DLX2"
"black","DLX5"
"black","DLX6"
"turquoise","DMA"
"turquoise","DMAP1"
"blue","DMB2"
"turquoise","DMBT1"
"turquoise","DMBX1"
"turquoise","DMC1"
"turquoise","DMD"
"turquoise","DMGDH"
"turquoise","DMP1"
"grey","DMRT1"
"grey","DMRT2"
"grey","DMRT3"
"turquoise","DMRTA2"
"purple","DMRTB1"
"turquoise","DMTF1"
"turquoise","DMTN"
"magenta","DMXL1"
"turquoise","DMXL2"
"turquoise","DNA2"
"turquoise","DNAAF2"
"turquoise","DNAAF5"
"grey","DNAH1"
"turquoise","DNAH10"
"turquoise","DNAH12"
"turquoise","DNAH14"
"turquoise","DNAH17"
"turquoise","DNAH3"
"turquoise","DNAH5"
"turquoise","DNAH7"
"turquoise","DNAH8"
"turquoise","DNAH9"
"turquoise","DNAI1"
"turquoise","DNAI2"
"turquoise","DNAJA1"
"turquoise","DNAJA2"
"turquoise","DNAJA3"
"turquoise","DNAJA4"
"turquoise","DNAJB1"
"turquoise","DNAJB11"
"turquoise","DNAJB12"
"turquoise","DNAJB13"
"turquoise","DNAJB14"
"turquoise","DNAJB2"
"turquoise","DNAJB4"
"turquoise","DNAJB5"
"turquoise","DNAJB6"
"purple","DNAJB8"
"turquoise","DNAJB9"
"turquoise","DNAJC1"
"turquoise","DNAJC10"
"turquoise","DNAJC11"
"turquoise","DNAJC12"
"turquoise","DNAJC13"
"turquoise","DNAJC15"
"turquoise","DNAJC16"
"turquoise","DNAJC17"
"turquoise","DNAJC18"
"turquoise","DNAJC19"
"turquoise","DNAJC2"
"turquoise","DNAJC21"
"turquoise","DNAJC24"
"turquoise","DNAJC25"
"turquoise","DNAJC27"
"turquoise","DNAJC28"
"turquoise","DNAJC3"
"turquoise","DNAJC30"
"turquoise","DNAJC5"
"grey","DNAJC5B"
"turquoise","DNAJC5G"
"turquoise","DNAJC6"
"turquoise","DNAJC7"
"turquoise","DNAJC8"
"turquoise","DNAJC9"
"turquoise","DNAL1"
"turquoise","DNAL4"
"turquoise","DNASE1L3"
"turquoise","DNASE2B"
"turquoise","DND1"
"turquoise","DNER"
"turquoise","DNLZ"
"turquoise","DNM1"
"turquoise","DNM1L"
"turquoise","DNM3"
"turquoise","DNMBP"
"turquoise","DNMT1"
"turquoise","DNMT3A"
"turquoise","DNMT3B"
"turquoise","DNPEP"
"turquoise","DNTT"
"turquoise","DNTTIP1"
"turquoise","DNTTIP2"
"turquoise","DOC2B"
"turquoise","DOCK1"
"turquoise","DOCK10"
"turquoise","DOCK11"
"blue","DOCK2"
"turquoise","DOCK3"
"turquoise","DOCK4"
"green","DOCK5"
"turquoise","DOCK7"
"turquoise","DOCK8"
"turquoise","DOCK9"
"turquoise","DOHH"
"turquoise","DOK1"
"blue","DOK2"
"grey","DOK3"
"turquoise","DOK4"
"turquoise","DOK5"
"turquoise","DOK6"
"turquoise","DOK7"
"turquoise","DOLK"
"turquoise","DOLPP1"
"turquoise","DONSON"
"turquoise","DOPEY1"
"turquoise","DOT1L"
"turquoise","DPAGT1"
"turquoise","DPCD"
"turquoise","DPF1"
"turquoise","DPF2"
"turquoise","DPF3"
"turquoise","DPH1"
"turquoise","DPH2"
"turquoise","DPH3"
"turquoise","DPH5"
"turquoise","DPH6"
"turquoise","DPH7"
"turquoise","DPM1"
"turquoise","DPM2"
"turquoise","DPP10"
"grey","DPP4"
"turquoise","DPP6"
"turquoise","DPP7"
"turquoise","DPP8"
"green","DPP9"
"turquoise","DPT"
"turquoise","DPY19L1"
"turquoise","DPY19L3"
"turquoise","DPY19L4"
"turquoise","DPY30"
"turquoise","DPYD"
"grey","DPYS"
"turquoise","DPYSL2"
"turquoise","DPYSL3"
"turquoise","DPYSL4"
"turquoise","DQX1"
"turquoise","DR1"
"blue","DRAM1"
"turquoise","DRAM2"
"brown","DRAXIN"
"turquoise","DRC1"
"turquoise","DRCC1"
"turquoise","DRD1"
"turquoise","DRD3"
"turquoise","DRD4"
"black","DRD5"
"turquoise","DRG1"
"grey","DRGX"
"turquoise","DROSHA"
"turquoise","DRP2"
"turquoise","DSC2"
"turquoise","DSCAM"
"turquoise","DSCAML1"
"turquoise","DSCC1"
"turquoise","DSCR3"
"turquoise","DSCR6"
"turquoise","DSE"
"turquoise","DSEL"
"turquoise","DSG2"
"turquoise","DSG4"
"grey","DSN1"
"turquoise","DSP"
"turquoise","DST"
"turquoise","DSTN"
"turquoise","DSTYK"
"turquoise","DTD1"
"turquoise","DTD2"
"turquoise","DTHD1"
"turquoise","DTL"
"turquoise","DTNA"
"turquoise","DTNB"
"turquoise","DTNBP1"
"turquoise","DTWD2"
"turquoise","DTX1"
"turquoise","DTX2"
"turquoise","DTX3L"
"turquoise","DTX4"
"turquoise","DTYMK"
"turquoise","DUOX2"
"grey","DUOXA1"
"yellow","DUPD1"
"turquoise","DUS1L"
"turquoise","DUS2"
"turquoise","DUS4L"
"turquoise","DUSP1"
"turquoise","DUSP10"
"turquoise","DUSP11"
"turquoise","DUSP14"
"turquoise","DUSP15"
"turquoise","DUSP16"
"turquoise","DUSP19"
"turquoise","DUSP22"
"turquoise","DUSP23"
"turquoise","DUSP26"
"yellow","DUSP27"
"turquoise","DUSP28"
"turquoise","DUSP3"
"turquoise","DUSP4"
"turquoise","DUSP5"
"turquoise","DUSP6"
"turquoise","DUSP7"
"turquoise","DUSP8"
"turquoise","DUT"
"turquoise","DVL1"
"turquoise","DVL3"
"turquoise","DYL1"
"turquoise","DYM"
"turquoise","DYNC1H1"
"turquoise","DYNC1I1"
"turquoise","DYNC1I2"
"turquoise","DYNC1LI1"
"turquoise","DYNC1LI2"
"turquoise","DYNC2H1"
"turquoise","DYNC2LI1"
"turquoise","DYNLRB2"
"turquoise","DYNLT1"
"turquoise","DYNLT3"
"turquoise","DYRK1A"
"turquoise","DYRK2"
"turquoise","DYRK3"
"turquoise","DYSF"
"magenta","DYTN"
"turquoise","DYX1C1"
"turquoise","DZANK1"
"turquoise","DZIP1"
"red","E2F1"
"turquoise","E2F3"
"turquoise","E2F4"
"turquoise","E2F5"
"turquoise","E2F6"
"red","E2F7"
"turquoise","E2F8"
"turquoise","E4F1"
"turquoise","EAF2"
"turquoise","EAPP"
"turquoise","EARS2"
"turquoise","EBAG9"
"turquoise","EBF1"
"turquoise","EBF2"
"turquoise","EBNA1BP2"
"turquoise","ECD"
"turquoise","ECE1"
"turquoise","ECE2"
"grey","ECEL1"
"turquoise","ECHDC1"
"turquoise","ECHDC2"
"turquoise","ECHDC3"
"turquoise","ECHS1"
"turquoise","ECI1"
"turquoise","ECI2"
"turquoise","ECM1"
"turquoise","ECM2"
"yellow","ECSCR"
"turquoise","ECSIT"
"turquoise","ECT2"
"turquoise","EDA"
"turquoise","EDA2R"
"grey","EDAR"
"turquoise","EDARADD"
"turquoise","EDC3"
"turquoise","EDC4"
"turquoise","EDEM1"
"turquoise","EDEM2"
"turquoise","EDEM3"
"turquoise","EDF1"
"turquoise","EDIL3"
"turquoise","EDN1"
"turquoise","EDN3"
"turquoise","EDNRA"
"turquoise","EDNRB"
"turquoise","EDNRB2"
"turquoise","EEA1"
"turquoise","EED"
"turquoise","EEF1A1"
"turquoise","EEF1B2"
"turquoise","EEF1D"
"turquoise","EEF1E1"
"turquoise","EEF2"
"turquoise","EEF2K"
"turquoise","EEFSEC"
"turquoise","EEPD1"
"turquoise","EFCAB1"
"grey","EFCAB10"
"grey","EFCAB11"
"turquoise","EFCAB14"
"turquoise","EFCAB2"
"turquoise","EFCAB4B"
"turquoise","EFCAB5"
"turquoise","EFCAB7"
"turquoise","EFCC1"
"turquoise","EFEMP1"
"turquoise","EFHB"
"turquoise","EFHC1"
"turquoise","EFHC2"
"turquoise","EFHD2"
"turquoise","EFNA5"
"turquoise","EFNB1"
"turquoise","EFNB2"
"turquoise","EFR3A"
"turquoise","EFR3B"
"turquoise","EFTUD1"
"turquoise","EFTUD2"
"black","EGF"
"grey","EGFL6"
"turquoise","EGFL7"
"turquoise","EGFLAM"
"turquoise","EGFR"
"brown","EGLN3"
"turquoise","EGR1"
"grey","EGR3"
"turquoise","EHBP1"
"turquoise","EHD3"
"grey","EHF"
"turquoise","EHHADH"
"turquoise","EHMT1"
"turquoise","EI24"
"turquoise","EIF1"
"turquoise","EIF1AD"
"turquoise","EIF1AY"
"turquoise","EIF2A"
"turquoise","EIF2AK1"
"turquoise","EIF2AK2"
"turquoise","EIF2AK3"
"turquoise","EIF2AK4"
"turquoise","EIF2B1"
"turquoise","EIF2B2"
"turquoise","EIF2B3"
"turquoise","EIF2B4"
"turquoise","EIF2B5"
"turquoise","EIF2D"
"turquoise","EIF2S1"
"turquoise","EIF2S2"
"turquoise","EIF2S3L"
"turquoise","EIF3A"
"turquoise","EIF3B"
"turquoise","EIF3D"
"turquoise","EIF3E"
"turquoise","EIF3F"
"turquoise","EIF3H"
"turquoise","EIF3I"
"turquoise","EIF3J"
"turquoise","EIF3L"
"turquoise","EIF3M"
"turquoise","EIF4A2"
"turquoise","EIF4A3"
"turquoise","EIF4B"
"turquoise","EIF4E"
"grey","EIF4E1B"
"turquoise","EIF4E2"
"pink","EIF4E3"
"turquoise","EIF4EBP1"
"turquoise","EIF4EBP2"
"turquoise","EIF4ENIF1"
"turquoise","EIF4G1"
"turquoise","EIF4G2"
"turquoise","EIF4G3"
"turquoise","EIF4H"
"turquoise","EIF5"
"turquoise","EIF5A2"
"turquoise","EIF5B"
"turquoise","EIF6"
"turquoise","ELAC2"
"turquoise","ELAVL1"
"turquoise","ELAVL2"
"turquoise","ELAVL4"
"turquoise","ELF1"
"turquoise","ELF2"
"blue","ELF3"
"brown","ELFN2"
"turquoise","ELK3"
"turquoise","ELK4"
"turquoise","ELL"
"turquoise","ELMO2"
"turquoise","ELMO3"
"turquoise","ELMOD1"
"turquoise","ELMOD2"
"turquoise","ELMSAN1"
"turquoise","ELN"
"turquoise","ELOF1"
"turquoise","ELOVL1"
"turquoise","ELOVL2"
"turquoise","ELOVL4"
"turquoise","ELOVL5"
"turquoise","ELOVL6"
"turquoise","ELOVL7"
"turquoise","ELP2"
"turquoise","ELP3"
"turquoise","ELP4"
"turquoise","ELP6"
"turquoise","EMB"
"turquoise","EMC1"
"turquoise","EMC2"
"turquoise","EMC3"
"turquoise","EMC6"
"turquoise","EMC7"
"turquoise","EMC8"
"turquoise","EMCN"
"turquoise","EME1"
"turquoise","EMID1"
"turquoise","EMILIN2"
"turquoise","EMILIN3"
"turquoise","EML1"
"turquoise","EML4"
"turquoise","EML5"
"turquoise","EML6"
"grey","EMP1"
"turquoise","EMP2"
"turquoise","EMX2"
"yellow","EN1"
"turquoise","ENAH"
"turquoise","ENC1"
"turquoise","ENDOD1"
"turquoise","ENDOG"
"turquoise","ENDOV"
"turquoise","ENG"
"turquoise","ENGASE"
"turquoise","ENHO"
"turquoise","ENKD1"
"turquoise","ENKUR"
"turquoise","ENO1"
"black","ENO2"
"turquoise","ENO4"
"turquoise","ENOPH1"
"turquoise","ENOX1"
"grey","ENPEP"
"turquoise","ENPP1"
"turquoise","ENPP2"
"blue","ENPP3"
"turquoise","ENPP4"
"brown","ENPP6"
