sex,tissue,comparison,direction,gene,lfc,padj,logpadj
female,hypothalamus,bldg_lay,bldg,HEMGN,-1.37333605073676,0.0192695539192298,1.71512833893351
female,hypothalamus,inc.d3_inc.d9,inc.d3,LOC107049632,-17.1828328691382,9.56080420210315e-16,15.0195055757316
female,hypothalamus,inc.d9_inc.d17,inc.d9,CFAP44,-0.708400093336674,0.0453899886864247,1.34303992550619
female,hypothalamus,inc.d9_inc.d17,inc.d9,GMNN,-0.51229349593089,0.0453899886864247,1.34303992550619
female,hypothalamus,inc.d9_inc.d17,inc.d17,IGLL1,4.20123910862755,0.0244926297318469,1.61096458291464
female,hypothalamus,inc.d9_inc.d17,inc.d17,LOC107049632,17.8400938672517,9.74498592323759e-19,18.0112187838901
female,hypothalamus,inc.d9_inc.d17,inc.d17,MFSD5,0.52607262236435,0.0453899886864247,1.34303992550619
female,hypothalamus,hatch_n5,hatch,AAMP,-0.435212095493169,0.0164008380618503,1.78513395949268
female,hypothalamus,hatch_n5,hatch,AARS,-0.452600654721263,0.00665595111533831,2.17678987638332
female,hypothalamus,hatch_n5,hatch,AARS2,-0.206318440759205,0.06142353760053,1.21166517460499
female,hypothalamus,inc.d17_hatch,hatch,ABCB5,4.44456095910475,0.0241426586779014,1.61721490550784
female,hypothalamus,hatch_n5,hatch,ABCB8,-0.502139059929764,0.0509857281742058,1.29255137375694
female,hypothalamus,hatch_n5,hatch,ABCF2,-0.314041589306467,0.0119875130021996,1.92127090876556
female,hypothalamus,hatch_n5,hatch,ABCF3,-0.365640959860722,0.0250263980028784,1.6016016529904
female,hypothalamus,hatch_n5,hatch,ABHD16A,-0.466356860810647,0.0160451885861047,1.79465517408588
female,hypothalamus,hatch_n5,hatch,ABHD8,-0.274037817524755,0.0924980760254797,1.03386730056051
female,hypothalamus,hatch_n5,hatch,ABTB1,-0.340733413148491,0.0170923405127117,1.76719846377676
female,hypothalamus,hatch_n5,hatch,AC005943.2,-0.505101295125454,0.0889001898727091,1.05109731146419
female,hypothalamus,hatch_n5,hatch,AC104534.3,-0.597852655395171,0.0469416772558572,1.32844139684331
female,hypothalamus,hatch_n5,hatch,ACAA2,-0.278043792527705,0.0302822677353254,1.51881160512769
female,hypothalamus,hatch_n5,hatch,ACAT2,-0.309285396951142,0.0972633214444481,1.01205090379554
female,hypothalamus,hatch_n5,hatch,ACBD4,-0.588483611163366,0.0252791381683747,1.59723773636668
female,hypothalamus,hatch_n5,hatch,ACO2,-0.215858431692514,0.0268479519915615,1.5710888374388
female,hypothalamus,hatch_n5,hatch,ACOT7,-0.418296259654105,0.0466605199486145,1.33105042607471
female,hypothalamus,hatch_n5,hatch,ACP5,-1.26121701430203,0.0444324407255506,1.35229982980382
female,hypothalamus,hatch_n5,hatch,ACSBG2,-0.443836760656777,0.0350971816688325,1.45472775632097
female,hypothalamus,hatch_n5,hatch,ACSM3,-0.955860649024334,0.0913977859546072,1.03906432460909
female,hypothalamus,hatch_n5,hatch,ACTR1A,-0.153480283699289,0.0694485791465911,1.1583366350971
female,hypothalamus,hatch_n5,hatch,ACY1,-0.48900696496733,0.0160451885861047,1.79465517408588
female,hypothalamus,hatch_n5,hatch,ADAM9,-0.380183346704969,0.00665595111533831,2.17678987638332
female,hypothalamus,hatch_n5,hatch,ADCYAP1,-0.585490717396321,0.0370641284313311,1.43104620792357
female,hypothalamus,hatch_n5,hatch,ADD1,-0.289600947907524,0.0418951354172938,1.37783640147464
female,hypothalamus,hatch_n5,hatch,ADH5,-0.354764706400839,0.0588600828566669,1.23017913088459
female,hypothalamus,hatch_n5,hatch,ADIRF,-1.40139031170521,0.0290077769894277,1.53748555207349
female,hypothalamus,hatch_n5,hatch,ADSL,-0.35176572855311,0.0180151267476669,1.74436267799777
female,hypothalamus,hatch_n5,hatch,AFAP1L1,-0.655539156955902,0.0280969325797045,1.55134109064379
female,hypothalamus,hatch_n5,hatch,AGPAT2,-0.577353715240682,0.0464478755460816,1.33303414517332
female,hypothalamus,hatch_n5,hatch,AGPAT9,-0.261218778661586,0.0462396748684146,1.33498522829319
