"","time","stage","data","expression"
"1",1,"bldg","gene1",11
"2",1,"bldg","gene2",7
"3",1,"bldg","gene3",4
"4",2,"lay","gene1",9
"5",2,"lay","gene2",9
"6",2,"lay","gene3",9
"7",3,"inc.d9","gene1",7
"8",3,"inc.d9","gene2",5
"9",3,"inc.d9","gene3",2
"10",4,"inc.d17","gene1",8
"11",4,"inc.d17","gene2",6
"12",4,"inc.d17","gene3",4
"13",5,"hatch","gene1",8
"14",5,"hatch","gene2",8
"15",5,"hatch","gene3",8
"16",6,"n5","gene1",8
"17",6,"n5","gene2",8
"18",6,"n5","gene3",8
"19",7,"n9","gene1",6
"20",7,"n9","gene2",4
"21",7,"n9","gene3",1
