"","stages","ANOVA","Predictor","df","F","p","sig"
"1","m.inc.d3 vs inc.d3","PRL ~ sex","treatment","1, 36","0.02",0.89," "
"2","m.inc.d9 vs inc.d9","PRL ~ sex","treatment","1, 36","6.91",0.013,"*"
"3","m.inc.d17 vs inc.d17","PRL ~ sex","treatment","1, 39","6.07",0.018,"*"
"4","m.n2 vs hatch","PRL ~ sex","treatment","1, 36","13.77",0.001,"*"
"5","m.inc.d8 vs inc.d9","PRL ~ sex","treatment","1, 40","0.01",0.918," "
"6","m.inc.d8 vs hatch","PRL ~ sex","treatment","1, 36","25.00",0,"*"
"7","prolong vs inc.d17","PRL ~ sex","treatment","1, 38","0.04",0.847," "
"8","prolong vs hatch","PRL ~ sex","treatment","1, 36","1.59",0.216," "
"9","extend vs hatch","PRL ~ sex","treatment","1, 36","5.82",0.021,"*"
"10","extend vs n5","PRL ~ sex","treatment","1, 36","4.42",0.043,"*"
