"gene","pvalue","padj","logpadj","lfc","sextissue","direction","direction2"
"ABCG1",0.00481681140959781,0.440781717770344,0.355776426942375,0.480801097335954,"female_hypothalamus","NS","m.inc.d9"
"ABCG5",0.0250417960232678,1,0,1.3377857769673,"female_hypothalamus","NS","m.inc.d9"
"ABLIM1",0.00105334394997339,0.193769570694697,0.712714422935313,0.597878250168171,"female_hypothalamus","NS","m.inc.d9"
"AC025263.3",0.014784353723305,0.90985376872173,0.0410284016793503,0.434881174002723,"female_hypothalamus","NS","m.inc.d9"
"ADAM20",0.0280887282431781,1,0,1.26022278171861,"female_hypothalamus","NS","m.inc.d9"
"ADAM23",0.0242365410575519,1,0,0.78125150046574,"female_hypothalamus","NS","m.inc.d9"
"ADCY1",0.00507331699532556,0.440781717770344,0.355776426942375,0.943099324205907,"female_hypothalamus","NS","m.inc.d9"
"ADGRV1",0.0199562583267139,1,0,0.544582160638933,"female_hypothalamus","NS","m.inc.d9"
"ADPRHL",0.0410651907423246,1,0,-0.588435404170104,"female_hypothalamus","NS","bldg"
"AFF3",0.00107142240393724,0.193769570694697,0.712714422935313,0.994068306241177,"female_hypothalamus","NS","m.inc.d9"
"AKAP5",0.0261164884360119,1,0,0.78034320749035,"female_hypothalamus","NS","m.inc.d9"
"ALPK1",0.0416094556100258,1,0,-0.782698881783236,"female_hypothalamus","NS","bldg"
"ANGPTL7",4.86157835996764e-05,0.0179513780941805,1.74590220581966,1.7474203605259,"female_hypothalamus","m.inc.d9","m.inc.d9"
"ANKRD10",0.0339918327849207,1,0,0.6057673787751,"female_hypothalamus","NS","m.inc.d9"
"ANO3",0.00677874510856463,0.556233695852775,0.254742705727769,0.528482348984784,"female_hypothalamus","NS","m.inc.d9"
"APOD",0.00977231609399509,0.750492822361182,0.124653456950142,-0.853770399499172,"female_hypothalamus","NS","bldg"
"ARFGEF3",0.0324974881462113,1,0,0.473288106499283,"female_hypothalamus","NS","m.inc.d9"
"ARHGAP11A",0.0236276725965491,1,0,0.643468021405376,"female_hypothalamus","NS","m.inc.d9"
"ARHGAP25",0.00306343695596179,0.377058031996296,0.423591803544328,-0.95007400726253,"female_hypothalamus","NS","bldg"
"ARHGAP26",0.0140862842559808,0.90985376872173,0.0410284016793503,0.552963688954822,"female_hypothalamus","NS","m.inc.d9"
"ARHGAP6",0.0147594684162375,0.90985376872173,0.0410284016793503,0.669467980645746,"female_hypothalamus","NS","m.inc.d9"
"ARHGEF33",0.0043522550947662,0.428552051664645,0.367996421400449,0.99222052671501,"female_hypothalamus","NS","m.inc.d9"
"ASMT",1.10721216216911e-09,1.63535236352378e-06,5.78638865704256,4.86235869362455,"female_hypothalamus","m.inc.d9","m.inc.d9"
"ATP2B2",0.0488196676383859,1,0,0.468813258914494,"female_hypothalamus","NS","m.inc.d9"
"ATP6V1C2",0.0331234280410562,1,0,-0.773938510982205,"female_hypothalamus","NS","bldg"
"ATP6V1G3",0.0283602927015014,1,0,-0.620854674418318,"female_hypothalamus","NS","bldg"
"B2M",0.004326338666756,0.428552051664645,0.367996421400449,-0.919949685544067,"female_hypothalamus","NS","bldg"
"BACH2",0.0413762985530318,1,0,0.449662756055117,"female_hypothalamus","NS","m.inc.d9"
"BAIAP2L2",6.17670835703379e-06,0.00456149912166946,2.3408924044249,3.66304236496897,"female_hypothalamus","m.inc.d9","m.inc.d9"
"BARHL1",0.0215875306425502,1,0,3.21317549489749,"female_hypothalamus","NS","m.inc.d9"
"BATF3",0.0497934616010659,1,0,-0.801959386427522,"female_hypothalamus","NS","bldg"
"BCL11B",0.0159076924409568,0.939826469411727,0.0269523276067784,0.821101003685648,"female_hypothalamus","NS","m.inc.d9"
"BF1",0.0359178531226974,1,0,-0.787142533594904,"female_hypothalamus","NS","bldg"
"BIN2",0.000492160241096736,0.145384135219976,0.837482982488921,-1.73910248391792,"female_hypothalamus","NS","bldg"
"BLK",0.0347424211066697,1,0,2.26299902536496,"female_hypothalamus","NS","m.inc.d9"
"BTK",0.00139586770988651,0.206169660750238,0.685775243699399,-0.855998592664269,"female_hypothalamus","NS","bldg"
"C14H17ORF103",0.0314907497590156,1,0,-0.343586312412141,"female_hypothalamus","NS","bldg"
"C15ORF27",0.0138210736897119,0.90985376872173,0.0410284016793503,0.597282242556197,"female_hypothalamus","NS","m.inc.d9"
"C18H17ORF67",0.00106286535467352,0.193769570694697,0.712714422935313,2.40850025431981,"female_hypothalamus","NS","m.inc.d9"
"C1QA",0.0101623943447689,0.750492822361182,0.124653456950142,-0.844038524571803,"female_hypothalamus","NS","bldg"
"C1QB",0.00417847843575893,0.428552051664645,0.367996421400449,-0.937247375435721,"female_hypothalamus","NS","bldg"
"C1QC",0.0011807218254924,0.193769570694697,0.712714422935313,-0.975664105283244,"female_hypothalamus","NS","bldg"
"C1QTNF3",3.14519978182302e-05,0.015484866925842,1.81009252253973,1.91415778574469,"female_hypothalamus","m.inc.d9","m.inc.d9"
"C2H8orf34",0.00288414934121442,0.377058031996296,0.423591803544328,0.759702050711685,"female_hypothalamus","NS","m.inc.d9"
"C3",0.0296822312933721,1,0,-0.857235713810199,"female_hypothalamus","NS","bldg"
"C5ORF30",0.0339798867877923,1,0,0.435759164490081,"female_hypothalamus","NS","m.inc.d9"
