"gene","pvalue","padj","logpadj","lfc","sextissue","direction","direction2"
"MRPS36",0.00186608491626333,1,0,6.35012077375993,"male_hypothalamus","NS","inc.d9"
"LECT2",0.00416207979148681,1,0,3.40325752887923,"male_hypothalamus","NS","inc.d9"
"LOC101750188",0.0283064462164526,1,0,3.32650012737936,"male_hypothalamus","NS","inc.d9"
"C1ORF146",0.0255270408432822,1,0,3.31611941497236,"male_hypothalamus","NS","inc.d9"
"SMPX",0.0191171454467149,1,0,2.5965994894341,"male_hypothalamus","NS","inc.d9"
"CSRP3",0.0127134295083149,1,0,2.56686520259253,"male_hypothalamus","NS","inc.d9"
"THL",0.0451262472099212,1,0,2.54099146506613,"male_hypothalamus","NS","inc.d9"
"HHLA1",0.00114819792507661,1,0,2.49309906844377,"male_hypothalamus","NS","inc.d9"
"SHOX",0.0224025213882974,1,0,2.38339502931958,"male_hypothalamus","NS","inc.d9"
"LRIG3",0.0497053406733867,1,0,2.04606776923542,"male_hypothalamus","NS","inc.d9"
"SLC16A5",0.0113936916574645,1,0,1.88847703442431,"male_hypothalamus","NS","inc.d9"
"PRLH",0.028212984212659,1,0,1.63235629354625,"male_hypothalamus","NS","inc.d9"
"NPVF",0.0360715178355692,1,0,1.62966242414774,"male_hypothalamus","NS","inc.d9"
"CLEC3A",0.0455345732507918,1,0,1.56713161281856,"male_hypothalamus","NS","inc.d9"
"ERN1",0.0477702541871713,1,0,1.52579073496852,"male_hypothalamus","NS","inc.d9"
"FEV",0.0493513145145168,1,0,1.45895939819,"male_hypothalamus","NS","inc.d9"
"ZNF750",0.0102156917865348,1,0,1.40798765746974,"male_hypothalamus","NS","inc.d9"
"LOC107055941",0.0349515065412488,1,0,1.3853761432702,"male_hypothalamus","NS","inc.d9"
"GPR82",0.0302247449283935,1,0,1.38288717444124,"male_hypothalamus","NS","inc.d9"
"CALCA",0.0266873807932343,1,0,1.30988489898838,"male_hypothalamus","NS","inc.d9"
"LOC424167",0.000832151305243236,1,0,1.26372881132701,"male_hypothalamus","NS","inc.d9"
"XKR9",0.0168634945154129,1,0,1.25251591448471,"male_hypothalamus","NS","inc.d9"
