MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:105043	Ahr	aryl-hydrocarbon receptor	12		prostate gland development	results in the development of anterior prostate gland|results in the development of prostate gland dorsolateral lobe		IMP	MGI:1857427 	J:126176 	
MGI:96819	Anxa1	annexin A1	19		prostate gland development			IBA	PTN002574794 	J:265628 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		negative regulation of epithelial cell proliferation involved in prostate gland development	regulates a function/process that happens in prostate gland epithelium,regulates the proliferation of epithelial cell		IMP	MGI:1857966 MGI:2385927 	J:120308 	
MGI:88064	Ar	androgen receptor	X		activation of prostate induction by androgen receptor signaling pathway	happens in prostate gland		IMP	MGI:3716756 	J:122327 	
MGI:88064	Ar	androgen receptor	X		epithelial cell differentiation involved in prostate gland development	happens in prostate gland epithelium,results in the differentiation of epithelial cell		IMP	MGI:2385927 MGI:2451025 	J:123402 	
MGI:88064	Ar	androgen receptor	X		positive regulation of epithelial cell proliferation involved in prostate gland development			IDA		J:71472 	
MGI:88064	Ar	androgen receptor	X		prostate gland epithelium morphogenesis	has the participant prostate gland epithelium		IMP	MGI:2385927 MGI:2451025 	J:123402 	
MGI:88064	Ar	androgen receptor	X		prostate gland growth	happens in prostate gland epithelium|happens in ventral prostate gland		IMP	MGI:2385927 MGI:2451025 	J:123402 	
MGI:88064	Ar	androgen receptor	X		prostate gland growth	happens in anterior prostate gland|happens in prostate gland dorsolateral lobe|happens in ventral prostate gland		IMP	MGI:3716756 	J:122327 	
MGI:88064	Ar	androgen receptor	X		regulation of prostatic bud formation			IGI	MGI:1099809 	J:85295 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		branching involved in prostate gland morphogenesis			IMP	MGI:1857137 	J:69382 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		negative regulation of prostatic bud formation			IDA		J:134349 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		negative regulation of prostatic bud formation	regulates the formation of prostate gland		IMP	MGI:1857137 	J:69382 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		prostate gland morphogenesis			IMP	MGI:1857137 	J:42445 J:69382 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		regulation of branching involved in prostate gland morphogenesis	regulates a function/process that happens in prostate gland		IMP	MGI:2158495 	J:97517 	
MGI:103302	Bmp7	bone morphogenetic protein 7	2		negative regulation of prostatic bud formation			IDA		J:104840 	
MGI:103302	Bmp7	bone morphogenetic protein 7	2		regulation of branching involved in prostate gland morphogenesis	regulates a function/process that happens in anterior prostate gland		IMP	MGI:2136986 	J:104840 	
MGI:103302	Bmp7	bone morphogenetic protein 7	2		regulation of branching involved in prostate gland morphogenesis	regulates a function/process that happens in prostate duct		IMP	MGI:2136986 	J:104840 	
MGI:88338	Cd44	CD44 antigen	2		branching involved in prostate gland morphogenesis			IMP		J:43768 	
MGI:104565	Cdkn1b	cyclin-dependent kinase inhibitor 1B	6		negative regulation of epithelial cell proliferation involved in prostate gland development	regulates a function/process that happens in ventral prostate gland,regulates the proliferation of epithelial cell|regulates a function/process that happens in prostate gland dorsolateral lobe,regulates the proliferation of epithelial cell		IMP	MGI:1888808 	J:115443 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		epithelial cell differentiation involved in prostate gland development	happens in prostate gland epithelium,results in the differentiation of epithelial cell		IMP	MGI:1858008 	J:84340 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		positive regulation of epithelial cell proliferation involved in prostate gland development	regulates a function/process that happens in prostate gland epithelium		IMP	MGI:1858008 	J:84340 	
MGI:104978	Cyp7b1	cytochrome P450, family 7, subfamily b, polypeptide 1	3		prostate gland epithelium morphogenesis	has the participant prostate gland epithelium,has the participant epithelial cell|has the participant ventral prostate gland,has the participant epithelial cell		IMP	MGI:2182328 	J:126711 	
MGI:88587	Cyp19a1	cytochrome P450, family 19, subfamily a, polypeptide 1	9		prostate gland growth	happens in prostate gland		IMP	MGI:2154536 	J:70204 J:109128 	
MGI:2146616	Eaf2	ELL associated factor 2	16		negative regulation of epithelial cell proliferation involved in prostate gland development	regulates a function/process that happens in heart|regulates a function/process that happens in prostate gland epithelium,regulates the proliferation of epithelial cell		IMP	MGI:3834174 	J:145228 	
MGI:1352467	Esr1	estrogen receptor 1 (alpha)	10		prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis	has the participant prostate gland		IMP	MGI:2150897 	J:145499 	
MGI:1352467	Esr1	estrogen receptor 1 (alpha)	10		prostate epithelial cord elongation	has the participant prostate gland		IMP	MGI:2150897 	J:145499 	
MGI:1352467	Esr1	estrogen receptor 1 (alpha)	10		regulation of branching involved in prostate gland morphogenesis	regulates a function/process that happens in ventral prostate gland		IMP	MGI:2150897 	J:96107 	
MGI:1352467	Esr1	estrogen receptor 1 (alpha)	10		regulation of branching involved in prostate gland morphogenesis	regulates a function/process that happens in ventral prostate gland|regulates a function/process that happens in prostate gland dorsolateral lobe		IMP	MGI:2150897 	J:147000 	
MGI:109392	Esr2	estrogen receptor 2 (beta)	12		epithelial cell maturation involved in prostate gland development	happens in prostate gland epithelium,results in the maturation of epithelial cell		IMP	MGI:2152217 	J:91449 	
MGI:109392	Esr2	estrogen receptor 2 (beta)	12		prostate gland epithelium morphogenesis	has the participant prostate gland epithelium,has the participant epithelial cell		IMP	MGI:2152217 	J:91449 	
MGI:109392	Esr2	estrogen receptor 2 (beta)	12		prostate gland epithelium morphogenesis	has the participant prostate gland epithelium,has the participant epithelial cell|has the participant ventral prostate gland,has the participant epithelial cell		IMP	MGI:2152217 	J:126711 	
MGI:1335087	Fem1b	fem 1 homolog b	9		branching involved in prostate gland morphogenesis	has the participant anterior prostate gland		IMP	MGI:3811024 	J:139640 	
MGI:1335087	Fem1b	fem 1 homolog b	9		epithelial cell maturation involved in prostate gland development	happens in prostate gland epithelium		IMP	MGI:3811024 	J:139640 	
