MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:3580016	Agap2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	10		positive regulation of mammary gland epithelial cell proliferation	regulates a function/process that happens in mammary gland alveolus,regulates the proliferation of epithelial cell		IGI	MGI:88313 	J:158376 	
MGI:3580016	Agap2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	10		positive regulation of mammary gland epithelial cell proliferation			IMP		J:158376 	
MGI:3580016	Agap2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	10		positive regulation of mammary gland epithelial cell proliferation	regulates a function/process that happens in mammary gland alveolus,regulates the proliferation of epithelial cell		IMP	MGI:4439325 	J:158376 	
MGI:88064	Ar	androgen receptor	X		lateral sprouting involved in mammary gland duct morphogenesis	has the participant mammary gland duct		IMP	MGI:2687199 	J:87193 	
MGI:88064	Ar	androgen receptor	X		tertiary branching involved in mammary gland duct morphogenesis	has the participant mammary gland duct		IMP	MGI:2687199 	J:87193 	
MGI:88068	Areg	amphiregulin	5		dichotomous subdivision of terminal units involved in mammary gland duct morphogenesis	happens in mammary gland duct		IMP	MGI:2176531 	J:120116 	
MGI:88068	Areg	amphiregulin	5		epithelial cell proliferation involved in mammary gland duct elongation	regulates a function/process that happens in mammary gland duct		IMP	MGI:2176531 	J:120116 	
MGI:88068	Areg	amphiregulin	5		mammary gland branching involved in thelarche	has the participant mammary gland duct		IMP	MGI:2176531 	J:54980 J:120116 	
MGI:1916297	Atp2c2	ATPase, Ca++ transporting, type 2C, member 2	8		mammary gland epithelium development			IMP		J:203715 	
MGI:99702	Bax	BCL2-associated X protein	7		regulation of mammary gland epithelial cell proliferation	regulates a function/process that happens in mammary gland,regulates the proliferation of epithelial cell		IMP	MGI:1857429 	J:55402 	
MGI:109337	Brca2	breast cancer 2, early onset	5		negative regulation of mammary gland epithelial cell proliferation			ISO	P51587 	J:164563 	
MGI:1338871	Btrc	beta-transducin repeat containing protein	19		branching involved in mammary gland duct morphogenesis	has the participant mammary gland duct		IMP	MGI:3055737 	J:92886 	
